trading_date,RU_total_oi
2014-10-17,272862.0
2014-10-20,282892.0
2014-10-21,288386.0
2014-10-22,301366.0
2014-10-23,332122.0
2014-10-24,339510.0
2014-10-27,323304.0
2014-10-28,326310.0
2014-10-29,366930.0
2014-10-30,364176.0
2014-10-31,346894.0
2014-11-03,363530.0
2014-11-04,356934.0
2014-11-05,351254.0
2014-11-06,330372.0
2014-11-07,319724.0
2014-11-10,322220.0
2014-11-11,330688.0
2014-11-12,347680.0
2014-11-13,353824.0
2014-11-14,347744.0
2014-11-17,359308.0
2014-11-18,348870.0
2014-11-19,353682.0
2014-11-20,343342.0
2014-11-21,355874.0
2014-11-24,324366.0
2014-11-25,328260.0
2014-11-26,327292.0
2014-11-27,315394.0
2014-11-28,300332.0
2014-12-01,302828.0
2014-12-02,273144.0
2014-12-03,287264.0
2014-12-04,288782.0
2014-12-05,316906.0
2014-12-08,372460.0
2014-12-09,345308.0
2014-12-10,345976.0
2014-12-11,343620.0
2014-12-12,319232.0
2014-12-15,304836.0
2014-12-16,296232.0
2014-12-17,288320.0
2014-12-18,289320.0
2014-12-19,284588.0
2014-12-22,290796.0
2014-12-23,290676.0
2014-12-24,289822.0
2014-12-25,296998.0
2014-12-26,296038.0
2014-12-29,293330.0
2014-12-30,323706.0
2014-12-31,311282.0
2015-01-05,304866.0
2015-01-06,313012.0
2015-01-07,303278.0
2015-01-08,305372.0
2015-01-09,297456.0
2015-01-12,302314.0
2015-01-13,298886.0
2015-01-14,309090.0
2015-01-15,313272.0
2015-01-16,288708.0
2015-01-19,286838.0
2015-01-20,293822.0
2015-01-21,300014.0
2015-01-22,299336.0
2015-01-23,303196.0
2015-01-26,298324.0
2015-01-27,313068.0
2015-01-28,310282.0
2015-01-29,297204.0
2015-01-30,296672.0
2015-02-02,318300.0
2015-02-03,325854.0
2015-02-04,327568.0
2015-02-05,316204.0
2015-02-06,331012.0
2015-02-09,325100.0
2015-02-10,318088.0
2015-02-11,325114.0
2015-02-12,316052.0
2015-02-13,324894.0
2015-02-16,304776.0
2015-02-17,280680.0
2015-02-25,291966.0
2015-02-26,332116.0
2015-02-27,328364.0
2015-03-02,330152.0
2015-03-03,329940.0
2015-03-04,337430.0
2015-03-05,325680.0
2015-03-06,324730.0
2015-03-09,318994.0
2015-03-10,326942.0
2015-03-11,309898.0
2015-03-12,309724.0
