trading_date,FU_total_oi
2019-07-10,594444.0
2019-07-11,673160.0
2019-07-12,654712.0
2019-07-15,609830.0
2019-07-16,647728.0
2019-07-17,623562.0
2019-07-18,628010.0
2019-07-19,645484.0
2019-07-22,632460.0
2019-07-23,643740.0
2019-07-24,650572.0
2019-07-25,674902.0
2019-07-26,727278.0
2019-07-29,740030.0
2019-07-30,748214.0
2019-07-31,779102.0
2019-08-01,834118.0
2019-08-02,806766.0
2019-08-05,809674.0
2019-08-06,808854.0
2019-08-07,902850.0
2019-08-08,931092.0
2019-08-09,972078.0
2019-08-12,996400.0
2019-08-13,1100428.0
2019-08-14,1008194.0
2019-08-15,1163144.0
2019-08-16,1164860.0
2019-08-19,1080794.0
2019-08-20,1071970.0
2019-08-21,1099372.0
2019-08-22,1088978.0
2019-08-23,1106014.0
2019-08-26,1078736.0
2019-08-27,1076492.0
2019-08-28,1073864.0
2019-08-29,1096164.0
2019-08-30,1117758.0
2019-09-02,1202134.0
2019-09-03,1218606.0
2019-09-04,1248928.0
2019-09-05,1195536.0
2019-09-06,1187216.0
2019-09-09,1178844.0
2019-09-10,1191602.0
2019-09-11,1219728.0
2019-09-12,1297378.0
2019-09-16,1178232.0
2019-09-17,1129456.0
2019-09-18,1049404.0
2019-09-19,1046294.0
2019-09-20,1066224.0
2019-09-23,1044790.0
2019-09-24,1091376.0
2019-09-25,1128012.0
2019-09-26,1155414.0
2019-09-27,1148492.0
2019-09-30,1136386.0
2019-10-08,1212242.0
2019-10-09,1267424.0
2019-10-10,1290868.0
2019-10-11,1281600.0
2019-10-14,1326728.0
2019-10-15,1381398.0
2019-10-16,1462434.0
2019-10-17,1511864.0
2019-10-18,1481088.0
2019-10-21,1537780.0
2019-10-22,1538892.0
2019-10-23,1578290.0
2019-10-24,1511818.0
2019-10-25,1526110.0
2019-10-28,1553410.0
2019-10-29,1582814.0
2019-10-30,1575862.0
2019-10-31,1517726.0
2019-11-01,1517210.0
2019-11-04,1493856.0
2019-11-05,1509996.0
2019-11-06,1570234.0
2019-11-07,1605986.0
2019-11-08,1636244.0
2019-11-11,1660444.0
2019-11-12,1698580.0
2019-11-13,1787998.0
2019-11-14,1829000.0
2019-11-15,1976338.0
2019-11-18,1836256.0
2019-11-19,1750692.0
2019-11-20,1829512.0
2019-11-21,1752404.0
2019-11-22,1663546.0
2019-11-25,1611208.0
2019-11-26,1575986.0
2019-11-27,1572466.0
2019-11-28,1534168.0
2019-11-29,1524444.0
2019-12-02,1622894.0
2019-12-03,1564872.0
2019-12-04,1504722.0
2019-12-05,1450536.0
2019-12-06,1409046.0
2019-12-09,1326378.0
2019-12-10,1302564.0
2019-12-11,1258014.0
2019-12-12,1208130.0
2019-12-13,1180120.0
2019-12-16,1145566.0
2019-12-17,1127914.0
2019-12-18,1085936.0
2019-12-19,1158076.0
2019-12-20,1116368.0
2019-12-23,1036066.0
2019-12-24,974328.0
2019-12-25,983364.0
2019-12-26,947040.0
2019-12-27,933596.0
2019-12-30,994876.0
2019-12-31,924098.0
2020-01-02,452836.0
2020-01-03,449812.0
2020-01-06,477167.0
2020-01-07,451151.0
2020-01-08,478646.0
2020-01-09,443009.0
2020-01-10,447942.0
2020-01-13,440760.0
