trading_date,M_total_oi
2014-11-05,3638652.0
2014-11-06,3631400.0
2014-11-07,3703918.0
2014-11-10,3750058.0
2014-11-11,3713286.0
2014-11-12,3722148.0
2014-11-13,3725176.0
2014-11-14,3790896.0
2014-11-17,3835132.0
2014-11-18,3921354.0
2014-11-19,4033178.0
2014-11-20,3974798.0
2014-11-21,3899984.0
2014-11-24,3945370.0
2014-11-25,3955760.0
2014-11-26,3991622.0
2014-11-27,3890132.0
2014-11-28,3782178.0
2014-12-01,3709124.0
2014-12-02,3633642.0
2014-12-03,3512466.0
2014-12-04,3581112.0
2014-12-05,3441092.0
2014-12-08,3360278.0
2014-12-09,3354388.0
2014-12-10,3407506.0
2014-12-11,3469202.0
2014-12-12,3437142.0
2014-12-15,3419702.0
2014-12-16,3351028.0
2014-12-17,3374380.0
2014-12-18,3378388.0
2014-12-19,3323322.0
2014-12-22,3338034.0
2014-12-23,3249674.0
2014-12-24,3366106.0
2014-12-25,3317668.0
2014-12-26,3196274.0
2014-12-29,3196820.0
2014-12-30,3151280.0
2014-12-31,3204238.0
2015-01-05,3404260.0
2015-01-06,3060810.0
2015-01-07,3039570.0
2015-01-08,3057600.0
2015-01-09,3201592.0
2015-01-12,3194446.0
2015-01-13,3458974.0
2015-01-14,3588454.0
2015-01-15,3410188.0
2015-01-16,3554752.0
2015-01-19,3372748.0
2015-01-20,3445912.0
2015-01-21,3521554.0
2015-01-22,3654100.0
2015-01-23,3684526.0
2015-01-26,3761304.0
2015-01-27,3704034.0
2015-01-28,3722572.0
2015-01-29,3704990.0
2015-01-30,3632420.0
2015-02-02,3726892.0
2015-02-03,3711402.0
2015-02-04,3637630.0
2015-02-05,3650386.0
2015-02-06,3605724.0
2015-02-09,3568058.0
2015-02-10,3531768.0
2015-02-11,3685048.0
2015-02-12,3648634.0
2015-02-13,3503610.0
2015-02-16,3470860.0
2015-02-17,3410556.0
2015-02-25,3400304.0
2015-02-26,3696588.0
2015-02-27,3929238.0
2015-03-02,4060530.0
2015-03-03,4025724.0
2015-03-04,4077578.0
2015-03-05,4050276.0
2015-03-06,4102574.0
2015-03-09,4083492.0
2015-03-10,4028896.0
2015-03-11,4135368.0
2015-03-12,4127702.0
2015-03-13,4111170.0
2015-03-16,4182546.0
2015-03-17,4309394.0
2015-03-18,4351286.0
2015-03-19,4373554.0
2015-03-20,4369392.0
2015-03-23,4438304.0
2015-03-24,4508914.0
2015-03-25,4481558.0
2015-03-26,4513838.0
2015-03-27,4523690.0
2015-03-30,4514662.0
2015-03-31,4503064.0
2015-04-01,4360580.0
2015-04-02,4286924.0
2015-04-03,4217128.0
2015-04-07,4298184.0
2015-04-08,4405528.0
2015-04-09,4573162.0
2015-04-10,4538660.0
2015-04-13,4510308.0
2015-04-14,4503298.0
2015-04-15,4514316.0
2015-04-16,4646338.0
2015-04-17,4621870.0
2015-04-20,4519304.0
2015-04-21,4514546.0
2015-04-22,4553874.0
2015-04-23,4409746.0
2015-04-24,4433730.0
2015-04-27,4598204.0
2015-04-28,4726046.0
2015-04-29,4666818.0
2015-04-30,4661300.0
2015-05-04,4733476.0
2015-05-05,4809954.0
2015-05-06,4864084.0
2015-05-07,4882584.0
2015-05-08,4929976.0
2015-05-11,4982878.0
2015-05-12,5158088.0
2015-05-13,5247500.0
2015-05-14,5312550.0
2015-05-15,5297448.0
2015-05-18,5435488.0
2015-05-19,5472706.0
2015-05-20,5270298.0
2015-05-21,5313136.0
2015-05-22,5443446.0
2015-05-25,5499264.0
2015-05-26,5586950.0
2015-05-27,5641578.0
2015-05-28,5496186.0
2015-05-29,5507138.0
2015-06-01,5837670.0
2015-06-02,5695010.0
2015-06-03,5595336.0
2015-06-04,5538476.0
2015-06-05,5414728.0
2015-06-08,5440960.0
2015-06-09,5358102.0
2015-06-10,5383898.0
2015-06-11,5355276.0
2015-06-12,5408174.0
2015-06-15,5375188.0
2015-06-16,5362738.0
2015-06-17,5270258.0
2015-06-18,5244340.0
2015-06-19,5058274.0
2015-06-23,4961778.0
2015-06-24,5154154.0
2015-06-25,5158984.0
2015-06-26,4998472.0
2015-06-29,4689136.0
2015-06-30,4559560.0
2015-07-01,4333422.0
2015-07-02,3916544.0
2015-07-03,3954154.0
2015-07-06,3679422.0
2015-07-07,3571690.0
2015-07-08,3024694.0
2015-07-09,2793342.0
2015-07-10,2822982.0
2015-07-13,2832838.0
2015-07-14,2918328.0
2015-07-15,2893226.0
2015-07-16,2794076.0
2015-07-17,2757598.0
2015-07-20,2750082.0
2015-07-21,2768784.0
2015-07-22,2768540.0
2015-07-23,2738238.0
2015-07-24,2757138.0
2015-07-27,2762296.0
2015-07-28,2696176.0
2015-07-29,2702772.0
2015-07-30,2676860.0
2015-07-31,2673768.0
2015-08-03,2685682.0
2015-08-04,2706294.0
2015-08-05,2721214.0
2015-08-06,2682298.0
2015-08-07,2539106.0
2015-08-10,2623708.0
2015-08-11,2597946.0
2015-08-12,2570356.0
2015-08-13,2572398.0
2015-08-14,2469464.0
2015-08-17,2458422.0
2015-08-18,2462004.0
2015-08-19,2383048.0
2015-08-20,2430770.0
2015-08-21,2357552.0
2015-08-24,2385786.0
2015-08-25,2300400.0
2015-08-26,2220482.0
2015-08-27,2204304.0
2015-08-28,2091094.0
2015-08-31,2043610.0
2015-09-01,2052376.0
2015-09-02,2016762.0
2015-09-07,2066892.0
2015-09-08,2061284.0
2015-09-09,2074324.0
2015-09-10,2095322.0
2015-09-11,2093788.0
2015-09-14,2237578.0
2015-09-15,2256094.0
2015-09-16,2275688.0
2015-09-17,2322354.0
2015-09-18,2338692.0
2015-09-21,2253090.0
2015-09-22,2267134.0
2015-09-23,2333318.0
2015-09-24,2329650.0
2015-09-25,2284420.0
2015-09-28,2225244.0
2015-09-29,2142066.0
2015-09-30,2018726.0
2015-10-08,2104898.0
2015-10-09,2268448.0
2015-10-12,2246624.0
2015-10-13,2314294.0
2015-10-14,2465830.0
2015-10-15,2453454.0
2015-10-16,2508460.0
2015-10-19,2540436.0
2015-10-20,2708476.0
2015-10-21,2744622.0
2015-10-22,2709114.0
2015-10-23,2859774.0
2015-10-26,2819352.0
2015-10-27,2771216.0
2015-10-28,2725048.0
2015-10-29,2714166.0
2015-10-30,2748746.0
2015-11-02,2772156.0
2015-11-03,2952398.0
2015-11-04,2956168.0
2015-11-05,3074890.0
2015-11-06,3070406.0
2015-11-09,3060982.0
2015-11-10,3107940.0
2015-11-11,2990390.0
2015-11-12,2950586.0
2015-11-13,3002084.0
2015-11-16,2998346.0
2015-11-17,2972560.0
2015-11-18,2887148.0
2015-11-19,2844618.0
2015-11-20,2915110.0
2015-11-23,2961656.0
2015-11-24,2896154.0
2015-11-25,2927082.0
2015-11-26,2759086.0
2015-11-27,2667424.0
2015-11-30,2631510.0
2015-12-01,2600804.0
2015-12-02,2609300.0
2015-12-03,2729882.0
2015-12-04,2808082.0
2015-12-07,2646042.0
2015-12-08,2553320.0
2015-12-09,2429164.0
2015-12-10,2471594.0
2015-12-11,2329020.0
2015-12-14,2319744.0
2015-12-15,2263672.0
2015-12-16,2294082.0
2015-12-17,2521838.0
2015-12-18,2383480.0
2015-12-21,2301504.0
2015-12-22,2281368.0
2015-12-23,2265732.0
2015-12-24,2250402.0
2015-12-25,2234434.0
2015-12-28,2234962.0
2015-12-29,2235276.0
2015-12-30,2358244.0
2015-12-31,2175096.0
2016-01-04,2235352.0
2016-01-05,2209188.0
2016-01-06,2248032.0
2016-01-07,2209240.0
2016-01-08,2333880.0
2016-01-11,2283560.0
2016-01-12,2283898.0
2016-01-13,2366058.0
2016-01-14,2410784.0
2016-01-15,2417172.0
2016-01-18,2536810.0
2016-01-19,2536314.0
2016-01-20,2603114.0
2016-01-21,2639956.0
2016-01-22,2624150.0
2016-01-25,2602036.0
2016-01-26,2621982.0
2016-01-27,2665724.0
2016-01-28,2656580.0
2016-01-29,2677118.0
2016-02-01,2636236.0
2016-02-02,2665074.0
2016-02-03,2591428.0
2016-02-04,2580258.0
2016-02-05,2535544.0
2016-02-15,2636370.0
2016-02-16,2834924.0
2016-02-17,2978718.0
2016-02-18,3075908.0
2016-02-19,3061898.0
2016-02-22,3083838.0
2016-02-23,3091704.0
2016-02-24,3050344.0
