trading_date,FG_total_oi
2014-10-17,1042806.0
2014-10-20,1062342.0
2014-10-21,967616.0
2014-10-22,922888.0
2014-10-23,925096.0
2014-10-24,932552.0
2014-10-27,926210.0
2014-10-28,922704.0
2014-10-29,928228.0
2014-10-30,881916.0
2014-10-31,877442.0
2014-11-03,892366.0
2014-11-04,840852.0
2014-11-05,863162.0
2014-11-06,857934.0
2014-11-07,844146.0
2014-11-10,889360.0
2014-11-11,892552.0
2014-11-12,978364.0
2014-11-13,948626.0
2014-11-14,968510.0
2014-11-17,934534.0
2014-11-18,842474.0
2014-11-19,823982.0
2014-11-20,807376.0
2014-11-21,805650.0
2014-11-24,833894.0
2014-11-25,786096.0
2014-11-26,774420.0
2014-11-27,743796.0
2014-11-28,727072.0
2014-12-01,683038.0
2014-12-02,667608.0
2014-12-03,689844.0
2014-12-04,680682.0
2014-12-05,646964.0
2014-12-08,643324.0
2014-12-09,641324.0
2014-12-10,634720.0
2014-12-11,634574.0
2014-12-12,588260.0
2014-12-15,621436.0
2014-12-16,590832.0
2014-12-17,568200.0
2014-12-18,550764.0
2014-12-19,553796.0
2014-12-22,549064.0
2014-12-23,505960.0
2014-12-24,554778.0
2014-12-25,558952.0
2014-12-26,554834.0
2014-12-29,679354.0
2014-12-30,713628.0
2014-12-31,664702.0
2015-01-05,707770.0
2015-01-06,732122.0
2015-01-07,718884.0
2015-01-08,693174.0
2015-01-09,667778.0
2015-01-12,618866.0
2015-01-13,604316.0
2015-01-14,551398.0
2015-01-15,580030.0
2015-01-16,537082.0
2015-01-19,550096.0
2015-01-20,544196.0
2015-01-21,536194.0
2015-01-22,566322.0
2015-01-23,521994.0
2015-01-26,499328.0
2015-01-27,504006.0
2015-01-28,495878.0
2015-01-29,489268.0
2015-01-30,478190.0
2015-02-02,474382.0
2015-02-03,492374.0
2015-02-04,511480.0
2015-02-05,507522.0
2015-02-06,507484.0
2015-02-09,508144.0
2015-02-10,509726.0
2015-02-11,572734.0
2015-02-12,558196.0
2015-02-13,537178.0
2015-02-16,528080.0
2015-02-17,511232.0
2015-02-25,507534.0
2015-02-26,601392.0
2015-02-27,607306.0
2015-03-02,572764.0
2015-03-03,533646.0
2015-03-04,550054.0
2015-03-05,511942.0
2015-03-06,509530.0
2015-03-09,474478.0
2015-03-10,462038.0
2015-03-11,460726.0
2015-03-12,456356.0
2015-03-13,463334.0
2015-03-16,465092.0
2015-03-17,449782.0
2015-03-18,427562.0
2015-03-19,421396.0
2015-03-20,446686.0
2015-03-23,445166.0
2015-03-24,431828.0
2015-03-25,424884.0
2015-03-26,431946.0
2015-03-27,415368.0
2015-03-30,529862.0
2015-03-31,439944.0
2015-04-01,406460.0
2015-04-02,429760.0
2015-04-03,447056.0
2015-04-07,398580.0
2015-04-08,399026.0
2015-04-09,375840.0
2015-04-10,386088.0
2015-04-13,346956.0
2015-04-14,322746.0
2015-04-15,309094.0
2015-04-16,319250.0
2015-04-17,313696.0
2015-04-20,348322.0
2015-04-21,310780.0
2015-04-22,300044.0
2015-04-23,303652.0
2015-04-24,283020.0
2015-04-27,289844.0
2015-04-28,282922.0
2015-04-29,271326.0
2015-04-30,261166.0
2015-05-04,269832.0
2015-05-05,292370.0
2015-05-06,300498.0
2015-05-07,272084.0
2015-05-08,300296.0
2015-05-11,308926.0
2015-05-12,289972.0
2015-05-13,286442.0
2015-05-14,261000.0
2015-05-15,320324.0
2015-05-18,308360.0
2015-05-19,289596.0
2015-05-20,288026.0
2015-05-21,266352.0
2015-05-22,277074.0
2015-05-25,287908.0
2015-05-26,272642.0
2015-05-27,269124.0
2015-05-28,273302.0
2015-05-29,267954.0
2015-06-01,259548.0
2015-06-02,317440.0
2015-06-03,270656.0
2015-06-04,282424.0
2015-06-05,266866.0
2015-06-08,273344.0
2015-06-09,264788.0
2015-06-10,266868.0
2015-06-11,313082.0
2015-06-12,270448.0
2015-06-15,257870.0
2015-06-16,232350.0
2015-06-17,231062.0
2015-06-18,216034.0
2015-06-19,214532.0
2015-06-23,217734.0
2015-06-24,208474.0
2015-06-25,212780.0
2015-06-26,209900.0
2015-06-29,203310.0
2015-06-30,218024.0
2015-07-01,223494.0
2015-07-02,214012.0
2015-07-03,208156.0
2015-07-06,224816.0
2015-07-07,242920.0
2015-07-08,221792.0
2015-07-09,131554.0
2015-07-10,149732.0
2015-07-13,159076.0
2015-07-14,161418.0
2015-07-15,162934.0
2015-07-16,174194.0
2015-07-17,176744.0
2015-07-20,173828.0
2015-07-21,170672.0
2015-07-22,170702.0
2015-07-23,176180.0
2015-07-24,204484.0
2015-07-27,191054.0
2015-07-28,189840.0
2015-07-29,176464.0
2015-07-30,186468.0
2015-07-31,170610.0
2015-08-03,156548.0
2015-08-04,149124.0
2015-08-05,152824.0
2015-08-06,154824.0
2015-08-07,163302.0
2015-08-10,185228.0
2015-08-11,186046.0
2015-08-12,201408.0
2015-08-13,193702.0
2015-08-14,184998.0
2015-08-17,158686.0
2015-08-18,148928.0
2015-08-19,176040.0
2015-08-20,178746.0
2015-08-21,179054.0
2015-08-24,141224.0
2015-08-25,141784.0
2015-08-26,146272.0
2015-08-27,139886.0
2015-08-28,142332.0
2015-08-31,163244.0
2015-09-01,180552.0
2015-09-02,161694.0
2015-09-07,199730.0
2015-09-08,189720.0
2015-09-09,170536.0
2015-09-10,175186.0
2015-09-11,188278.0
2015-09-14,181334.0
2015-09-15,190952.0
2015-09-16,180194.0
2015-09-17,187722.0
2015-09-18,188596.0
2015-09-21,196156.0
2015-09-22,200236.0
2015-09-23,212716.0
2015-09-24,328230.0
2015-09-25,291804.0
2015-09-28,293184.0
2015-09-29,278816.0
2015-09-30,257232.0
2015-10-08,222630.0
2015-10-09,206484.0
2015-10-12,237782.0
2015-10-13,237190.0
2015-10-14,268892.0
2015-10-15,264428.0
2015-10-16,271478.0
2015-10-19,282054.0
2015-10-20,276826.0
2015-10-21,340864.0
2015-10-22,403364.0
2015-10-23,404906.0
2015-10-26,445186.0
2015-10-27,495310.0
2015-10-28,514412.0
2015-10-29,507120.0
2015-10-30,543432.0
2015-11-02,546856.0
2015-11-03,557116.0
2015-11-04,587876.0
2015-11-05,513636.0
2015-11-06,534588.0
2015-11-09,538856.0
2015-11-10,544282.0
2015-11-11,543674.0
2015-11-12,541148.0
2015-11-13,526326.0
2015-11-16,528450.0
2015-11-17,506486.0
2015-11-18,517040.0
2015-11-19,482030.0
2015-11-20,456080.0
2015-11-23,451954.0
2015-11-24,434344.0
2015-11-25,424996.0
2015-11-26,304530.0
2015-11-27,325334.0
2015-11-30,325198.0
2015-12-01,317520.0
2015-12-02,306576.0
2015-12-03,307820.0
2015-12-04,273344.0
2015-12-07,274328.0
2015-12-08,270744.0
2015-12-09,262910.0
2015-12-10,263770.0
2015-12-11,280926.0
2015-12-14,285482.0
2015-12-15,311268.0
2015-12-16,305934.0
2015-12-17,297916.0
2015-12-18,299788.0
2015-12-21,337542.0
2015-12-22,351650.0
2015-12-23,330752.0
2015-12-24,323616.0
2015-12-25,323482.0
2015-12-28,310970.0
2015-12-29,298646.0
2015-12-30,300424.0
2015-12-31,287642.0
2016-01-04,287588.0
2016-01-05,283380.0
2016-01-06,284360.0
2016-01-07,284536.0
2016-01-08,365168.0
2016-01-11,385848.0
2016-01-12,298214.0
2016-01-13,291106.0
2016-01-14,279042.0
2016-01-15,291284.0
2016-01-18,348442.0
2016-01-19,375112.0
2016-01-20,359480.0
2016-01-21,370182.0
2016-01-22,391454.0
2016-01-25,331282.0
2016-01-26,309716.0
2016-01-27,309928.0
2016-01-28,304472.0
2016-01-29,280430.0
2016-02-01,272300.0
2016-02-02,254516.0
2016-02-03,238372.0
2016-02-04,225052.0
2016-02-05,210520.0
2016-02-15,226452.0
2016-02-16,238056.0
2016-02-17,285672.0
2016-02-18,304970.0
2016-02-19,294164.0
2016-02-22,282198.0
2016-02-23,262712.0
2016-02-24,259248.0
2016-02-25,275222.0
2016-02-26,275218.0
2016-02-29,261382.0
2016-03-01,279618.0
2016-03-02,270212.0
2016-03-03,264246.0
2016-03-04,259864.0
2016-03-07,260318.0
2016-03-08,237400.0
2016-03-09,220960.0
2016-03-10,231024.0
2016-03-11,219372.0
2016-03-14,219784.0
2016-03-15,201270.0
2016-03-16,199918.0
2016-03-17,217696.0
2016-03-18,249262.0
2016-03-21,240178.0
2016-03-22,239910.0
2016-03-23,227934.0
2016-03-24,198816.0
2016-03-25,181426.0
2016-03-28,181988.0
2016-03-29,179492.0
2016-03-30,185728.0
2016-03-31,177480.0
2016-04-01,181078.0
2016-04-05,176030.0
2016-04-06,185604.0
2016-04-07,204590.0
2016-04-08,192794.0
2016-04-11,208744.0
2016-04-12,221830.0
2016-04-13,212028.0
2016-04-14,210906.0
2016-04-15,233796.0
2016-04-18,224598.0
2016-04-19,224876.0
2016-04-20,206472.0
2016-04-21,194132.0
2016-04-22,174774.0
2016-04-25,176576.0
2016-04-26,166508.0
2016-04-27,168916.0
2016-04-28,162952.0
2016-04-29,161044.0
2016-05-03,172668.0
2016-05-04,169956.0
2016-05-05,176838.0
2016-05-06,186032.0
2016-05-09,217530.0
2016-05-10,215890.0
2016-05-11,223268.0
2016-05-12,221178.0
2016-05-13,219378.0
2016-05-16,221642.0
2016-05-17,225542.0
2016-05-18,211050.0
2016-05-19,212330.0
2016-05-20,212650.0
2016-05-23,221172.0
2016-05-24,232550.0
2016-05-25,233328.0
2016-05-26,229428.0
2016-05-27,220452.0
2016-05-30,245162.0
2016-05-31,274664.0
2016-06-01,303374.0
2016-06-02,349590.0
2016-06-03,342464.0
2016-06-06,320726.0
2016-06-07,311500.0
2016-06-08,293826.0
2016-06-13,310038.0
2016-06-14,294428.0
2016-06-15,288184.0
2016-06-16,279122.0
2016-06-17,244670.0
2016-06-20,244214.0
2016-06-21,256666.0
2016-06-22,268858.0
2016-06-23,280808.0
2016-06-24,250428.0
2016-06-27,294526.0
2016-06-28,303952.0
2016-06-29,315162.0
2016-06-30,360526.0
2016-07-01,341816.0
2016-07-04,337798.0
2016-07-05,322180.0
2016-07-06,298940.0
2016-07-07,284326.0
2016-07-08,300110.0
2016-07-11,283412.0
2016-07-12,304198.0
2016-07-13,286038.0
2016-07-14,298398.0
2016-07-15,296942.0
2016-07-18,274448.0
2016-07-19,266864.0
2016-07-20,254824.0
2016-07-21,255304.0
2016-07-22,240088.0
2016-07-25,255602.0
2016-07-26,280132.0
2016-07-27,275150.0
2016-07-28,274940.0
2016-07-29,251870.0
2016-08-01,294666.0
2016-08-02,299896.0
2016-08-03,308746.0
2016-08-04,310352.0
2016-08-05,324116.0
2016-08-08,322024.0
2016-08-09,360546.0
2016-08-10,314742.0
2016-08-11,307222.0
2016-08-12,297110.0
2016-08-15,292036.0
2016-08-16,344256.0
2016-08-17,319160.0
2016-08-18,342364.0
2016-08-19,354986.0
2016-08-22,369130.0
2016-08-23,372312.0
2016-08-24,346264.0
2016-08-25,369722.0
2016-08-26,439938.0
2016-08-29,424222.0
2016-08-30,418430.0
2016-08-31,373696.0
2016-09-01,371496.0
2016-09-02,355608.0
2016-09-05,361888.0
2016-09-06,343128.0
2016-09-07,327940.0
2016-09-08,328564.0
2016-09-09,330026.0
2016-09-12,343774.0
2016-09-13,384862.0
2016-09-14,352434.0
2016-09-19,348952.0
2016-09-20,392546.0
2016-09-21,398454.0
2016-09-22,389318.0
2016-09-23,384632.0
2016-09-26,344916.0
2016-09-27,327978.0
2016-09-28,306882.0
2016-09-29,272714.0
2016-09-30,285142.0
2016-10-10,310232.0
2016-10-11,367034.0
2016-10-12,361656.0
2016-10-13,381272.0
2016-10-14,382194.0
2016-10-17,397626.0
2016-10-18,374994.0
2016-10-19,335376.0
2016-10-20,345728.0
2016-10-21,336602.0
2016-10-24,335414.0
2016-10-25,343164.0
2016-10-26,318200.0
2016-10-27,318678.0
2016-10-28,323916.0
2016-10-31,339332.0
2016-11-01,383514.0
2016-11-02,325838.0
2016-11-03,393622.0
2016-11-04,383510.0
2016-11-07,433336.0
2016-11-08,324964.0
2016-11-09,346430.0
2016-11-10,342858.0
2016-11-11,357030.0
2016-11-14,248870.0
2016-11-15,236326.0
2016-11-16,217064.0
2016-11-17,230006.0
2016-11-18,227504.0
2016-11-21,228766.0
2016-11-22,263306.0
2016-11-23,267298.0
2016-11-24,269512.0
2016-11-25,245308.0
2016-11-28,256884.0
2016-11-29,222106.0
2016-11-30,216470.0
2016-12-01,201990.0
2016-12-02,208988.0
2016-12-05,204214.0
2016-12-06,207936.0
2016-12-07,217358.0
2016-12-08,267762.0
2016-12-09,256770.0
2016-12-12,295898.0
2016-12-13,321196.0
2016-12-14,320012.0
2016-12-15,295554.0
2016-12-16,296570.0
2016-12-19,241108.0
2016-12-20,241666.0
2016-12-21,258586.0
2016-12-22,231514.0
2016-12-23,214590.0
2016-12-26,228534.0
2016-12-27,194190.0
2016-12-28,220326.0
2016-12-29,198892.0
2016-12-30,183600.0
2017-01-03,187290.0
2017-01-04,214374.0
2017-01-05,203852.0
2017-01-06,213228.0
2017-01-09,207022.0
2017-01-10,238626.0
2017-01-11,206318.0
2017-01-12,256178.0
2017-01-13,248834.0
2017-01-16,285916.0
2017-01-17,255188.0
2017-01-18,263592.0
2017-01-19,255358.0
2017-01-20,297616.0
2017-01-23,251212.0
2017-01-24,258848.0
2017-01-25,237996.0
2017-01-26,218456.0
2017-02-03,225122.0
2017-02-06,252922.0
2017-02-07,268008.0
2017-02-08,266316.0
2017-02-09,256526.0
2017-02-10,403224.0
2017-02-13,372986.0
2017-02-14,360266.0
2017-02-15,344426.0
2017-02-16,324048.0
2017-02-17,382774.0
2017-02-20,340034.0
2017-02-21,356066.0
2017-02-22,323620.0
2017-02-23,319414.0
2017-02-24,274138.0
2017-02-27,310202.0
2017-02-28,291310.0
2017-03-01,279408.0
2017-03-02,291280.0
2017-03-03,273008.0
2017-03-06,280678.0
2017-03-07,267822.0
2017-03-08,335234.0
2017-03-09,269466.0
2017-03-10,271868.0
2017-03-13,270022.0
2017-03-14,250188.0
2017-03-15,243328.0
2017-03-16,284044.0
2017-03-17,268900.0
2017-03-20,267168.0
2017-03-21,261582.0
2017-03-22,310944.0
2017-03-23,272192.0
2017-03-24,282044.0
2017-03-27,294450.0
2017-03-28,350038.0
2017-03-29,276360.0
2017-03-30,278018.0
2017-03-31,265874.0
2017-04-05,252778.0
2017-04-06,255368.0
2017-04-07,302626.0
2017-04-10,283500.0
2017-04-11,310622.0
2017-04-12,280146.0
2017-04-13,286898.0
2017-04-14,298534.0
2017-04-17,308156.0
2017-04-18,287458.0
2017-04-19,299310.0
2017-04-20,310168.0
2017-04-21,310814.0
2017-04-24,328734.0
2017-04-25,308086.0
2017-04-26,299894.0
2017-04-27,312752.0
2017-04-28,306282.0
2017-05-02,305644.0
2017-05-03,307020.0
2017-05-04,334034.0
2017-05-05,274534.0
2017-05-08,284106.0
2017-05-09,278844.0
2017-05-10,293444.0
2017-05-11,328342.0
2017-05-12,324380.0
2017-05-15,355564.0
2017-05-16,327410.0
2017-05-17,345068.0
2017-05-18,291120.0
2017-05-19,438340.0
2017-05-22,362656.0
2017-05-23,417366.0
2017-05-24,374128.0
2017-05-25,378484.0
2017-05-26,396464.0
2017-05-31,375406.0
2017-06-01,356070.0
2017-06-02,391864.0
2017-06-05,433472.0
2017-06-06,409098.0
2017-06-07,435578.0
2017-06-08,400240.0
2017-06-09,407856.0
2017-06-12,402098.0
2017-06-13,401924.0
2017-06-14,411672.0
2017-06-15,356826.0
2017-06-16,423930.0
2017-06-19,363836.0
2017-06-20,432738.0
2017-06-21,376364.0
2017-06-22,485934.0
