trading_date,B_total_oi
2018-02-01,56836.0
2018-02-02,57222.0
2018-02-05,54660.0
2018-02-06,54326.0
2018-02-07,71222.0
2018-02-08,74772.0
2018-02-09,73246.0
2018-02-12,66296.0
2018-02-13,49028.0
2018-02-14,42380.0
2018-02-22,47308.0
2018-02-23,62018.0
2018-02-26,64118.0
2018-02-27,62006.0
2018-02-28,62604.0
2018-03-01,58686.0
2018-03-02,72086.0
2018-03-05,69916.0
2018-03-06,75644.0
2018-03-07,76762.0
2018-03-08,90680.0
2018-03-09,100986.0
2018-03-12,110558.0
2018-03-13,118292.0
2018-03-14,100754.0
2018-03-15,106518.0
2018-03-16,103588.0
2018-03-19,109216.0
2018-03-20,110278.0
2018-03-21,107348.0
2018-03-22,105446.0
2018-03-23,102634.0
2018-03-26,101988.0
2018-03-27,95248.0
2018-03-28,94450.0
2018-03-29,90860.0
2018-03-30,91704.0
2018-04-02,103798.0
2018-04-03,124696.0
2018-04-04,124680.0
2018-04-09,131462.0
2018-04-10,137618.0
2018-04-11,143072.0
2018-04-12,144470.0
2018-04-13,149110.0
2018-04-16,152764.0
2018-04-17,157024.0
2018-04-18,159992.0
2018-04-19,155210.0
2018-04-20,152038.0
2018-04-23,148920.0
2018-04-24,142860.0
2018-04-25,142926.0
2018-04-26,125162.0
2018-04-27,118622.0
2018-05-02,135414.0
2018-05-03,151388.0
2018-05-04,169076.0
2018-05-07,179048.0
2018-05-08,185752.0
2018-05-09,179726.0
2018-05-10,185286.0
2018-05-11,194480.0
2018-05-14,189934.0
2018-05-15,193420.0
2018-05-16,191790.0
2018-05-17,185980.0
2018-05-18,186642.0
2018-05-21,187786.0
2018-05-22,187286.0
2018-05-23,190822.0
2018-05-24,192236.0
2018-05-25,186134.0
2018-05-28,187118.0
2018-05-29,185548.0
2018-05-30,182922.0
2018-05-31,178874.0
2018-06-01,193132.0
2018-06-04,189962.0
2018-06-05,182660.0
2018-06-06,181088.0
2018-06-07,182568.0
2018-06-08,177206.0
2018-06-11,170364.0
2018-06-12,172300.0
2018-06-13,169758.0
2018-06-14,165474.0
2018-06-15,173398.0
2018-06-19,180520.0
2018-06-20,176120.0
2018-06-21,180154.0
2018-06-22,170048.0
2018-06-25,171130.0
2018-06-26,171348.0
2018-06-27,169672.0
2018-06-28,165342.0
2018-06-29,165522.0
2018-07-02,173558.0
2018-07-03,172114.0
2018-07-04,175184.0
2018-07-05,172318.0
2018-07-06,178580.0
2018-07-09,178962.0
2018-07-10,183958.0
2018-07-11,186912.0
2018-07-12,182630.0
2018-07-13,167830.0
2018-07-16,165512.0
2018-07-17,170276.0
2018-07-18,173392.0
2018-07-19,162620.0
2018-07-20,162290.0
2018-07-23,162896.0
2018-07-24,156572.0
2018-07-25,156862.0
2018-07-26,157660.0
2018-07-27,158408.0
2018-07-30,158482.0
2018-07-31,152974.0
2018-08-01,150004.0
2018-08-02,158080.0
2018-08-03,157836.0
2018-08-06,161628.0
2018-08-07,158600.0
2018-08-08,173666.0
2018-08-09,152926.0
2018-08-10,181740.0
2018-08-13,188518.0
2018-08-14,196672.0
2018-08-15,202944.0
2018-08-16,202258.0
2018-08-17,200662.0
2018-08-20,200688.0
2018-08-21,200930.0
2018-08-22,205444.0
2018-08-23,208792.0
2018-08-24,205802.0
2018-08-27,203758.0
2018-08-28,195390.0
2018-08-29,195312.0
2018-08-30,192860.0
2018-08-31,194226.0
2018-09-03,199642.0
2018-09-04,201346.0
2018-09-05,204122.0
2018-09-06,192304.0
2018-09-07,196956.0
2018-09-10,205976.0
2018-09-11,206448.0
2018-09-12,207322.0
2018-09-13,208778.0
2018-09-14,203994.0
2018-09-17,199794.0
2018-09-18,193114.0
2018-09-19,192438.0
2018-09-20,189828.0
2018-09-21,190180.0
2018-09-25,192164.0
2018-09-26,183868.0
2018-09-27,173994.0
2018-09-28,160868.0
2018-10-08,168548.0
2018-10-09,184744.0
2018-10-10,188216.0
2018-10-11,189434.0
2018-10-12,191454.0
2018-10-15,184542.0
2018-10-16,184966.0
2018-10-17,186668.0
2018-10-18,184742.0
2018-10-19,191590.0
2018-10-22,192478.0
2018-10-23,188250.0
2018-10-24,186990.0
2018-10-25,187716.0
2018-10-26,186566.0
2018-10-29,186304.0
2018-10-30,187432.0
2018-10-31,186982.0
2018-11-01,190104.0
2018-11-02,194900.0
2018-11-05,194198.0
2018-11-06,194296.0
2018-11-07,196852.0
2018-11-08,195304.0
2018-11-09,194744.0
2018-11-12,199078.0
2018-11-13,203768.0
2018-11-14,206468.0
2018-11-15,212140.0
2018-11-16,211304.0
2018-11-19,208684.0
2018-11-20,205980.0
2018-11-21,207536.0
2018-11-22,207380.0
2018-11-23,206326.0
2018-11-26,203562.0
2018-11-27,204072.0
2018-11-28,199832.0
2018-11-29,200370.0
2018-11-30,201362.0
2018-12-03,202126.0
2018-12-04,208800.0
2018-12-05,211328.0
2018-12-06,207804.0
2018-12-07,209150.0
2018-12-10,208722.0
2018-12-11,210818.0
2018-12-12,208974.0
2018-12-13,212612.0
2018-12-14,219464.0
2018-12-17,219426.0
2018-12-18,216390.0
2018-12-19,207586.0
2018-12-20,215744.0
2018-12-21,217880.0
2018-12-24,218812.0
2018-12-25,210784.0
2018-12-26,204462.0
2018-12-27,205360.0
2018-12-28,202076.0
2019-01-02,215446.0
2019-01-03,233584.0
2019-01-04,233748.0
2019-01-07,232484.0
2019-01-08,241070.0
2019-01-09,240802.0
2019-01-10,242952.0
2019-01-11,243690.0
2019-01-14,247734.0
2019-01-15,259064.0
2019-01-16,261936.0
2019-01-17,264684.0
2019-01-18,262914.0
2019-01-21,257820.0
2019-01-22,257190.0
2019-01-23,252394.0
2019-01-24,251286.0
2019-01-25,246092.0
2019-01-28,237776.0
2019-01-29,231426.0
2019-01-30,220700.0
2019-01-31,203162.0
2019-02-01,195272.0
2019-02-11,212934.0
2019-02-12,230656.0
2019-02-13,236564.0
2019-02-14,236858.0
2019-02-15,234454.0
2019-02-18,234038.0
2019-02-19,230830.0
2019-02-20,235072.0
2019-02-21,238678.0
2019-02-22,241656.0
2019-02-25,244854.0
2019-02-26,244072.0
2019-02-27,245214.0
2019-02-28,212090.0
2019-03-01,175748.0
2019-03-04,177214.0
2019-03-05,189444.0
2019-03-06,204990.0
2019-03-07,213092.0
2019-03-08,220576.0
2019-03-11,229810.0
2019-03-12,230734.0
2019-03-13,227846.0
2019-03-14,229010.0
2019-03-15,230006.0
2019-03-18,229204.0
2019-03-19,246838.0
2019-03-20,264110.0
2019-03-21,265352.0
2019-03-22,271182.0
2019-03-25,276434.0
2019-03-26,278090.0
2019-03-27,254130.0
2019-03-28,243570.0
2019-03-29,162778.0
2019-04-01,210568.0
2019-04-02,214834.0
2019-04-03,235608.0
2019-04-04,241298.0
2019-04-08,246818.0
2019-04-09,263766.0
2019-04-10,263730.0
2019-04-11,265186.0
2019-04-12,275652.0
2019-04-15,268126.0
2019-04-16,269974.0
2019-04-17,278102.0
2019-04-18,280458.0
2019-04-19,294768.0
2019-04-22,288790.0
2019-04-23,285712.0
2019-04-24,293032.0
2019-04-25,294128.0
2019-04-26,286646.0
2019-04-29,176828.0
2019-04-30,122594.0
2019-05-06,171104.0
2019-05-07,228820.0
2019-05-08,258906.0
2019-05-09,253504.0
2019-05-10,261228.0
2019-05-13,265606.0
2019-05-14,263738.0
2019-05-15,265014.0
2019-05-16,247774.0
2019-05-17,236122.0
2019-05-20,238688.0
2019-05-21,236778.0
2019-05-22,228334.0
2019-05-23,227610.0
2019-05-24,225092.0
2019-05-27,227666.0
2019-05-28,223120.0
2019-05-29,227268.0
2019-05-30,178994.0
2019-05-31,89758.0
2019-06-03,166992.0
2019-06-04,194842.0
2019-06-05,209904.0
2019-06-06,204170.0
2019-06-10,206314.0
2019-06-11,237958.0
2019-06-12,251500.0
2019-06-13,253566.0
2019-06-14,267882.0
2019-06-17,277264.0
2019-06-18,271200.0
2019-06-19,266606.0
2019-06-20,260288.0
2019-06-21,260178.0
2019-06-24,257518.0
2019-06-25,261350.0
2019-06-26,258340.0
2019-06-27,220572.0
2019-06-28,107942.0
2019-07-01,195822.0
2019-07-02,244222.0
2019-07-03,243842.0
2019-07-04,249654.0
2019-07-05,263948.0
2019-07-08,271378.0
2019-07-09,266090.0
2019-07-10,249120.0
2019-07-11,246302.0
2019-07-12,246922.0
2019-07-15,245516.0
2019-07-16,243366.0
2019-07-17,242778.0
2019-07-18,242906.0
2019-07-19,248170.0
2019-07-22,245870.0
2019-07-23,244628.0
2019-07-24,242784.0
2019-07-25,256244.0
2019-07-26,245580.0
2019-07-29,243504.0
2019-07-30,156386.0
2019-07-31,56242.0
2019-08-01,172518.0
2019-08-02,219348.0
2019-08-05,230100.0
2019-08-06,225174.0
2019-08-07,242714.0
2019-08-08,259202.0
2019-08-09,263988.0
2019-08-12,258624.0
2019-08-13,265794.0
2019-08-14,274846.0
2019-08-15,278012.0
2019-08-16,280466.0
2019-08-19,281146.0
2019-08-20,269106.0
2019-08-21,280094.0
2019-08-22,274242.0
2019-08-23,282140.0
2019-08-26,279016.0
2019-08-27,265268.0
2019-08-28,251556.0
2019-08-29,174764.0
2019-08-30,110964.0
2019-09-02,226858.0
2019-09-03,236150.0
2019-09-04,259228.0
2019-09-05,263476.0
2019-09-06,253460.0
2019-09-09,256830.0
2019-09-10,257792.0
2019-09-11,262564.0
2019-09-12,261798.0
2019-09-16,255926.0
2019-09-17,255692.0
2019-09-18,255182.0
2019-09-19,256166.0
2019-09-20,250208.0
2019-09-23,234034.0
2019-09-24,216684.0
2019-09-25,188368.0
2019-09-26,156494.0
2019-09-27,112098.0
2019-09-30,78452.0
2019-10-08,118746.0
2019-10-09,188950.0
2019-10-10,217138.0
2019-10-11,233958.0
2019-10-14,245438.0
2019-10-15,255084.0
2019-10-16,255314.0
2019-10-17,262420.0
2019-10-18,268668.0
2019-10-21,269892.0
2019-10-22,272606.0
2019-10-23,272292.0
2019-10-24,271484.0
2019-10-25,276556.0
2019-10-28,264826.0
2019-10-29,246630.0
2019-10-30,202490.0
2019-10-31,111974.0
2019-11-01,186082.0
2019-11-04,262284.0
2019-11-05,289174.0
2019-11-06,299282.0
2019-11-07,304198.0
2019-11-08,316824.0
2019-11-11,328116.0
2019-11-12,330200.0
2019-11-13,336504.0
2019-11-14,340610.0
2019-11-15,339376.0
2019-11-18,338748.0
2019-11-19,340734.0
2019-11-20,337550.0
2019-11-21,333666.0
2019-11-22,336466.0
2019-11-25,329046.0
