trading_date,ZC_total_oi
2016-05-04,169248.0
2016-05-05,174444.0
2016-05-06,175106.0
2016-05-09,169528.0
2016-05-10,159698.0
2016-05-11,153964.0
2016-05-12,152706.0
2016-05-13,158206.0
2016-05-16,144804.0
2016-05-17,167080.0
2016-05-18,161008.0
2016-05-19,185002.0
2016-05-20,175126.0
2016-05-23,208424.0
2016-05-24,228230.0
2016-05-25,254018.0
2016-05-26,232914.0
2016-05-27,210934.0
2016-05-30,233176.0
2016-05-31,247864.0
2016-06-01,268664.0
2016-06-02,306508.0
2016-06-03,308404.0
2016-06-06,271230.0
2016-06-07,254464.0
2016-06-08,245764.0
2016-06-13,242592.0
2016-06-14,272566.0
2016-06-15,277254.0
2016-06-16,288560.0
2016-06-17,261334.0
2016-06-20,261400.0
2016-06-21,296228.0
2016-06-22,287546.0
2016-06-23,304364.0
2016-06-24,296108.0
2016-06-27,271880.0
2016-06-28,256510.0
2016-06-29,266240.0
2016-06-30,258150.0
2016-07-01,248200.0
2016-07-04,256212.0
2016-07-05,242384.0
2016-07-06,237188.0
2016-07-07,248968.0
2016-07-08,235508.0
2016-07-11,240684.0
2016-07-12,255790.0
2016-07-13,262300.0
2016-07-14,261148.0
2016-07-15,271528.0
2016-07-18,283268.0
2016-07-19,291478.0
2016-07-20,311870.0
2016-07-21,326544.0
2016-07-22,329274.0
2016-07-25,333368.0
2016-07-26,335328.0
2016-07-27,334324.0
2016-07-28,358120.0
2016-07-29,358002.0
2016-08-01,328810.0
2016-08-02,339864.0
2016-08-03,332690.0
2016-08-04,353788.0
2016-08-05,346550.0
2016-08-08,329414.0
2016-08-09,343954.0
2016-08-10,345960.0
2016-08-11,352642.0
2016-08-12,354698.0
2016-08-15,362542.0
2016-08-16,336508.0
2016-08-17,314134.0
2016-08-18,317206.0
2016-08-19,268482.0
2016-08-22,277400.0
2016-08-23,266368.0
2016-08-24,281518.0
2016-08-25,269176.0
2016-08-26,265110.0
2016-08-29,264182.0
2016-08-30,259750.0
2016-08-31,292248.0
2016-09-01,299448.0
2016-09-02,278286.0
2016-09-05,289086.0
2016-09-06,302334.0
2016-09-07,268248.0
2016-09-08,297786.0
2016-09-09,311446.0
2016-09-12,311760.0
2016-09-13,318666.0
2016-09-14,314260.0
2016-09-19,324184.0
2016-09-20,325892.0
2016-09-21,300938.0
2016-09-22,325822.0
2016-09-23,321236.0
2016-09-26,340238.0
2016-09-27,348148.0
2016-09-28,332934.0
2016-09-29,291746.0
2016-09-30,270308.0
2016-10-10,295648.0
2016-10-11,327118.0
2016-10-12,325140.0
2016-10-13,359066.0
2016-10-14,353570.0
2016-10-17,366236.0
2016-10-18,362410.0
2016-10-19,351100.0
2016-10-20,344510.0
2016-10-21,400162.0
2016-10-24,446658.0
2016-10-25,432150.0
2016-10-26,408048.0
2016-10-27,515370.0
2016-10-28,499622.0
2016-10-31,541978.0
2016-11-01,516168.0
2016-11-02,523206.0
2016-11-03,534052.0
2016-11-04,507450.0
2016-11-07,480350.0
2016-11-08,497198.0
2016-11-09,431984.0
2016-11-10,471778.0
2016-11-11,433494.0
2016-11-14,405634.0
2016-11-15,419694.0
2016-11-16,419588.0
2016-11-17,436854.0
2016-11-18,416740.0
2016-11-21,376582.0
2016-11-22,365940.0
2016-11-23,344218.0
2016-11-24,315652.0
2016-11-25,288562.0
2016-11-28,251558.0
2016-11-29,258118.0
2016-11-30,263576.0
2016-12-01,228072.0
