trading_date,V_total_oi
2014-10-17,36190.0
2014-10-20,44964.0
2014-10-21,64696.0
2014-10-22,85944.0
2014-10-23,147814.0
2014-10-24,120148.0
2014-10-27,81790.0
2014-10-28,73402.0
2014-10-29,61764.0
2014-10-30,56970.0
2014-10-31,56246.0
2014-11-03,57354.0
2014-11-04,57306.0
2014-11-05,57534.0
2014-11-06,56498.0
2014-11-07,56654.0
2014-11-10,55514.0
2014-11-11,54610.0
2014-11-12,54006.0
2014-11-13,53940.0
2014-11-14,53790.0
2014-11-17,53870.0
2014-11-18,52694.0
2014-11-19,51500.0
2014-11-20,51260.0
2014-11-21,53120.0
2014-11-24,52002.0
2014-11-25,53736.0
2014-11-26,52952.0
2014-11-27,51802.0
2014-11-28,51632.0
2014-12-01,57120.0
2014-12-02,50576.0
2014-12-03,49696.0
2014-12-04,49054.0
2014-12-05,48032.0
2014-12-08,48128.0
2014-12-09,52790.0
2014-12-10,51524.0
2014-12-11,52540.0
2014-12-12,52016.0
2014-12-15,51754.0
2014-12-16,50486.0
2014-12-17,50258.0
2014-12-18,50372.0
2014-12-19,60542.0
2014-12-22,59064.0
2014-12-23,59314.0
2014-12-24,58774.0
2014-12-25,60004.0
2014-12-26,60228.0
2014-12-29,58448.0
2014-12-30,51140.0
2014-12-31,49036.0
2015-01-05,49842.0
2015-01-06,50462.0
2015-01-07,52064.0
2015-01-08,53974.0
2015-01-09,63234.0
2015-01-12,67316.0
2015-01-13,70590.0
2015-01-14,74044.0
2015-01-15,77960.0
2015-01-16,75062.0
2015-01-19,73758.0
2015-01-20,74720.0
2015-01-21,74164.0
2015-01-22,74374.0
2015-01-23,73136.0
2015-01-26,76086.0
2015-01-27,76516.0
2015-01-28,75346.0
2015-01-29,75060.0
2015-01-30,73818.0
2015-02-02,68090.0
2015-02-03,61792.0
2015-02-04,58458.0
2015-02-05,58182.0
2015-02-06,54044.0
2015-02-09,53940.0
2015-02-10,53378.0
2015-02-11,52514.0
2015-02-12,51886.0
2015-02-13,49126.0
2015-02-16,47874.0
2015-02-17,46996.0
