trading_date,HC_total_oi
2017-01-25,303432.0
2017-01-26,304148.0
2017-02-03,338276.0
2017-02-06,348570.0
2017-02-07,351740.0
2017-02-08,341694.0
2017-02-09,349510.0
2017-02-10,354652.0
2017-02-13,346826.0
2017-02-14,337502.0
2017-02-15,348310.0
2017-02-16,353170.0
2017-02-17,347048.0
2017-02-20,356008.0
2017-02-21,343664.0
2017-02-22,383984.0
2017-02-23,384104.0
2017-02-24,408820.0
2017-02-27,369490.0
2017-02-28,408460.0
2017-03-01,416644.0
2017-03-02,453572.0
2017-03-03,496060.0
2017-03-06,550652.0
2017-03-07,525086.0
2017-03-08,557984.0
2017-03-09,551814.0
2017-03-10,569138.0
2017-03-13,577346.0
2017-03-14,567872.0
2017-03-15,595870.0
2017-03-16,610812.0
2017-03-17,609572.0
2017-03-20,646056.0
2017-03-21,615574.0
2017-03-22,654442.0
2017-03-23,659244.0
2017-03-24,680416.0
2017-03-27,679526.0
2017-03-28,682028.0
2017-03-29,685112.0
2017-03-30,671786.0
2017-03-31,706880.0
2017-04-05,756170.0
2017-04-06,747736.0
2017-04-07,695076.0
2017-04-10,679852.0
2017-04-11,677482.0
2017-04-12,734262.0
2017-04-13,730920.0
2017-04-14,710684.0
2017-04-17,688482.0
2017-04-18,679666.0
2017-04-19,677730.0
2017-04-20,681732.0
2017-04-21,685848.0
2017-04-24,678978.0
2017-04-25,694702.0
2017-04-26,664132.0
2017-04-27,656848.0
2017-04-28,661596.0
2017-05-02,683776.0
2017-05-03,715982.0
2017-05-04,728602.0
2017-05-05,723528.0
2017-05-08,736718.0
2017-05-09,760432.0
2017-05-10,721900.0
2017-05-11,675608.0
2017-05-12,732244.0
2017-05-15,679132.0
2017-05-16,669004.0
2017-05-17,690928.0
2017-05-18,676198.0
2017-05-19,666706.0
2017-05-22,663542.0
2017-05-23,667332.0
2017-05-24,684328.0
2017-05-25,718116.0
2017-05-26,696384.0
2017-05-31,712822.0
2017-06-01,714194.0
2017-06-02,716096.0
2017-06-05,695384.0
2017-06-06,660324.0
2017-06-07,665310.0
2017-06-08,652394.0
