trading_date,SF_total_oi
2015-08-11,18.0
2015-08-12,18.0
2015-08-13,18.0
2015-08-14,20.0
2015-08-17,36.0
2015-08-18,38.0
2015-08-19,34.0
2015-08-20,34.0
2015-08-21,32.0
2015-08-24,32.0
2015-08-25,32.0
2015-08-26,32.0
2015-08-27,32.0
2015-08-28,34.0
2015-08-31,36.0
2015-09-01,34.0
2015-09-02,36.0
2015-09-07,40.0
2015-09-08,40.0
2015-09-09,40.0
2015-09-10,40.0
2015-09-11,40.0
2015-09-14,40.0
2015-09-15,36.0
2015-09-16,46.0
2015-09-17,42.0
2015-09-18,46.0
2015-09-21,52.0
2015-09-22,48.0
2015-09-23,48.0
2015-09-24,48.0
2015-09-25,50.0
2015-09-28,50.0
2015-09-29,48.0
2015-09-30,42.0
2015-10-08,38.0
2015-10-09,38.0
2015-10-12,38.0
2015-10-13,40.0
2015-10-14,44.0
2015-10-15,40.0
2015-10-16,54.0
2015-10-19,50.0
2015-10-20,42.0
2015-10-21,44.0
2015-10-22,46.0
2015-10-23,58.0
2015-10-26,78.0
2015-10-27,98.0
2015-10-28,164.0
2015-10-29,546.0
2015-10-30,998.0
2015-11-02,1254.0
2015-11-03,1532.0
2015-11-04,1464.0
2015-11-05,1176.0
2015-11-06,828.0
2015-11-09,838.0
2015-11-10,650.0
2015-11-11,1120.0
2015-11-12,1938.0
2015-11-13,1306.0
2015-11-16,1080.0
2015-11-17,1044.0
2015-11-18,1054.0
2015-11-19,1114.0
2015-11-20,1192.0
2015-11-23,1384.0
2015-11-24,1016.0
2015-11-25,912.0
2015-11-26,926.0
2015-11-27,996.0
2015-11-30,1018.0
2015-12-01,1028.0
2015-12-02,1326.0
2015-12-03,1618.0
2015-12-04,1644.0
2015-12-07,1184.0
2015-12-08,916.0
2015-12-09,724.0
2015-12-10,662.0
2015-12-11,570.0
2015-12-14,474.0
2015-12-15,442.0
2015-12-16,384.0
2015-12-17,360.0
2015-12-18,276.0
2015-12-21,230.0
2015-12-22,246.0
2015-12-23,192.0
2015-12-24,172.0
2015-12-25,164.0
2015-12-28,164.0
2015-12-29,158.0
2015-12-30,136.0
2015-12-31,108.0
2016-01-04,114.0
2016-01-05,154.0
2016-01-06,180.0
2016-01-07,198.0
2016-01-08,254.0
2016-01-11,486.0
2016-01-12,512.0
2016-01-13,472.0
2016-01-14,668.0
2016-01-15,754.0
2016-01-18,804.0
2016-01-19,748.0
2016-01-20,744.0
2016-01-21,704.0
2016-01-22,660.0
2016-01-25,694.0
2016-01-26,590.0
2016-01-27,534.0
2016-01-28,562.0
2016-01-29,560.0
2016-02-01,518.0
2016-02-02,504.0
2016-02-03,464.0
2016-02-04,330.0
2016-02-05,244.0
2016-02-15,236.0
2016-02-16,264.0
2016-02-17,228.0
2016-02-18,236.0
2016-02-19,236.0
2016-02-22,220.0
2016-02-23,204.0
2016-02-24,248.0
2016-02-25,230.0
2016-02-26,202.0
2016-02-29,228.0
2016-03-01,352.0
2016-03-02,904.0
2016-03-03,1050.0
2016-03-04,758.0
2016-03-07,742.0
2016-03-08,790.0
2016-03-09,502.0
2016-03-10,522.0
2016-03-11,516.0
2016-03-14,572.0
2016-03-15,518.0
2016-03-16,532.0
2016-03-17,526.0
2016-03-18,544.0
2016-03-21,644.0
2016-03-22,542.0
2016-03-23,520.0
2016-03-24,444.0
2016-03-25,460.0
2016-03-28,544.0
2016-03-29,588.0
2016-03-30,652.0
2016-03-31,642.0
2016-04-01,614.0
2016-04-05,590.0
2016-04-06,558.0
2016-04-07,582.0
2016-04-08,546.0
2016-04-11,592.0
2016-04-12,518.0
2016-04-13,864.0
2016-04-14,1152.0
2016-04-15,1024.0
2016-04-18,1028.0
2016-04-19,848.0
2016-04-20,770.0
2016-04-21,734.0
2016-04-22,650.0
2016-04-25,584.0
2016-04-26,508.0
2016-04-27,440.0
2016-04-28,446.0
2016-04-29,398.0
2016-05-03,436.0
2016-05-04,434.0
2016-05-05,402.0
2016-05-06,404.0
2016-05-09,482.0
2016-05-10,488.0
2016-05-11,570.0
2016-05-12,642.0
2016-05-13,590.0
2016-05-16,400.0
2016-05-17,408.0
2016-05-18,390.0
2016-05-19,386.0
2016-05-20,780.0
2016-05-23,714.0
2016-05-24,752.0
2016-05-25,868.0
2016-05-26,858.0
2016-05-27,824.0
2016-05-30,818.0
2016-05-31,844.0
2016-06-01,852.0
2016-06-02,814.0
2016-06-03,700.0
2016-06-06,644.0
2016-06-07,674.0
2016-06-08,684.0
2016-06-13,674.0
2016-06-14,738.0
2016-06-15,746.0
2016-06-16,742.0
2016-06-17,746.0
2016-06-20,736.0
2016-06-21,736.0
2016-06-22,732.0
2016-06-23,742.0
2016-06-24,866.0
2016-06-27,774.0
2016-06-28,642.0
2016-06-29,630.0
2016-06-30,610.0
2016-07-01,548.0
2016-07-04,646.0
2016-07-05,578.0
2016-07-06,616.0
2016-07-07,582.0
2016-07-08,8532.0
2016-07-11,8470.0
2016-07-12,8400.0
2016-07-13,8302.0
2016-07-14,8334.0
2016-07-15,8298.0
2016-07-18,8278.0
2016-07-19,8304.0
2016-07-20,8522.0
2016-07-21,9080.0
2016-07-22,9392.0
2016-07-25,9968.0
2016-07-26,11306.0
2016-07-27,11714.0
2016-07-28,12422.0
2016-07-29,14758.0
2016-08-01,14626.0
2016-08-02,15160.0
2016-08-03,15412.0
2016-08-04,15450.0
2016-08-05,14062.0
2016-08-08,13978.0
2016-08-09,13138.0
2016-08-10,12908.0
2016-08-11,12292.0
2016-08-12,12004.0
2016-08-15,11848.0
2016-08-16,11702.0
2016-08-17,11676.0
2016-08-18,11440.0
2016-08-19,10912.0
2016-08-22,10390.0
2016-08-23,10414.0
2016-08-24,10324.0
2016-08-25,10464.0
2016-08-26,10496.0
2016-08-29,10742.0
2016-08-30,10704.0
2016-08-31,10574.0
2016-09-01,10588.0
2016-09-02,10578.0
2016-09-05,10632.0
2016-09-06,10790.0
2016-09-07,10774.0
2016-09-08,11738.0
2016-09-09,11304.0
2016-09-12,11098.0
2016-09-13,11004.0
2016-09-14,10376.0
2016-09-19,10590.0
2016-09-20,11602.0
2016-09-21,11562.0
2016-09-22,11474.0
2016-09-23,11506.0
2016-09-26,11126.0
2016-09-27,7016.0
2016-09-28,3442.0
2016-09-29,3570.0
2016-09-30,2580.0
2016-10-10,2134.0
2016-10-11,3036.0
2016-10-12,7036.0
2016-10-13,7458.0
2016-10-14,8204.0
2016-10-17,7830.0
2016-10-18,9532.0
2016-10-19,10950.0
2016-10-20,14988.0
2016-10-21,14426.0
2016-10-24,17818.0
2016-10-25,25382.0
2016-10-26,24080.0
2016-10-27,25468.0
2016-10-28,27552.0
2016-10-31,31770.0
2016-11-01,33430.0
2016-11-02,34468.0
2016-11-03,39974.0
2016-11-04,36950.0
2016-11-07,37412.0
2016-11-08,34000.0
2016-11-09,33980.0
2016-11-10,34108.0
2016-11-11,34728.0
2016-11-14,29228.0
2016-11-15,28850.0
2016-11-16,27458.0
2016-11-17,27148.0
2016-11-18,26656.0
2016-11-21,24700.0
2016-11-22,22906.0
2016-11-23,22934.0
2016-11-24,22916.0
2016-11-25,17504.0
2016-11-28,19330.0
2016-11-29,18466.0
2016-11-30,18296.0
2016-12-01,17678.0
2016-12-02,16830.0
2016-12-05,16578.0
2016-12-06,15620.0
2016-12-07,15214.0
2016-12-08,14554.0
2016-12-09,14326.0
2016-12-12,13830.0
2016-12-13,13582.0
2016-12-14,13402.0
2016-12-15,12526.0
2016-12-16,12252.0
2016-12-19,11312.0
2016-12-20,10440.0
2016-12-21,9692.0
2016-12-22,9078.0
2016-12-23,8834.0
2016-12-26,7602.0
2016-12-27,6950.0
2016-12-28,5452.0
2016-12-29,3170.0
2016-12-30,2700.0
2017-01-03,2726.0
2017-01-04,2662.0
2017-01-05,2716.0
2017-01-06,2926.0
2017-01-09,3960.0
2017-01-10,3504.0
2017-01-11,3276.0
2017-01-12,3926.0
2017-01-13,3846.0
2017-01-16,3782.0
2017-01-17,3682.0
2017-01-18,4242.0
2017-01-19,4174.0
2017-01-20,3908.0
2017-01-23,3906.0
2017-01-24,3728.0
2017-01-25,3554.0
2017-01-26,3406.0
2017-02-03,3826.0
2017-02-06,4386.0
2017-02-07,4058.0
2017-02-08,4222.0
2017-02-09,4240.0
2017-02-10,4306.0
2017-02-13,4422.0
2017-02-14,4204.0
2017-02-15,4384.0
2017-02-16,3964.0
2017-02-17,4268.0
2017-02-20,12188.0
2017-02-21,16322.0
2017-02-22,16298.0
2017-02-23,15974.0
2017-02-24,16116.0
2017-02-27,15412.0
2017-02-28,15476.0
2017-03-01,15482.0
2017-03-02,15464.0
2017-03-03,15946.0
2017-03-06,15512.0
2017-03-07,15580.0
2017-03-08,15602.0
2017-03-09,15352.0
2017-03-10,15336.0
2017-03-13,7330.0
2017-03-14,7388.0
2017-03-15,7598.0
2017-03-16,7678.0
2017-03-17,13392.0
2017-03-20,31300.0
2017-03-21,31176.0
2017-03-22,28774.0
2017-03-23,27766.0
2017-03-24,24636.0
2017-03-27,25514.0
2017-03-28,28550.0
2017-03-29,33538.0
2017-03-30,35124.0
2017-03-31,33844.0
2017-04-05,33756.0
2017-04-06,34278.0
2017-04-07,30476.0
2017-04-10,30584.0
2017-04-11,30536.0
2017-04-12,27678.0
2017-04-13,25534.0
2017-04-14,22676.0
2017-04-17,21356.0
2017-04-18,19318.0
2017-04-19,16156.0
2017-04-20,14116.0
2017-04-21,13440.0
2017-04-24,11688.0
2017-04-25,10400.0
2017-04-26,10492.0
2017-04-27,8768.0
2017-04-28,8378.0
2017-05-02,9252.0
2017-05-03,9144.0
2017-05-04,8810.0
2017-05-05,8742.0
2017-05-08,8682.0
2017-05-09,10266.0
2017-05-10,12004.0
2017-05-11,10006.0
2017-05-12,9928.0
2017-05-15,9658.0
2017-05-16,8592.0
2017-05-17,9178.0
2017-05-18,8744.0
2017-05-19,8666.0
2017-05-22,8486.0
2017-05-23,10574.0
2017-05-24,11066.0
2017-05-25,12084.0
2017-05-26,11448.0
2017-05-31,10748.0
2017-06-01,9854.0
2017-06-02,11208.0
2017-06-05,12784.0
2017-06-06,12584.0
2017-06-07,14706.0
2017-06-08,13340.0
2017-06-09,13404.0
2017-06-12,13978.0
2017-06-13,13454.0
2017-06-14,12564.0
2017-06-15,11870.0
2017-06-16,10828.0
2017-06-19,11010.0
2017-06-20,11638.0
2017-06-21,14580.0
2017-06-22,17378.0
2017-06-23,18796.0
2017-06-26,17990.0
2017-06-27,17634.0
2017-06-28,17128.0
2017-06-29,18142.0
2017-06-30,16512.0
2017-07-03,18390.0
2017-07-04,20120.0
2017-07-05,20772.0
2017-07-06,22132.0
2017-07-07,21620.0
2017-07-10,18582.0
2017-07-11,19202.0
2017-07-12,19410.0
2017-07-13,19110.0
2017-07-14,19294.0
2017-07-17,20746.0
2017-07-18,20864.0
2017-07-19,20648.0
2017-07-20,24392.0
2017-07-21,24412.0
2017-07-24,25720.0
2017-07-25,26536.0
2017-07-26,28340.0
2017-07-27,30394.0
2017-07-28,31438.0
2017-07-31,30918.0
2017-08-01,31106.0
2017-08-02,30752.0
2017-08-03,30496.0
2017-08-04,30090.0
2017-08-07,29140.0
2017-08-08,29168.0
2017-08-09,30000.0
2017-08-10,39168.0
2017-08-11,32644.0
2017-08-14,42556.0
2017-08-15,50832.0
2017-08-16,81850.0
2017-08-17,74626.0
2017-08-18,81354.0
2017-08-21,92856.0
2017-08-22,119870.0
2017-08-23,114756.0
2017-08-24,121444.0
2017-08-25,132520.0
2017-08-28,138490.0
2017-08-29,138396.0
2017-08-30,129578.0
2017-08-31,153168.0
2017-09-01,166104.0
2017-09-04,169308.0
2017-09-05,153764.0
2017-09-06,151330.0
2017-09-07,152290.0
2017-09-08,170822.0
2017-09-11,180018.0
2017-09-12,199290.0
2017-09-13,201164.0
2017-09-14,194852.0
2017-09-15,179856.0
2017-09-18,179288.0
2017-09-19,197886.0
2017-09-20,225176.0
2017-09-21,232584.0
2017-09-22,188394.0
2017-09-25,199614.0
2017-09-26,200906.0
2017-09-27,205722.0
2017-09-28,168994.0
2017-09-29,151754.0
2017-10-09,150552.0
2017-10-10,179754.0
2017-10-11,162350.0
2017-10-12,175636.0
2017-10-13,189526.0
2017-10-16,184126.0
2017-10-17,161620.0
2017-10-18,190734.0
2017-10-19,167638.0
2017-10-20,179516.0
2017-10-23,184862.0
2017-10-24,194300.0
2017-10-25,170468.0
2017-10-26,215388.0
2017-10-27,193720.0
2017-10-30,179668.0
2017-10-31,160248.0
2017-11-01,167522.0
2017-11-02,164880.0
2017-11-03,166870.0
2017-11-06,169812.0
2017-11-07,151324.0
2017-11-08,155948.0
2017-11-09,143710.0
2017-11-10,157010.0
2017-11-13,161192.0
2017-11-14,149272.0
2017-11-15,164838.0
2017-11-16,142502.0
2017-11-17,148232.0
2017-11-20,132152.0
2017-11-21,136980.0
2017-11-22,127930.0
2017-11-23,182536.0
2017-11-24,127088.0
2017-11-27,137906.0
2017-11-28,146444.0
2017-11-29,170084.0
2017-11-30,146416.0
2017-12-01,172204.0
2017-12-04,170384.0
2017-12-05,206240.0
2017-12-06,274012.0
2017-12-07,275158.0
2017-12-08,248724.0
2017-12-11,252398.0
2017-12-12,224444.0
2017-12-13,201142.0
2017-12-14,179568.0
2017-12-15,159492.0
2017-12-18,169618.0
2017-12-19,157448.0
2017-12-20,155728.0
2017-12-21,228604.0
2017-12-22,197342.0
2017-12-25,187470.0
2017-12-26,161070.0
2017-12-27,180688.0
2017-12-28,233078.0
2017-12-29,208012.0
2018-01-02,220816.0
2018-01-03,216948.0
2018-01-04,226108.0
2018-01-05,235994.0
2018-01-08,221818.0
2018-01-09,230262.0
2018-01-10,220558.0
2018-01-11,240656.0
2018-01-12,231452.0
2018-01-15,228682.0
2018-01-16,243792.0
2018-01-17,218932.0
2018-01-18,246610.0
2018-01-19,225184.0
2018-01-22,232060.0
2018-01-23,226486.0
2018-01-24,199994.0
2018-01-25,212826.0
2018-01-26,194224.0
2018-01-29,189816.0
2018-01-30,179504.0
2018-01-31,162886.0
2018-02-01,170680.0
2018-02-02,159036.0
2018-02-05,202404.0
2018-02-06,170326.0
2018-02-07,190098.0
2018-02-08,168208.0
2018-02-09,160258.0
2018-02-12,152778.0
2018-02-13,142978.0
2018-02-14,140404.0
2018-02-22,139840.0
2018-02-23,184532.0
2018-02-26,206110.0
2018-02-27,199658.0
2018-02-28,210002.0
2018-03-01,219284.0
2018-03-02,194642.0
2018-03-05,205022.0
2018-03-06,185762.0
2018-03-07,194932.0
2018-03-08,185504.0
2018-03-09,213706.0
2018-03-12,183378.0
2018-03-13,188298.0
2018-03-14,198760.0
2018-03-15,197738.0
2018-03-16,190072.0
2018-03-19,195200.0
2018-03-20,212740.0
2018-03-21,196290.0
2018-03-22,195326.0
2018-03-23,162400.0
2018-03-26,164790.0
2018-03-27,202552.0
2018-03-28,178866.0
2018-03-29,184678.0
2018-03-30,186684.0
2018-04-02,226894.0
2018-04-03,212578.0
2018-04-04,206642.0
2018-04-09,203096.0
2018-04-10,222646.0
2018-04-11,215952.0
2018-04-12,206010.0
2018-04-13,252306.0
2018-04-16,217404.0
2018-04-17,220644.0
2018-04-18,182528.0
2018-04-19,177816.0
2018-04-20,170970.0
2018-04-23,182100.0
2018-04-24,226044.0
2018-04-25,216850.0
2018-04-26,202962.0
2018-04-27,174502.0
2018-05-02,191620.0
2018-05-03,196140.0
2018-05-04,180942.0
2018-05-07,229886.0
2018-05-08,209922.0
2018-05-09,213356.0
2018-05-10,189858.0
2018-05-11,191262.0
2018-05-14,223206.0
2018-05-15,223812.0
2018-05-16,253256.0
2018-05-17,201456.0
2018-05-18,209206.0
2018-05-21,182730.0
2018-05-22,177762.0
2018-05-23,200202.0
2018-05-24,192960.0
2018-05-25,188012.0
2018-05-28,186388.0
2018-05-29,203170.0
2018-05-30,177714.0
2018-05-31,192264.0
2018-06-01,186220.0
2018-06-04,185472.0
2018-06-05,180710.0
2018-06-06,173522.0
2018-06-07,171474.0
2018-06-08,191826.0
2018-06-11,179552.0
2018-06-12,186736.0
2018-06-13,166676.0
2018-06-14,154254.0
2018-06-15,162348.0
2018-06-19,161622.0
2018-06-20,146708.0
2018-06-21,146796.0
2018-06-22,156972.0
2018-06-25,163448.0
2018-06-26,221558.0
2018-06-27,197200.0
2018-06-28,192290.0
2018-06-29,226192.0
2018-07-02,187588.0
2018-07-03,197542.0
2018-07-04,171416.0
2018-07-05,153978.0
2018-07-06,151476.0
2018-07-09,132412.0
2018-07-10,155252.0
2018-07-11,136364.0
2018-07-12,149220.0
2018-07-13,135432.0
2018-07-16,156540.0
2018-07-17,143062.0
2018-07-18,144532.0
2018-07-19,158456.0
2018-07-20,155968.0
2018-07-23,180818.0
2018-07-24,177068.0
2018-07-25,186282.0
2018-07-26,181908.0
2018-07-27,194828.0
2018-07-30,179246.0
2018-07-31,198078.0
2018-08-01,206612.0
2018-08-02,225888.0
2018-08-03,230412.0
2018-08-06,218856.0
2018-08-07,221018.0
2018-08-08,229548.0
2018-08-09,222196.0
2018-08-10,236402.0
2018-08-13,210762.0
2018-08-14,211858.0
2018-08-15,233146.0
2018-08-16,214338.0
2018-08-17,219048.0
2018-08-20,197380.0
2018-08-21,178598.0
2018-08-22,162398.0
2018-08-23,161906.0
2018-08-24,156342.0
2018-08-27,155854.0
2018-08-28,156880.0
2018-08-29,169336.0
2018-08-30,169494.0
2018-08-31,149484.0
2018-09-03,147976.0
2018-09-04,153132.0
2018-09-05,147204.0
2018-09-06,144250.0
2018-09-07,159316.0
2018-09-10,147504.0
2018-09-11,130470.0
2018-09-12,146086.0
2018-09-13,128480.0
2018-09-14,162050.0
2018-09-17,136064.0
2018-09-18,137474.0
2018-09-19,142762.0
2018-09-20,135336.0
2018-09-21,133208.0
2018-09-25,136254.0
2018-09-26,125274.0
2018-09-27,119220.0
2018-09-28,122756.0
2018-10-08,111416.0
2018-10-09,131758.0
2018-10-10,134948.0
2018-10-11,135464.0
2018-10-12,145036.0
2018-10-15,146258.0
2018-10-16,144714.0
2018-10-17,149042.0
2018-10-18,139614.0
2018-10-19,164256.0
2018-10-22,167372.0
2018-10-23,154340.0
2018-10-24,152970.0
2018-10-25,149534.0
2018-10-26,154716.0
2018-10-29,162702.0
2018-10-30,147464.0
2018-10-31,133436.0
2018-11-01,122356.0
2018-11-02,120194.0
2018-11-05,109236.0
2018-11-06,113488.0
2018-11-07,106948.0
2018-11-08,123910.0
2018-11-09,112134.0
2018-11-12,156816.0
2018-11-13,149082.0
2018-11-14,134984.0
2018-11-15,128458.0
2018-11-16,133436.0
2018-11-19,114574.0
2018-11-20,119662.0
2018-11-21,121508.0
2018-11-22,112180.0
2018-11-23,109754.0
2018-11-26,143578.0
2018-11-27,136238.0
2018-11-28,121998.0
2018-11-29,111758.0
2018-11-30,107126.0
2018-12-03,96242.0
2018-12-04,82360.0
2018-12-05,71198.0
2018-12-06,79034.0
2018-12-07,73420.0
2018-12-10,80772.0
2018-12-11,72504.0
2018-12-12,80594.0
2018-12-13,73694.0
2018-12-14,78106.0
2018-12-17,82452.0
2018-12-18,72794.0
2018-12-19,68404.0
2018-12-20,75164.0
2018-12-21,77404.0
2018-12-24,81710.0
2018-12-25,82300.0
2018-12-26,93148.0
2018-12-27,109490.0
2018-12-28,100558.0
2019-01-02,122634.0
2019-01-03,119854.0
2019-01-04,120542.0
2019-01-07,121368.0
2019-01-08,124742.0
2019-01-09,117064.0
2019-01-10,124834.0
2019-01-11,119212.0
2019-01-14,114794.0
2019-01-15,109052.0
2019-01-16,105508.0
2019-01-17,104976.0
2019-01-18,118232.0
2019-01-21,104196.0
2019-01-22,111324.0
2019-01-23,107968.0
2019-01-24,112582.0
2019-01-25,120434.0
2019-01-28,114098.0
2019-01-29,116260.0
2019-01-30,110480.0
2019-01-31,100890.0
2019-02-01,95040.0
2019-02-11,102274.0
2019-02-12,96862.0
2019-02-13,97778.0
2019-02-14,98646.0
2019-02-15,101408.0
2019-02-18,99606.0
2019-02-19,98800.0
2019-02-20,105332.0
2019-02-21,107650.0
2019-02-22,112728.0
2019-02-25,123606.0
2019-02-26,126142.0
2019-02-27,132464.0
2019-02-28,121278.0
2019-03-01,130296.0
2019-03-04,133578.0
2019-03-05,130940.0
2019-03-06,136964.0
2019-03-07,153206.0
2019-03-08,145748.0
2019-03-11,156744.0
2019-03-12,150960.0
2019-03-13,157840.0
2019-03-14,158658.0
2019-03-15,158614.0
2019-03-18,152152.0
2019-03-19,144308.0
2019-03-20,140418.0
2019-03-21,139900.0
2019-03-22,146282.0
2019-03-25,149034.0
2019-03-26,148916.0
2019-03-27,161314.0
2019-03-28,156658.0
2019-03-29,161162.0
2019-04-01,158566.0
2019-04-02,163812.0
2019-04-03,167718.0
2019-04-04,170136.0
2019-04-08,165312.0
2019-04-09,166286.0
2019-04-10,155662.0
2019-04-11,160476.0
2019-04-12,149456.0
2019-04-15,146372.0
2019-04-16,161728.0
2019-04-17,155770.0
2019-04-18,147830.0
2019-04-19,143024.0
2019-04-22,142170.0
2019-04-23,132918.0
2019-04-24,126012.0
2019-04-25,117980.0
2019-04-26,118300.0
2019-04-29,114276.0
2019-04-30,114036.0
2019-05-06,112726.0
2019-05-07,113750.0
2019-05-08,115436.0
2019-05-09,128856.0
2019-05-10,129374.0
2019-05-13,122818.0
2019-05-14,121670.0
2019-05-15,123414.0
2019-05-16,127222.0
2019-05-17,134922.0
2019-05-20,146656.0
2019-05-21,157020.0
2019-05-22,159074.0
2019-05-23,163470.0
2019-05-24,160598.0
2019-05-27,183892.0
2019-05-28,174312.0
2019-05-29,160770.0
2019-05-30,157234.0
2019-05-31,152288.0
2019-06-03,178296.0
2019-06-04,177864.0
2019-06-05,160716.0
2019-06-06,155420.0
2019-06-10,160578.0
2019-06-11,161640.0
2019-06-12,158198.0
2019-06-13,166948.0
2019-06-14,184726.0
2019-06-17,185724.0
2019-06-18,187702.0
2019-06-19,195052.0
2019-06-20,203686.0
2019-06-21,201650.0
