trading_date,BU_total_oi
2016-08-23,1325818.0
2016-08-24,1320694.0
2016-08-25,1321704.0
2016-08-26,1273402.0
2016-08-29,1266068.0
2016-08-30,1302276.0
2016-08-31,1300774.0
2016-09-01,1254078.0
2016-09-02,1245202.0
2016-09-05,1246302.0
2016-09-06,1214632.0
2016-09-07,1199466.0
2016-09-08,1197298.0
2016-09-09,1192272.0
2016-09-12,1263076.0
2016-09-13,1271256.0
2016-09-14,1276580.0
2016-09-19,1246676.0
2016-09-20,1253174.0
2016-09-21,1268044.0
2016-09-22,1334366.0
2016-09-23,1375174.0
2016-09-26,1362582.0
2016-09-27,1428012.0
2016-09-28,1396040.0
2016-09-29,1302376.0
2016-09-30,1225220.0
2016-10-10,1244376.0
2016-10-11,1253114.0
2016-10-12,1343736.0
2016-10-13,1326284.0
2016-10-14,1408282.0
2016-10-17,1302550.0
2016-10-18,1282046.0
2016-10-19,1250088.0
2016-10-20,1177090.0
2016-10-21,1156198.0
2016-10-24,1159544.0
2016-10-25,1197630.0
2016-10-26,1223152.0
2016-10-27,1167570.0
2016-10-28,1112892.0
2016-10-31,1112034.0
2016-11-01,1119022.0
2016-11-02,1125180.0
2016-11-03,1123194.0
2016-11-04,1118374.0
2016-11-07,1124488.0
2016-11-08,1119876.0
2016-11-09,1124278.0
2016-11-10,1179188.0
2016-11-11,1260118.0
2016-11-14,1091472.0
2016-11-15,1122704.0
2016-11-16,1164604.0
2016-11-17,1127508.0
2016-11-18,1114800.0
2016-11-21,1102704.0
2016-11-22,1096176.0
2016-11-23,1109274.0
2016-11-24,1098656.0
2016-11-25,1074554.0
2016-11-28,1135590.0
2016-11-29,1075190.0
2016-11-30,953382.0
2016-12-01,936772.0
2016-12-02,896210.0
2016-12-05,914572.0
2016-12-06,925154.0
2016-12-07,912954.0
2016-12-08,868396.0
2016-12-09,904674.0
2016-12-12,892366.0
2016-12-13,897466.0
2016-12-14,915718.0
2016-12-15,924448.0
2016-12-16,880376.0
2016-12-19,826448.0
2016-12-20,801970.0
2016-12-21,816722.0
2016-12-22,807180.0
2016-12-23,755534.0
2016-12-26,718312.0
2016-12-27,775456.0
2016-12-28,818174.0
2016-12-29,832474.0
2016-12-30,787326.0
2017-01-03,716172.0
2017-01-04,715970.0
2017-01-05,746036.0
2017-01-06,758490.0
2017-01-09,766368.0
2017-01-10,781042.0
2017-01-11,793020.0
2017-01-12,784698.0
2017-01-13,822594.0
2017-01-16,778518.0
2017-01-17,736636.0
2017-01-18,711920.0
2017-01-19,740854.0
2017-01-20,718718.0
2017-01-23,686050.0
2017-01-24,618598.0
2017-01-25,588124.0
2017-01-26,551632.0
2017-02-03,586922.0
2017-02-06,623980.0
2017-02-07,628156.0
2017-02-08,722454.0
2017-02-09,670608.0
2017-02-10,724364.0
2017-02-13,832780.0
2017-02-14,821820.0
2017-02-15,736316.0
2017-02-16,702490.0
2017-02-17,697726.0
2017-02-20,748566.0
2017-02-21,723182.0
2017-02-22,790076.0
2017-02-23,717152.0
2017-02-24,706940.0
2017-02-27,736942.0
2017-02-28,702160.0
2017-03-01,761150.0
2017-03-02,725374.0
2017-03-03,699376.0
2017-03-06,727782.0
2017-03-07,719916.0
2017-03-08,756382.0
2017-03-09,719280.0
2017-03-10,731806.0
2017-03-13,702480.0
2017-03-14,747912.0
2017-03-15,704704.0
2017-03-16,681282.0
2017-03-17,657900.0
2017-03-20,664262.0
2017-03-21,678132.0
2017-03-22,740408.0
2017-03-23,725238.0
2017-03-24,717754.0
2017-03-27,739218.0
2017-03-28,720248.0
2017-03-29,679860.0
2017-03-30,696730.0
2017-03-31,637804.0
2017-04-05,666560.0
2017-04-06,653060.0
2017-04-07,653306.0
2017-04-10,659402.0
2017-04-11,722090.0
2017-04-12,692308.0
2017-04-13,689174.0
2017-04-14,737906.0
2017-04-17,719824.0
2017-04-18,725966.0
2017-04-19,728828.0
2017-04-20,693700.0
2017-04-21,711474.0
2017-04-24,705478.0
2017-04-25,687286.0
2017-04-26,727552.0
2017-04-27,695770.0
2017-04-28,650904.0
2017-05-02,659720.0
2017-05-03,660372.0
2017-05-04,592024.0
2017-05-05,652818.0
2017-05-08,621282.0
2017-05-09,636248.0
2017-05-10,634582.0
2017-05-11,639842.0
2017-05-12,645644.0
2017-05-15,618562.0
2017-05-16,613126.0
2017-05-17,582214.0
2017-05-18,601196.0
2017-05-19,608030.0
2017-05-22,624832.0
2017-05-23,623430.0
2017-05-24,620772.0
2017-05-25,617156.0
2017-05-26,583868.0
2017-05-31,648092.0
2017-06-01,638510.0
2017-06-02,672186.0
2017-06-05,640138.0
2017-06-06,633640.0
2017-06-07,632804.0
2017-06-08,628060.0
2017-06-09,639494.0
2017-06-12,666224.0
2017-06-13,706376.0
2017-06-14,713146.0
2017-06-15,727458.0
2017-06-16,711136.0
2017-06-19,728188.0
2017-06-20,749114.0
2017-06-21,837690.0
2017-06-22,833814.0
