trading_date,J_total_oi
2014-10-17,282540.0
2014-10-20,260638.0
2014-10-21,263550.0
2014-10-22,257060.0
2014-10-23,256176.0
2014-10-24,301042.0
2014-10-27,260450.0
2014-10-28,259950.0
2014-10-29,248636.0
2014-10-30,251702.0
2014-10-31,237740.0
2014-11-03,243928.0
2014-11-04,231114.0
2014-11-05,223022.0
2014-11-06,226400.0
2014-11-07,214276.0
2014-11-10,214662.0
2014-11-11,225516.0
2014-11-12,216352.0
2014-11-13,209176.0
2014-11-14,196214.0
2014-11-17,195206.0
2014-11-18,207958.0
2014-11-19,208164.0
2014-11-20,206332.0
2014-11-21,198800.0
2014-11-24,210000.0
2014-11-25,210768.0
2014-11-26,217456.0
2014-11-27,216198.0
2014-11-28,213768.0
2014-12-01,207776.0
2014-12-02,212724.0
2014-12-03,212360.0
2014-12-04,221062.0
2014-12-05,220744.0
2014-12-08,229012.0
2014-12-09,234694.0
2014-12-10,233144.0
2014-12-11,226640.0
2014-12-12,238434.0
2014-12-15,233488.0
2014-12-16,238946.0
2014-12-17,253018.0
2014-12-18,239876.0
2014-12-19,240242.0
2014-12-22,249998.0
2014-12-23,301200.0
2014-12-24,282620.0
2014-12-25,285496.0
2014-12-26,276928.0
2014-12-29,275014.0
2014-12-30,227592.0
2014-12-31,158332.0
2015-01-05,146720.0
2015-01-06,166088.0
2015-01-07,166302.0
2015-01-08,166144.0
2015-01-09,146438.0
2015-01-12,137154.0
2015-01-13,139632.0
2015-01-14,136980.0
2015-01-15,149020.0
2015-01-16,138840.0
2015-01-19,148190.0
2015-01-20,121454.0
2015-01-21,117844.0
2015-01-22,116692.0
2015-01-23,121078.0
2015-01-26,132410.0
2015-01-27,122330.0
2015-01-28,121696.0
2015-01-29,115586.0
2015-01-30,113392.0
2015-02-02,112034.0
2015-02-03,104446.0
2015-02-04,109416.0
2015-02-05,106264.0
2015-02-06,112420.0
2015-02-09,106756.0
2015-02-10,104772.0
2015-02-11,100974.0
2015-02-12,98300.0
2015-02-13,96654.0
2015-02-16,87488.0
2015-02-17,81354.0
2015-02-25,80860.0
2015-02-26,84084.0
2015-02-27,83728.0
2015-03-02,89256.0
2015-03-03,85134.0
2015-03-04,81706.0
2015-03-05,92330.0
2015-03-06,95150.0
2015-03-09,88770.0
2015-03-10,85422.0
2015-03-11,84748.0
2015-03-12,84534.0
2015-03-13,84506.0
2015-03-16,89894.0
2015-03-17,94972.0
2015-03-18,98598.0
2015-03-19,95508.0
2015-03-20,94806.0
2015-03-23,102476.0
2015-03-24,102008.0
2015-03-25,126826.0
2015-03-26,125476.0
2015-03-27,127612.0
2015-03-30,124358.0
2015-03-31,126336.0
2015-04-01,128360.0
2015-04-02,126794.0
2015-04-03,123758.0
2015-04-07,122592.0
2015-04-08,125358.0
2015-04-09,124794.0
2015-04-10,128632.0
2015-04-13,128502.0
2015-04-14,125972.0
2015-04-15,143446.0
2015-04-16,132302.0
2015-04-17,130794.0
2015-04-20,137822.0
2015-04-21,136808.0
2015-04-22,127288.0
2015-04-23,128328.0
2015-04-24,131076.0
2015-04-27,147432.0
2015-04-28,158218.0
2015-04-29,157964.0
2015-04-30,141846.0
2015-05-04,177090.0
2015-05-05,206002.0
2015-05-06,222800.0
2015-05-07,221806.0
2015-05-08,219922.0
2015-05-11,222932.0
2015-05-12,219970.0
2015-05-13,212754.0
2015-05-14,197486.0
2015-05-15,191710.0
2015-05-18,184300.0
2015-05-19,179308.0
2015-05-20,168850.0
2015-05-21,171066.0
2015-05-22,174570.0
2015-05-25,174242.0
2015-05-26,180940.0
2015-05-27,172336.0
2015-05-28,165000.0
2015-05-29,164928.0
2015-06-01,174428.0
2015-06-02,173896.0
2015-06-03,165760.0
2015-06-04,161652.0
2015-06-05,159964.0
2015-06-08,153898.0
2015-06-09,149714.0
2015-06-10,155090.0
2015-06-11,154406.0
2015-06-12,142008.0
2015-06-15,144600.0
2015-06-16,146116.0
2015-06-17,176378.0
2015-06-18,182848.0
2015-06-19,165236.0
2015-06-23,167876.0
2015-06-24,170056.0
2015-06-25,184064.0
2015-06-26,165626.0
2015-06-29,175902.0
2015-06-30,157280.0
2015-07-01,151984.0
2015-07-02,150520.0
2015-07-03,138378.0
2015-07-06,147182.0
2015-07-07,134522.0
2015-07-08,102156.0
2015-07-09,83152.0
2015-07-10,108516.0
2015-07-13,104954.0
2015-07-14,101796.0
2015-07-15,104534.0
2015-07-16,101908.0
2015-07-17,101070.0
2015-07-20,100254.0
2015-07-21,103532.0
2015-07-22,109510.0
2015-07-23,106304.0
2015-07-24,103308.0
2015-07-27,96032.0
2015-07-28,94436.0
2015-07-29,92154.0
2015-07-30,97974.0
2015-07-31,92954.0
2015-08-03,91900.0
2015-08-04,91114.0
2015-08-05,91448.0
2015-08-06,93626.0
2015-08-07,87870.0
2015-08-10,90740.0
2015-08-11,84594.0
2015-08-12,84182.0
2015-08-13,94702.0
2015-08-14,96062.0
2015-08-17,89798.0
2015-08-18,98140.0
2015-08-19,91764.0
2015-08-20,85150.0
2015-08-21,79530.0
2015-08-24,94898.0
2015-08-25,87094.0
2015-08-26,89120.0
2015-08-27,81994.0
2015-08-28,74166.0
2015-08-31,74760.0
2015-09-01,74278.0
2015-09-02,78052.0
2015-09-07,80986.0
2015-09-08,80684.0
2015-09-09,86502.0
2015-09-10,87120.0
2015-09-11,88274.0
2015-09-14,127902.0
2015-09-15,116560.0
2015-09-16,108944.0
2015-09-17,105388.0
2015-09-18,103626.0
2015-09-21,103982.0
2015-09-22,102716.0
2015-09-23,111106.0
2015-09-24,112696.0
2015-09-25,100042.0
2015-09-28,102586.0
2015-09-29,91150.0
2015-09-30,108870.0
2015-10-08,114352.0
2015-10-09,111254.0
2015-10-12,183560.0
2015-10-13,187886.0
2015-10-14,214314.0
2015-10-15,209952.0
2015-10-16,201046.0
2015-10-19,202454.0
2015-10-20,201080.0
2015-10-21,204060.0
2015-10-22,202940.0
2015-10-23,197972.0
2015-10-26,193452.0
2015-10-27,233868.0
2015-10-28,239676.0
2015-10-29,239846.0
2015-10-30,233216.0
2015-11-02,249714.0
2015-11-03,252102.0
2015-11-04,253280.0
2015-11-05,255570.0
2015-11-06,248414.0
2015-11-09,248544.0
2015-11-10,242008.0
2015-11-11,246340.0
2015-11-12,269178.0
2015-11-13,261182.0
2015-11-16,283482.0
2015-11-17,289690.0
2015-11-18,293486.0
2015-11-19,290418.0
2015-11-20,266824.0
2015-11-23,258962.0
2015-11-24,253014.0
2015-11-25,250578.0
2015-11-26,229574.0
2015-11-27,243992.0
2015-11-30,248022.0
2015-12-01,249978.0
2015-12-02,248104.0
2015-12-03,245610.0
2015-12-04,248170.0
2015-12-07,246330.0
2015-12-08,242754.0
2015-12-09,248856.0
2015-12-10,249970.0
2015-12-11,241200.0
2015-12-14,241564.0
2015-12-15,231372.0
2015-12-16,227438.0
2015-12-17,237250.0
2015-12-18,234468.0
2015-12-21,222404.0
2015-12-22,222818.0
2015-12-23,211806.0
2015-12-24,209870.0
2015-12-25,204788.0
2015-12-28,198192.0
2015-12-29,201776.0
2015-12-30,192798.0
2015-12-31,185776.0
2016-01-04,177194.0
2016-01-05,180030.0
2016-01-06,186738.0
2016-01-07,184740.0
2016-01-08,179096.0
2016-01-11,175052.0
2016-01-12,185970.0
2016-01-13,175864.0
2016-01-14,168422.0
2016-01-15,162840.0
2016-01-18,157498.0
2016-01-19,163040.0
2016-01-20,167460.0
2016-01-21,166742.0
2016-01-22,182038.0
2016-01-25,178894.0
2016-01-26,170530.0
2016-01-27,173848.0
2016-01-28,166020.0
2016-01-29,162358.0
2016-02-01,155140.0
2016-02-02,153496.0
2016-02-03,149716.0
2016-02-04,148330.0
2016-02-05,144126.0
2016-02-15,141302.0
2016-02-16,169516.0
2016-02-17,163962.0
2016-02-18,167880.0
2016-02-19,194934.0
2016-02-22,211462.0
2016-02-23,187264.0
2016-02-24,231968.0
2016-02-25,216644.0
2016-02-26,210158.0
2016-02-29,228582.0
2016-03-01,207808.0
2016-03-02,202016.0
2016-03-03,196514.0
2016-03-04,191524.0
2016-03-07,221380.0
2016-03-08,211360.0
2016-03-09,156814.0
2016-03-10,159432.0
2016-03-11,164076.0
2016-03-14,171464.0
2016-03-15,185158.0
2016-03-16,185046.0
2016-03-17,172314.0
2016-03-18,188960.0
2016-03-21,177918.0
2016-03-22,165848.0
2016-03-23,167870.0
2016-03-24,163020.0
2016-03-25,155656.0
2016-03-28,179424.0
2016-03-29,201736.0
2016-03-30,188234.0
2016-03-31,224978.0
2016-04-01,266722.0
2016-04-05,237084.0
2016-04-06,226632.0
2016-04-07,261962.0
2016-04-08,291762.0
2016-04-11,317226.0
2016-04-12,294024.0
2016-04-13,280586.0
2016-04-14,275024.0
2016-04-15,246080.0
2016-04-18,256642.0
2016-04-19,289990.0
2016-04-20,286552.0
2016-04-21,266596.0
2016-04-22,329608.0
2016-04-25,385720.0
2016-04-26,406724.0
2016-04-27,365400.0
2016-04-28,365378.0
2016-04-29,361142.0
2016-05-03,357114.0
2016-05-04,355866.0
2016-05-05,354068.0
2016-05-06,299586.0
2016-05-09,262010.0
2016-05-10,243230.0
2016-05-11,250108.0
2016-05-12,242218.0
2016-05-13,224420.0
2016-05-16,222562.0
2016-05-17,234648.0
2016-05-18,229776.0
2016-05-19,226090.0
2016-05-20,234116.0
2016-05-23,227430.0
2016-05-24,225026.0
2016-05-25,235990.0
2016-05-26,226258.0
2016-05-27,226976.0
2016-05-30,216614.0
2016-05-31,213148.0
2016-06-01,200894.0
2016-06-02,199528.0
2016-06-03,196074.0
2016-06-06,201226.0
2016-06-07,189334.0
2016-06-08,182458.0
2016-06-13,191714.0
2016-06-14,209062.0
2016-06-15,198126.0
2016-06-16,199278.0
2016-06-17,179610.0
2016-06-20,178972.0
2016-06-21,186150.0
2016-06-22,185826.0
2016-06-23,181790.0
2016-06-24,187170.0
2016-06-27,182766.0
2016-06-28,167356.0
2016-06-29,161334.0
2016-06-30,159962.0
2016-07-01,148688.0
2016-07-04,165194.0
2016-07-05,144618.0
2016-07-06,139156.0
2016-07-07,135846.0
2016-07-08,124250.0
2016-07-11,125894.0
2016-07-12,175244.0
2016-07-13,162420.0
2016-07-14,150456.0
2016-07-15,155062.0
2016-07-18,146746.0
2016-07-19,131896.0
2016-07-20,126676.0
2016-07-21,155790.0
2016-07-22,155200.0
2016-07-25,201066.0
2016-07-26,176572.0
2016-07-27,197006.0
2016-07-28,187774.0
2016-07-29,179554.0
2016-08-01,204816.0
2016-08-02,208398.0
2016-08-03,202436.0
2016-08-04,208160.0
2016-08-05,217722.0
2016-08-08,245114.0
2016-08-09,234866.0
2016-08-10,255410.0
2016-08-11,242944.0
2016-08-12,243444.0
2016-08-15,236760.0
2016-08-16,265656.0
2016-08-17,259650.0
2016-08-18,274800.0
2016-08-19,255778.0
2016-08-22,274538.0
2016-08-23,271052.0
2016-08-24,262786.0
2016-08-25,289088.0
2016-08-26,273152.0
2016-08-29,269886.0
2016-08-30,271738.0
2016-08-31,291582.0
2016-09-01,291558.0
2016-09-02,297930.0
2016-09-05,299724.0
2016-09-06,287452.0
2016-09-07,300728.0
2016-09-08,297496.0
2016-09-09,309602.0
2016-09-12,307280.0
2016-09-13,306238.0
2016-09-14,273056.0
2016-09-19,264448.0
2016-09-20,270064.0
2016-09-21,291834.0
2016-09-22,289648.0
2016-09-23,293246.0
2016-09-26,313650.0
2016-09-27,305676.0
2016-09-28,295532.0
2016-09-29,328138.0
2016-09-30,275828.0
2016-10-10,330364.0
2016-10-11,361570.0
2016-10-12,384760.0
2016-10-13,412860.0
2016-10-14,393630.0
2016-10-17,408384.0
2016-10-18,420130.0
2016-10-19,440176.0
2016-10-20,434770.0
2016-10-21,454546.0
2016-10-24,460406.0
2016-10-25,448670.0
2016-10-26,422856.0
2016-10-27,456088.0
2016-10-28,464272.0
2016-10-31,494336.0
2016-11-01,483136.0
2016-11-02,486332.0
2016-11-03,474802.0
2016-11-04,467094.0
2016-11-07,417844.0
2016-11-08,424188.0
2016-11-09,396754.0
2016-11-10,376396.0
2016-11-11,319432.0
2016-11-14,314254.0
2016-11-15,288206.0
2016-11-16,305516.0
2016-11-17,303970.0
2016-11-18,322438.0
2016-11-21,311234.0
2016-11-22,298402.0
2016-11-23,277920.0
2016-11-24,267676.0
2016-11-25,241782.0
2016-11-28,230112.0
2016-11-29,209268.0
2016-11-30,221790.0
2016-12-01,218648.0
2016-12-02,212868.0
2016-12-05,191294.0
2016-12-06,181310.0
2016-12-07,183602.0
2016-12-08,164648.0
2016-12-09,174432.0
2016-12-12,174018.0
2016-12-13,173308.0
2016-12-14,179594.0
2016-12-15,170406.0
2016-12-16,155352.0
2016-12-19,164320.0
2016-12-20,155634.0
2016-12-21,151250.0
2016-12-22,174628.0
2016-12-23,170148.0
2016-12-26,179200.0
2016-12-27,166578.0
2016-12-28,169470.0
2016-12-29,163936.0
2016-12-30,153950.0
2017-01-03,159194.0
2017-01-04,162812.0
2017-01-05,149196.0
2017-01-06,150904.0
2017-01-09,140408.0
2017-01-10,151156.0
2017-01-11,141826.0
2017-01-12,150154.0
2017-01-13,138040.0
2017-01-16,147390.0
2017-01-17,137064.0
2017-01-18,128200.0
2017-01-19,129122.0
2017-01-20,118102.0
2017-01-23,121002.0
2017-01-24,120762.0
2017-01-25,116274.0
2017-01-26,109602.0
2017-02-03,114270.0
2017-02-06,124550.0
2017-02-07,121426.0
2017-02-08,131840.0
2017-02-09,143920.0
2017-02-10,155914.0
2017-02-13,150762.0
2017-02-14,150272.0
2017-02-15,145826.0
2017-02-16,155636.0
2017-02-17,148196.0
2017-02-20,158014.0
2017-02-21,154650.0
2017-02-22,146278.0
2017-02-23,135434.0
2017-02-24,139992.0
2017-02-27,140798.0
2017-02-28,133670.0
2017-03-01,171324.0
2017-03-02,156662.0
2017-03-03,148454.0
2017-03-06,146980.0
2017-03-07,141098.0
2017-03-08,137058.0
2017-03-09,133868.0
2017-03-10,132780.0
2017-03-13,155818.0
2017-03-14,150044.0
2017-03-15,153132.0
2017-03-16,146684.0
2017-03-17,143060.0
2017-03-20,155092.0
2017-03-21,147784.0
2017-03-22,137856.0
2017-03-23,133578.0
2017-03-24,136452.0
2017-03-27,146900.0
2017-03-28,137908.0
2017-03-29,145860.0
2017-03-30,141954.0
2017-03-31,147458.0
2017-04-05,163804.0
2017-04-06,169136.0
2017-04-07,171950.0
2017-04-10,176936.0
2017-04-11,188462.0
2017-04-12,196632.0
