trading_date,CS_total_oi
2015-12-03,793782.0
2015-12-04,797666.0
2015-12-07,764552.0
2015-12-08,717764.0
2015-12-09,745854.0
2015-12-10,739014.0
2015-12-11,717698.0
2015-12-14,724484.0
2015-12-15,683472.0
2015-12-16,699304.0
2015-12-17,721328.0
2015-12-18,681424.0
2015-12-21,672156.0
2015-12-22,661696.0
2015-12-23,656150.0
2015-12-24,674410.0
2015-12-25,716494.0
2015-12-28,816504.0
2015-12-29,804536.0
2015-12-30,775190.0
2015-12-31,760252.0
2016-01-04,773760.0
2016-01-05,760908.0
2016-01-06,764222.0
2016-01-07,819520.0
2016-01-08,833364.0
2016-01-11,825482.0
2016-01-12,812744.0
2016-01-13,821466.0
2016-01-14,877254.0
2016-01-15,803034.0
2016-01-18,758228.0
2016-01-19,789782.0
2016-01-20,802830.0
2016-01-21,794120.0
2016-01-22,754314.0
2016-01-25,785634.0
2016-01-26,760218.0
2016-01-27,736672.0
2016-01-28,754058.0
2016-01-29,723512.0
2016-02-01,723266.0
2016-02-02,718590.0
2016-02-03,706944.0
2016-02-04,674560.0
2016-02-05,669748.0
2016-02-15,669900.0
2016-02-16,684824.0
2016-02-17,767382.0
2016-02-18,835556.0
2016-02-19,843284.0
2016-02-22,824316.0
2016-02-23,865222.0
2016-02-24,850764.0
2016-02-25,830624.0
2016-02-26,828544.0
2016-02-29,909482.0
2016-03-01,800454.0
2016-03-02,755318.0
2016-03-03,741368.0
2016-03-04,678274.0
2016-03-07,630606.0
2016-03-08,609162.0
2016-03-09,597272.0
2016-03-10,608392.0
2016-03-11,580474.0
2016-03-14,629388.0
2016-03-15,646878.0
2016-03-16,682912.0
2016-03-17,668506.0
2016-03-18,543338.0
2016-03-21,518906.0
2016-03-22,482578.0
2016-03-23,493718.0
2016-03-24,431750.0
2016-03-25,440722.0
2016-03-28,440416.0
2016-03-29,421952.0
2016-03-30,412334.0
2016-03-31,435810.0
2016-04-01,433462.0
2016-04-05,412510.0
2016-04-06,395854.0
2016-04-07,415888.0
2016-04-08,416266.0
2016-04-11,412176.0
2016-04-12,409354.0
2016-04-13,399642.0
2016-04-14,442180.0
2016-04-15,429890.0
2016-04-18,515448.0
2016-04-19,487706.0
2016-04-20,471762.0
2016-04-21,479462.0
2016-04-22,421018.0
2016-04-25,441686.0
2016-04-26,424344.0
2016-04-27,418478.0
2016-04-28,423466.0
2016-04-29,448392.0
2016-05-03,477186.0
2016-05-04,450302.0
2016-05-05,455472.0
2016-05-06,390440.0
2016-05-09,382556.0
2016-05-10,382222.0
2016-05-11,392982.0
2016-05-12,385530.0
2016-05-13,350998.0
2016-05-16,346082.0
2016-05-17,363018.0
2016-05-18,360744.0
2016-05-19,383524.0
2016-05-20,400154.0
2016-05-23,403222.0
2016-05-24,403508.0
2016-05-25,391468.0
2016-05-26,394878.0
2016-05-27,413182.0
2016-05-30,493524.0
2016-05-31,532888.0
2016-06-01,560970.0
2016-06-02,537216.0
2016-06-03,523654.0
2016-06-06,535806.0
2016-06-07,510260.0
2016-06-08,498652.0
2016-06-13,565590.0
2016-06-14,572586.0
2016-06-15,540200.0
2016-06-16,524746.0
2016-06-17,483202.0
2016-06-20,485718.0
2016-06-21,495644.0
2016-06-22,486986.0
2016-06-23,482438.0
2016-06-24,457630.0
2016-06-27,456680.0
2016-06-28,444570.0
2016-06-29,464246.0
2016-06-30,465506.0
2016-07-01,490350.0
2016-07-04,496116.0
2016-07-05,488520.0
2016-07-06,493370.0
2016-07-07,497042.0
2016-07-08,474138.0
2016-07-11,471270.0
2016-07-12,474470.0
2016-07-13,467874.0
2016-07-14,480750.0
2016-07-15,489072.0
2016-07-18,521246.0
2016-07-19,530440.0
2016-07-20,527478.0
2016-07-21,542828.0
2016-07-22,545246.0
2016-07-25,545366.0
2016-07-26,543300.0
2016-07-27,557298.0
2016-07-28,601708.0
2016-07-29,566568.0
2016-08-01,568080.0
2016-08-02,558448.0
2016-08-03,560800.0
2016-08-04,551968.0
2016-08-05,566434.0
2016-08-08,609170.0
2016-08-09,600206.0
2016-08-10,592224.0
2016-08-11,594612.0
2016-08-12,592874.0
2016-08-15,634308.0
2016-08-16,630456.0
2016-08-17,636218.0
2016-08-18,652386.0
2016-08-19,634034.0
2016-08-22,630612.0
2016-08-23,646098.0
2016-08-24,658682.0
2016-08-25,690578.0
2016-08-26,700260.0
2016-08-29,734912.0
2016-08-30,808586.0
2016-08-31,828038.0
2016-09-01,827394.0
2016-09-02,1053378.0
2016-09-05,1113536.0
2016-09-06,1115284.0
2016-09-07,1191130.0
2016-09-08,1217938.0
2016-09-09,1166410.0
2016-09-12,1160616.0
2016-09-13,1121572.0
2016-09-14,1120764.0
2016-09-19,1181384.0
2016-09-20,1216480.0
2016-09-21,1335948.0
2016-09-22,1372924.0
2016-09-23,1377212.0
2016-09-26,1340782.0
2016-09-27,1300276.0
2016-09-28,1239690.0
2016-09-29,1197044.0
2016-09-30,1115830.0
2016-10-10,1063088.0
2016-10-11,1056328.0
2016-10-12,1069216.0
2016-10-13,1058294.0
2016-10-14,1003142.0
2016-10-17,961046.0
2016-10-18,961202.0
2016-10-19,969508.0
2016-10-20,955314.0
2016-10-21,999306.0
2016-10-24,1060450.0
2016-10-25,1101326.0
2016-10-26,1099128.0
2016-10-27,1073240.0
2016-10-28,1143908.0
2016-10-31,1177458.0
2016-11-01,1183198.0
2016-11-02,1185600.0
2016-11-03,1199654.0
2016-11-04,1172386.0
2016-11-07,1150800.0
