trading_date,RM_total_oi
2014-11-05,1302410.0
2014-11-06,1385448.0
2014-11-07,1337220.0
2014-11-10,1327360.0
2014-11-11,1332042.0
2014-11-12,1237158.0
2014-11-13,1310964.0
2014-11-14,1307790.0
2014-11-17,1299974.0
2014-11-18,1286584.0
2014-11-19,1356740.0
2014-11-20,1396586.0
2014-11-21,1437124.0
2014-11-24,1390430.0
2014-11-25,1396868.0
2014-11-26,1445890.0
2014-11-27,1415294.0
2014-11-28,1341066.0
2014-12-01,1307870.0
2014-12-02,1284802.0
2014-12-03,1318476.0
2014-12-04,1320866.0
2014-12-05,1343226.0
2014-12-08,1303542.0
2014-12-09,1308522.0
2014-12-10,1353552.0
2014-12-11,1443440.0
2014-12-12,1423642.0
2014-12-15,1417964.0
2014-12-16,1403180.0
2014-12-17,1458264.0
2014-12-18,1489742.0
2014-12-19,1446916.0
2014-12-22,1423190.0
2014-12-23,1397006.0
2014-12-24,1433160.0
2014-12-25,1453608.0
2014-12-26,1416716.0
2014-12-29,1306988.0
2014-12-30,1263864.0
2014-12-31,1249152.0
2015-01-05,1320032.0
2015-01-06,1257242.0
2015-01-07,1284670.0
2015-01-08,1268514.0
2015-01-09,1338364.0
2015-01-12,1321500.0
2015-01-13,1468872.0
2015-01-14,1526422.0
2015-01-15,1459756.0
2015-01-16,1565024.0
2015-01-19,1419196.0
2015-01-20,1423462.0
2015-01-21,1469732.0
2015-01-22,1501392.0
2015-01-23,1540662.0
2015-01-26,1546770.0
2015-01-27,1461526.0
2015-01-28,1456718.0
2015-01-29,1479594.0
2015-01-30,1414632.0
2015-02-02,1547754.0
2015-02-03,1434854.0
2015-02-04,1292644.0
2015-02-05,1339242.0
2015-02-06,1353032.0
2015-02-09,1373906.0
2015-02-10,1383170.0
2015-02-11,1383668.0
2015-02-12,1322038.0
2015-02-13,1317386.0
2015-02-16,1249378.0
2015-02-17,1218654.0
2015-02-25,1208904.0
2015-02-26,1415434.0
2015-02-27,1465554.0
2015-03-02,1484924.0
2015-03-03,1431284.0
2015-03-04,1441452.0
2015-03-05,1376656.0
2015-03-06,1390718.0
2015-03-09,1432864.0
2015-03-10,1477336.0
2015-03-11,1746190.0
2015-03-12,1886094.0
2015-03-13,1838740.0
2015-03-16,1798656.0
2015-03-17,1833856.0
2015-03-18,1841264.0
2015-03-19,1839222.0
2015-03-20,1856090.0
2015-03-23,1916258.0
2015-03-24,1995426.0
2015-03-25,1984580.0
2015-03-26,1965776.0
2015-03-27,1970510.0
2015-03-30,2026692.0
2015-03-31,2008124.0
2015-04-01,2050082.0
2015-04-02,2052322.0
2015-04-03,1982492.0
2015-04-07,2039710.0
2015-04-08,2120122.0
2015-04-09,2091382.0
2015-04-10,1982616.0
2015-04-13,1942662.0
2015-04-14,1919922.0
2015-04-15,1900830.0
2015-04-16,1856752.0
2015-04-17,1852914.0
2015-04-20,1798688.0
2015-04-21,1756174.0
2015-04-22,1800772.0
2015-04-23,1818944.0
2015-04-24,1857214.0
2015-04-27,1910944.0
2015-04-28,1931650.0
2015-04-29,1895842.0
2015-04-30,1883312.0
2015-05-04,1927494.0
2015-05-05,1975094.0
2015-05-06,2017972.0
2015-05-07,2086562.0
2015-05-08,2028970.0
2015-05-11,2004506.0
2015-05-12,1965728.0
2015-05-13,1991794.0
2015-05-14,2090192.0
2015-05-15,2095002.0
2015-05-18,2058970.0
2015-05-19,2016786.0
2015-05-20,1967628.0
2015-05-21,2078172.0
2015-05-22,2051446.0
2015-05-25,2088014.0
2015-05-26,2034874.0
2015-05-27,2008358.0
2015-05-28,1875502.0
2015-05-29,1872492.0
2015-06-01,1963052.0
2015-06-02,1850256.0
2015-06-03,1756680.0
2015-06-04,1732298.0
2015-06-05,1756134.0
2015-06-08,1793608.0
2015-06-09,1789802.0
2015-06-10,1789298.0
2015-06-11,1790510.0
2015-06-12,1880630.0
2015-06-15,1910604.0
2015-06-16,1868048.0
2015-06-17,1759422.0
2015-06-18,1711200.0
2015-06-19,1668640.0
2015-06-23,1610532.0
2015-06-24,1616122.0
2015-06-25,1605600.0
2015-06-26,1519662.0
2015-06-29,1495114.0
2015-06-30,1507138.0
2015-07-01,1424500.0
2015-07-02,1328498.0
2015-07-03,1344846.0
2015-07-06,1175022.0
2015-07-07,1182196.0
2015-07-08,997610.0
2015-07-09,874814.0
2015-07-10,950126.0
2015-07-13,1050764.0
2015-07-14,1245372.0
2015-07-15,1044832.0
2015-07-16,1058264.0
2015-07-17,978034.0
2015-07-20,906190.0
2015-07-21,932850.0
2015-07-22,937782.0
2015-07-23,959070.0
2015-07-24,894616.0
2015-07-27,833212.0
2015-07-28,798188.0
2015-07-29,837454.0
2015-07-30,829898.0
2015-07-31,873912.0
2015-08-03,927530.0
2015-08-04,916492.0
2015-08-05,899014.0
2015-08-06,887084.0
2015-08-07,849250.0
2015-08-10,778032.0
2015-08-11,695030.0
2015-08-12,725612.0
2015-08-13,667306.0
2015-08-14,647840.0
2015-08-17,665662.0
2015-08-18,712208.0
2015-08-19,748384.0
2015-08-20,814872.0
2015-08-21,805502.0
2015-08-24,797632.0
2015-08-25,679690.0
2015-08-26,709806.0
2015-08-27,671336.0
2015-08-28,625556.0
2015-08-31,613384.0
2015-09-01,631382.0
2015-09-02,575714.0
2015-09-07,668748.0
2015-09-08,729756.0
2015-09-09,810588.0
2015-09-10,747178.0
2015-09-11,731338.0
2015-09-14,720318.0
2015-09-15,769546.0
2015-09-16,729158.0
2015-09-17,757708.0
2015-09-18,837712.0
2015-09-21,805856.0
2015-09-22,807150.0
2015-09-23,791100.0
2015-09-24,802886.0
2015-09-25,748194.0
2015-09-28,746504.0
2015-09-29,685636.0
2015-09-30,622810.0
2015-10-08,697872.0
2015-10-09,766184.0
2015-10-12,773402.0
2015-10-13,804906.0
2015-10-14,783638.0
2015-10-15,786772.0
2015-10-16,851192.0
2015-10-19,897960.0
2015-10-20,980386.0
2015-10-21,1027032.0
2015-10-22,973208.0
2015-10-23,962168.0
2015-10-26,923528.0
2015-10-27,898764.0
2015-10-28,890790.0
2015-10-29,893998.0
2015-10-30,906808.0
2015-11-02,928766.0
2015-11-03,908372.0
2015-11-04,859538.0
2015-11-05,830564.0
2015-11-06,822472.0
2015-11-09,761608.0
2015-11-10,736644.0
2015-11-11,749538.0
2015-11-12,804644.0
2015-11-13,839136.0
2015-11-16,882488.0
2015-11-17,899212.0
2015-11-18,945436.0
2015-11-19,923418.0
2015-11-20,892942.0
2015-11-23,870910.0
2015-11-24,778512.0
2015-11-25,736086.0
2015-11-26,675318.0
2015-11-27,659520.0
2015-11-30,676892.0
2015-12-01,661456.0
2015-12-02,651882.0
2015-12-03,669982.0
2015-12-04,662200.0
2015-12-07,654020.0
2015-12-08,710554.0
2015-12-09,743442.0
2015-12-10,750768.0
2015-12-11,690422.0
2015-12-14,666058.0
2015-12-15,649048.0
2015-12-16,686902.0
2015-12-17,705718.0
2015-12-18,721482.0
2015-12-21,705736.0
2015-12-22,696026.0
2015-12-23,669518.0
2015-12-24,666304.0
2015-12-25,692018.0
2015-12-28,714940.0
2015-12-29,711562.0
2015-12-30,714398.0
2015-12-31,677604.0
2016-01-04,683288.0
2016-01-05,686554.0
2016-01-06,709656.0
2016-01-07,702094.0
2016-01-08,713454.0
2016-01-11,707060.0
2016-01-12,725432.0
2016-01-13,816800.0
2016-01-14,811668.0
2016-01-15,787054.0
2016-01-18,865400.0
2016-01-19,826392.0
2016-01-20,888050.0
2016-01-21,867116.0
2016-01-22,874098.0
2016-01-25,864820.0
2016-01-26,861558.0
2016-01-27,829362.0
2016-01-28,831850.0
2016-01-29,808660.0
2016-02-01,766172.0
2016-02-02,758752.0
2016-02-03,716108.0
2016-02-04,668608.0
2016-02-05,622526.0
2016-02-15,658792.0
2016-02-16,767404.0
2016-02-17,789934.0
2016-02-18,796696.0
2016-02-19,823212.0
2016-02-22,861206.0
2016-02-23,856040.0
2016-02-24,867746.0
2016-02-25,928782.0
2016-02-26,934990.0
2016-02-29,965592.0
2016-03-01,948158.0
2016-03-02,923226.0
2016-03-03,883744.0
2016-03-04,861002.0
2016-03-07,849610.0
2016-03-08,821426.0
2016-03-09,850488.0
2016-03-10,859438.0
2016-03-11,878524.0
2016-03-14,870820.0
2016-03-15,870038.0
2016-03-16,887860.0
2016-03-17,843088.0
2016-03-18,861534.0
2016-03-21,850514.0
2016-03-22,943634.0
2016-03-23,933014.0
2016-03-24,1114524.0
2016-03-25,1122390.0
2016-03-28,1125708.0
2016-03-29,1119564.0
2016-03-30,1111096.0
2016-03-31,1033120.0
2016-04-01,983028.0
2016-04-05,1004924.0
2016-04-06,1005398.0
2016-04-07,972346.0
2016-04-08,967488.0
2016-04-11,1025928.0
2016-04-12,1106148.0
2016-04-13,987746.0
2016-04-14,990080.0
2016-04-15,997452.0
2016-04-18,966454.0
2016-04-19,974730.0
2016-04-20,896122.0
2016-04-21,853588.0
2016-04-22,703670.0
2016-04-25,771554.0
2016-04-26,752760.0
2016-04-27,779022.0
2016-04-28,770124.0
2016-04-29,749418.0
2016-05-03,747826.0
2016-05-04,729268.0
2016-05-05,808698.0
2016-05-06,754790.0
2016-05-09,730044.0
2016-05-10,740430.0
2016-05-11,779438.0
2016-05-12,734404.0
2016-05-13,714692.0
2016-05-16,711702.0
2016-05-17,788270.0
2016-05-18,848084.0
2016-05-19,859594.0
2016-05-20,934430.0
2016-05-23,872826.0
2016-05-24,851150.0
2016-05-25,816908.0
2016-05-26,841984.0
2016-05-27,864246.0
2016-05-30,980362.0
2016-05-31,958988.0
2016-06-01,1032308.0
2016-06-02,1183182.0
2016-06-03,1218798.0
2016-06-06,1182420.0
2016-06-07,1189354.0
2016-06-08,1127354.0
2016-06-13,1127394.0
2016-06-14,981930.0
2016-06-15,1246982.0
