trading_date,SR_total_oi
2014-11-18,1321352.0
2014-11-19,1302382.0
2014-11-20,1299206.0
2014-11-21,1254674.0
2014-11-24,1287950.0
2014-11-25,1253690.0
2014-11-26,1243336.0
2014-11-27,1222108.0
2014-11-28,1205680.0
2014-12-01,1208010.0
2014-12-02,1158984.0
2014-12-03,1147806.0
2014-12-04,1130956.0
2014-12-05,1080756.0
2014-12-08,1086506.0
2014-12-09,1069606.0
2014-12-10,1090950.0
2014-12-11,1021302.0
2014-12-12,1027714.0
2014-12-15,1016534.0
2014-12-16,1008464.0
2014-12-17,1017554.0
2014-12-18,1034376.0
2014-12-19,1073610.0
2014-12-22,1098588.0
2014-12-23,1119108.0
2014-12-24,1114242.0
2014-12-25,1124830.0
2014-12-26,1114696.0
2014-12-29,1104800.0
2014-12-30,1071292.0
2014-12-31,1003372.0
2015-01-05,1012340.0
2015-01-06,1041232.0
2015-01-07,1051752.0
2015-01-08,1075474.0
2015-01-09,1078252.0
2015-01-12,1129370.0
2015-01-13,1103836.0
2015-01-14,1135884.0
2015-01-15,1106902.0
2015-01-16,1078848.0
2015-01-19,1029450.0
2015-01-20,1043930.0
2015-01-21,1086948.0
2015-01-22,1091450.0
2015-01-23,1189618.0
2015-01-26,1172512.0
2015-01-27,1214064.0
2015-01-28,1158512.0
2015-01-29,1169686.0
2015-01-30,1131986.0
2015-02-02,1201176.0
2015-02-03,1190448.0
2015-02-04,1166068.0
2015-02-05,1134948.0
2015-02-06,1150148.0
2015-02-09,1159324.0
2015-02-10,1261782.0
2015-02-11,1275208.0
2015-02-12,1283814.0
2015-02-13,1290748.0
2015-02-16,1216990.0
2015-02-17,1200512.0
2015-02-25,1222072.0
2015-02-26,1300392.0
2015-02-27,1299246.0
2015-03-02,1392618.0
2015-03-03,1402832.0
2015-03-04,1343028.0
2015-03-05,1242478.0
2015-03-06,1235982.0
2015-03-09,1172072.0
2015-03-10,1101554.0
2015-03-11,1088842.0
2015-03-12,1042720.0
2015-03-13,1050218.0
2015-03-16,1031282.0
2015-03-17,1037400.0
2015-03-18,1044136.0
2015-03-19,1029720.0
2015-03-20,1018154.0
2015-03-23,1004774.0
2015-03-24,1015466.0
2015-03-25,913062.0
2015-03-26,940614.0
2015-03-27,1008040.0
2015-03-30,1021400.0
2015-03-31,992134.0
2015-04-01,1038590.0
2015-04-02,1043956.0
2015-04-03,1007466.0
2015-04-07,1006498.0
2015-04-08,1059634.0
2015-04-09,1051002.0
2015-04-10,1112194.0
2015-04-13,1204516.0
2015-04-14,1210060.0
2015-04-15,1219438.0
2015-04-16,1210714.0
2015-04-17,1241836.0
2015-04-20,1224546.0
2015-04-21,1210034.0
2015-04-22,1227156.0
2015-04-23,1153472.0
2015-04-24,1153594.0
2015-04-27,1127724.0
2015-04-28,1120868.0
2015-04-29,1106052.0
2015-04-30,1050506.0
2015-05-04,1030242.0
2015-05-05,1062262.0
2015-05-06,1056914.0
2015-05-07,1057482.0
2015-05-08,1062522.0
2015-05-11,1051188.0
2015-05-12,1048648.0
2015-05-13,1041996.0
2015-05-14,1023898.0
2015-05-15,989056.0
2015-05-18,1008676.0
2015-05-19,1011040.0
2015-05-20,1072376.0
2015-05-21,1038628.0
2015-05-22,1036072.0
2015-05-25,1061482.0
2015-05-26,999562.0
2015-05-27,999906.0
2015-05-28,1004186.0
2015-05-29,999604.0
2015-06-01,1014662.0
2015-06-02,1086656.0
2015-06-03,1057122.0
2015-06-04,1061540.0
2015-06-05,1048608.0
2015-06-08,1032086.0
2015-06-09,1031750.0
2015-06-10,1025794.0
2015-06-11,1022724.0
2015-06-12,1033084.0
2015-06-15,1038940.0
2015-06-16,993610.0
2015-06-17,954432.0
2015-06-18,997074.0
2015-06-19,953268.0
2015-06-23,903166.0
2015-06-24,907410.0
2015-06-25,912646.0
2015-06-26,900736.0
2015-06-29,824912.0
2015-06-30,818396.0
2015-07-01,819636.0
2015-07-02,809852.0
2015-07-03,806864.0
2015-07-06,768272.0
2015-07-07,754370.0
2015-07-08,721060.0
2015-07-09,579636.0
2015-07-10,599290.0
2015-07-13,609062.0
2015-07-14,606630.0
2015-07-15,614262.0
2015-07-16,622072.0
2015-07-17,636248.0
2015-07-20,666944.0
2015-07-21,678516.0
2015-07-22,668898.0
2015-07-23,724826.0
2015-07-24,696618.0
2015-07-27,701090.0
2015-07-28,703134.0
2015-07-29,689230.0
2015-07-30,744244.0
2015-07-31,749954.0
2015-08-03,741770.0
2015-08-04,728144.0
2015-08-05,738224.0
2015-08-06,769536.0
2015-08-07,850742.0
2015-08-10,920120.0
2015-08-11,800724.0
2015-08-12,788004.0
2015-08-13,829566.0
2015-08-14,821294.0
2015-08-17,894196.0
2015-08-18,864486.0
2015-08-19,831620.0
2015-08-20,846330.0
2015-08-21,825772.0
2015-08-24,842524.0
2015-08-25,837544.0
2015-08-26,840704.0
2015-08-27,827476.0
2015-08-28,824952.0
2015-08-31,832478.0
