trading_date,RB_total_oi
2014-09-16,3490138.0
2014-09-17,3521700.0
2014-09-18,3636966.0
2014-09-19,3919140.0
2014-09-22,3992354.0
2014-09-23,3798302.0
2014-09-24,3828414.0
2014-09-25,4032592.0
2014-09-26,3780550.0
2014-09-29,3811960.0
2014-09-30,3580660.0
2014-10-08,3817656.0
2014-10-09,3986820.0
2014-10-10,3852146.0
2014-10-13,3814508.0
2014-10-14,3840064.0
2014-10-15,3744374.0
2014-10-16,3613012.0
2014-10-17,3682372.0
2014-10-20,3771458.0
2014-10-21,3956730.0
2014-10-22,4240920.0
2014-10-23,4273088.0
2014-10-24,4275476.0
2014-10-27,4272452.0
2014-10-28,4316884.0
2014-10-29,4216798.0
2014-10-30,4044080.0
2014-10-31,4000258.0
2014-11-03,4042156.0
2014-11-04,3963092.0
2014-11-05,4118544.0
2014-11-06,4078956.0
2014-11-07,4097226.0
2014-11-10,4098064.0
2014-11-11,4060354.0
2014-11-12,4112156.0
2014-11-13,4349562.0
2014-11-14,4303746.0
2014-11-17,4520540.0
2014-11-18,4822134.0
2014-11-19,4518394.0
2014-11-20,4521098.0
2014-11-21,4465230.0
2014-11-24,4412948.0
2014-11-25,4491532.0
2014-11-26,4498740.0
2014-11-27,3955024.0
2014-11-28,3601126.0
2014-12-01,3441152.0
2014-12-02,3530728.0
2014-12-03,3426492.0
2014-12-04,3383014.0
2014-12-05,3367188.0
2014-12-08,3302196.0
2014-12-09,3287166.0
2014-12-10,3266402.0
2014-12-11,3153688.0
2014-12-12,3156704.0
2014-12-15,3139238.0
2014-12-16,2958412.0
2014-12-17,2945998.0
2014-12-18,2907100.0
2014-12-19,2922786.0
2014-12-22,2845218.0
2014-12-23,2790730.0
2014-12-24,2689718.0
2014-12-25,2656936.0
2014-12-26,2646424.0
2014-12-29,2727232.0
2014-12-30,2678512.0
2014-12-31,2525008.0
2015-01-05,2620356.0
2015-01-06,2725016.0
2015-01-07,2684042.0
2015-01-08,2666072.0
2015-01-09,2602582.0
2015-01-12,2633982.0
2015-01-13,2630166.0
2015-01-14,2621108.0
2015-01-15,2651532.0
2015-01-16,2700128.0
2015-01-19,2624296.0
2015-01-20,2701176.0
2015-01-21,2714682.0
2015-01-22,2696680.0
2015-01-23,2807710.0
2015-01-26,2830086.0
2015-01-27,2804108.0
2015-01-28,2779116.0
2015-01-29,2834564.0
2015-01-30,2821282.0
2015-02-02,2724626.0
2015-02-03,2639596.0
2015-02-04,2625316.0
2015-02-05,2580128.0
2015-02-06,2442196.0
2015-02-09,2491256.0
2015-02-10,2384730.0
2015-02-11,2337914.0
2015-02-12,2339050.0
