trading_date,JM_total_oi
2014-10-17,438468.0
2014-10-20,473870.0
2014-10-21,493800.0
2014-10-22,524512.0
2014-10-23,542272.0
2014-10-24,535034.0
2014-10-27,510278.0
2014-10-28,528422.0
2014-10-29,524806.0
2014-10-30,527746.0
2014-10-31,565442.0
2014-11-03,527942.0
2014-11-04,532606.0
2014-11-05,494840.0
2014-11-06,500926.0
2014-11-07,487472.0
2014-11-10,488570.0
2014-11-11,471434.0
2014-11-12,446186.0
2014-11-13,447606.0
2014-11-14,436470.0
2014-11-17,428772.0
2014-11-18,392498.0
2014-11-19,368806.0
2014-11-20,367970.0
2014-11-21,362746.0
2014-11-24,350624.0
2014-11-25,344124.0
2014-11-26,349594.0
2014-11-27,344534.0
2014-11-28,329756.0
2014-12-01,320982.0
2014-12-02,306038.0
2014-12-03,296998.0
2014-12-04,297740.0
2014-12-05,272138.0
2014-12-08,261178.0
2014-12-09,237442.0
2014-12-10,228744.0
2014-12-11,222570.0
2014-12-12,213328.0
2014-12-15,205766.0
2014-12-16,202330.0
2014-12-17,201056.0
2014-12-18,196444.0
2014-12-19,194784.0
2014-12-22,219564.0
2014-12-23,268290.0
2014-12-24,202882.0
2014-12-25,203400.0
2014-12-26,214444.0
2014-12-29,203072.0
2014-12-30,197314.0
2014-12-31,186708.0
2015-01-05,183260.0
2015-01-06,196424.0
2015-01-07,185616.0
2015-01-08,196544.0
2015-01-09,184166.0
2015-01-12,189498.0
2015-01-13,188550.0
2015-01-14,183910.0
2015-01-15,188762.0
2015-01-16,186012.0
2015-01-19,168186.0
2015-01-20,164396.0
2015-01-21,165624.0
2015-01-22,173764.0
2015-01-23,171090.0
2015-01-26,171188.0
2015-01-27,156886.0
2015-01-28,160702.0
2015-01-29,154564.0
2015-01-30,148970.0
2015-02-02,148732.0
2015-02-03,141722.0
2015-02-04,141516.0
2015-02-05,139124.0
2015-02-06,137224.0
2015-02-09,139844.0
2015-02-10,138636.0
2015-02-11,136998.0
2015-02-12,133532.0
2015-02-13,132738.0
2015-02-16,125254.0
2015-02-17,117060.0
2015-02-25,117268.0
2015-02-26,116900.0
2015-02-27,120092.0
2015-03-02,124264.0
2015-03-03,126340.0
2015-03-04,128952.0
2015-03-05,134048.0
2015-03-06,132734.0
2015-03-09,128470.0
2015-03-10,123988.0
2015-03-11,123404.0
2015-03-12,121772.0
2015-03-13,119116.0
2015-03-16,120962.0
2015-03-17,119464.0
2015-03-18,124562.0
2015-03-19,128070.0
2015-03-20,127726.0
2015-03-23,129998.0
2015-03-24,125736.0
2015-03-25,145698.0
2015-03-26,142292.0
2015-03-27,146928.0
2015-03-30,172908.0
2015-03-31,156968.0
2015-04-01,157200.0
2015-04-02,171170.0
2015-04-03,181544.0
2015-04-07,187396.0
2015-04-08,200538.0
2015-04-09,201994.0
2015-04-10,218462.0
2015-04-13,208452.0
2015-04-14,197272.0
2015-04-15,202960.0
2015-04-16,194248.0
2015-04-17,213242.0
2015-04-20,327312.0
2015-04-21,304164.0
2015-04-22,304650.0
2015-04-23,324252.0
2015-04-24,303576.0
2015-04-27,292896.0
2015-04-28,288324.0
2015-04-29,324840.0
2015-04-30,312620.0
2015-05-04,305144.0
2015-05-05,301684.0
2015-05-06,322344.0
2015-05-07,318732.0
2015-05-08,363106.0
2015-05-11,341140.0
2015-05-12,315070.0
2015-05-13,288370.0
2015-05-14,280810.0
2015-05-15,268552.0
2015-05-18,261972.0
2015-05-19,257762.0
2015-05-20,246632.0
2015-05-21,253558.0
2015-05-22,271034.0
2015-05-25,245818.0
2015-05-26,233004.0
2015-05-27,231542.0
2015-05-28,224780.0
2015-05-29,216718.0
2015-06-01,214126.0
2015-06-02,209768.0
2015-06-03,210036.0
2015-06-04,194424.0
2015-06-05,194678.0
2015-06-08,189680.0
