trading_date,C_total_oi
2014-12-03,313784.0
2014-12-04,309786.0
2014-12-05,303704.0
2014-12-08,322012.0
2014-12-09,322268.0
2014-12-10,311684.0
2014-12-11,309664.0
2014-12-12,310826.0
2014-12-15,293998.0
2014-12-16,291440.0
2014-12-17,289732.0
2014-12-18,285982.0
2014-12-19,281760.0
2014-12-22,302084.0
2014-12-23,324572.0
2014-12-24,324124.0
2014-12-25,328016.0
2014-12-26,324038.0
2014-12-29,296770.0
2014-12-30,271582.0
2014-12-31,278958.0
2015-01-05,296642.0
2015-01-06,272504.0
2015-01-07,275618.0
2015-01-08,269282.0
2015-01-09,251066.0
2015-01-12,251210.0
2015-01-13,261818.0
2015-01-14,264996.0
2015-01-15,263070.0
2015-01-16,265498.0
2015-01-19,274770.0
2015-01-20,282676.0
2015-01-21,287556.0
2015-01-22,295404.0
2015-01-23,302366.0
2015-01-26,320952.0
2015-01-27,326416.0
2015-01-28,330098.0
2015-01-29,325176.0
2015-01-30,330918.0
2015-02-02,339110.0
2015-02-03,341096.0
2015-02-04,336364.0
2015-02-05,327784.0
2015-02-06,326236.0
2015-02-09,327800.0
2015-02-10,333032.0
2015-02-11,336646.0
2015-02-12,323002.0
2015-02-13,314736.0
2015-02-16,311874.0
2015-02-17,308630.0
2015-02-25,308996.0
2015-02-26,317936.0
2015-02-27,333042.0
2015-03-02,334912.0
2015-03-03,334466.0
2015-03-04,351476.0
2015-03-05,343810.0
2015-03-06,343056.0
2015-03-09,359738.0
2015-03-10,367768.0
2015-03-11,362468.0
2015-03-12,361158.0
2015-03-13,368962.0
2015-03-16,374446.0
2015-03-17,372492.0
2015-03-18,376166.0
2015-03-19,375232.0
2015-03-20,375404.0
2015-03-23,366124.0
2015-03-24,366718.0
2015-03-25,366952.0
2015-03-26,370898.0
2015-03-27,375844.0
2015-03-30,367646.0
2015-03-31,364536.0
2015-04-01,360166.0
2015-04-02,362386.0
2015-04-03,386306.0
2015-04-07,386554.0
2015-04-08,382200.0
2015-04-09,376774.0
2015-04-10,356420.0
2015-04-13,356388.0
2015-04-14,364404.0
2015-04-15,373130.0
2015-04-16,379090.0
2015-04-17,350136.0
2015-04-20,350470.0
2015-04-21,348862.0
2015-04-22,343812.0
2015-04-23,340922.0
2015-04-24,343390.0
2015-04-27,341736.0
2015-04-28,347390.0
2015-04-29,359554.0
2015-04-30,358322.0
2015-05-04,352624.0
2015-05-05,356018.0
2015-05-06,349778.0
2015-05-07,349472.0
2015-05-08,344730.0
2015-05-11,332916.0
2015-05-12,332508.0
2015-05-13,308820.0
2015-05-14,308948.0
2015-05-15,307742.0
2015-05-18,310068.0
2015-05-19,302444.0
2015-05-20,302996.0
2015-05-21,314876.0
2015-05-22,311840.0
2015-05-25,314252.0
2015-05-26,310016.0
2015-05-27,337340.0
2015-05-28,346016.0
2015-05-29,349224.0
2015-06-01,356958.0
2015-06-02,351168.0
2015-06-03,357292.0
2015-06-04,405844.0
2015-06-05,419080.0
2015-06-08,444506.0
2015-06-09,467152.0
2015-06-10,491608.0
2015-06-11,497206.0
2015-06-12,518072.0
2015-06-15,531820.0
2015-06-16,539790.0
2015-06-17,544610.0
2015-06-18,548112.0
2015-06-19,553924.0
2015-06-23,543210.0
2015-06-24,562148.0
2015-06-25,578762.0
2015-06-26,584714.0
2015-06-29,583630.0
2015-06-30,598940.0
2015-07-01,576850.0
2015-07-02,569474.0
2015-07-03,566188.0
2015-07-06,557048.0
2015-07-07,588730.0
2015-07-08,570242.0
2015-07-09,582880.0
2015-07-10,643206.0
2015-07-13,664586.0
2015-07-14,767776.0
2015-07-15,776602.0
2015-07-16,816326.0
2015-07-17,850932.0
2015-07-20,872372.0
2015-07-21,911700.0
2015-07-22,941308.0
2015-07-23,959320.0
2015-07-24,1025310.0
2015-07-27,1157774.0
2015-07-28,1196988.0
2015-07-29,1214500.0
2015-07-30,1271346.0
2015-07-31,1306710.0
2015-08-03,1338758.0
2015-08-04,1359186.0
2015-08-05,1404284.0
2015-08-06,1423666.0
2015-08-07,1481712.0
2015-08-10,1515680.0
2015-08-11,1539854.0
2015-08-12,1526948.0
2015-08-13,1536086.0
2015-08-14,1575788.0
2015-08-17,1538762.0
2015-08-18,1532292.0
2015-08-19,1526054.0
2015-08-20,1510194.0
2015-08-21,1438928.0
2015-08-24,1415974.0
2015-08-25,1393456.0
2015-08-26,1379596.0
2015-08-27,1343866.0
2015-08-28,1344746.0
2015-08-31,1382322.0
2015-09-01,1381216.0
2015-09-02,1375668.0
2015-09-07,1357982.0
2015-09-08,1323766.0
2015-09-09,1352544.0
2015-09-10,1336462.0
2015-09-11,1285134.0
2015-09-14,1303260.0
2015-09-15,1303662.0
2015-09-16,1236532.0
2015-09-17,1315686.0
2015-09-18,1635634.0
2015-09-21,1717596.0
2015-09-22,1776878.0
2015-09-23,1836136.0
2015-09-24,1875672.0
2015-09-25,1812734.0
2015-09-28,1801502.0
2015-09-29,1905438.0
2015-09-30,2016382.0
2015-10-08,2091328.0
2015-10-09,2153006.0
2015-10-12,2239412.0
2015-10-13,2370948.0
2015-10-14,2307794.0
2015-10-15,2287928.0
2015-10-16,2331816.0
2015-10-19,2340612.0
2015-10-20,2363836.0
2015-10-21,2326654.0
2015-10-22,2308404.0
2015-10-23,2274514.0
2015-10-26,2269746.0
2015-10-27,2197622.0
2015-10-28,2197800.0
2015-10-29,2198028.0
2015-10-30,2224584.0
2015-11-02,2219246.0
2015-11-03,2209930.0
2015-11-04,2124782.0
2015-11-05,2121322.0
2015-11-06,2073114.0
2015-11-09,1764376.0
2015-11-10,2007770.0
2015-11-11,2056496.0
2015-11-12,2140400.0
2015-11-13,2070724.0
2015-11-16,2129538.0
2015-11-17,2164460.0
2015-11-18,2110938.0
2015-11-19,2072982.0
2015-11-20,2084920.0
2015-11-23,2067400.0
2015-11-24,1996348.0
2015-11-25,1959904.0
2015-11-26,1881884.0
2015-11-27,1840566.0
2015-11-30,1962990.0
2015-12-01,1950886.0
2015-12-02,1926048.0
2015-12-03,1948286.0
2015-12-04,1914464.0
2015-12-07,1884396.0
2015-12-08,1827208.0
2015-12-09,1852250.0
2015-12-10,1809950.0
2015-12-11,1775160.0
2015-12-14,1734370.0
2015-12-15,1720738.0
2015-12-16,1721554.0
2015-12-17,1741382.0
2015-12-18,1728644.0
2015-12-21,1735556.0
2015-12-22,1739550.0
2015-12-23,1743410.0
2015-12-24,1781868.0
2015-12-25,1812980.0
2015-12-28,1892028.0
2015-12-29,1806342.0
2015-12-30,1774678.0
2015-12-31,1737616.0
2016-01-04,1755498.0
2016-01-05,1722706.0
2016-01-06,1766830.0
2016-01-07,1823184.0
2016-01-08,1843178.0
2016-01-11,1843740.0
2016-01-12,1864294.0
2016-01-13,1864868.0
2016-01-14,1888078.0
2016-01-15,1907704.0
2016-01-18,1873604.0
2016-01-19,1830488.0
2016-01-20,1800438.0
2016-01-21,1787180.0
2016-01-22,1772704.0
2016-01-25,1801332.0
2016-01-26,1804872.0
2016-01-27,1843840.0
2016-01-28,1931012.0
2016-01-29,1989440.0
2016-02-01,1987154.0
2016-02-02,1994470.0
2016-02-03,1957672.0
2016-02-04,1873352.0
2016-02-05,1865680.0
2016-02-15,1873340.0
2016-02-16,1922376.0
2016-02-17,1902588.0
2016-02-18,1898080.0
2016-02-19,2056382.0
2016-02-22,2092940.0
2016-02-23,2069834.0
2016-02-24,2088040.0
2016-02-25,2053526.0
2016-02-26,2076106.0
2016-02-29,2160468.0
2016-03-01,2143122.0
2016-03-02,2096758.0
