trading_date,SM_total_oi
2015-07-30,6.0
2015-07-31,6.0
2015-08-03,8.0
2015-08-04,8.0
2015-08-05,8.0
2015-08-06,14.0
2015-08-07,12.0
2015-08-10,8.0
2015-08-11,8.0
2015-08-12,6.0
2015-08-13,6.0
2015-08-14,6.0
2015-08-17,6.0
2015-08-18,4.0
2015-08-19,2.0
2015-08-20,2.0
2015-08-21,2.0
2015-08-24,2.0
2015-08-25,4.0
2015-08-26,4.0
2015-08-27,2.0
2015-08-28,2.0
2015-08-31,4.0
2015-09-01,6.0
2015-09-02,4.0
2015-09-07,6.0
2015-09-08,6.0
2015-09-09,8.0
2015-09-10,8.0
2015-09-11,8.0
2015-09-14,8.0
2015-09-15,8.0
2015-09-16,8.0
2015-09-17,8.0
2015-09-18,8.0
2015-09-21,8.0
2015-09-22,8.0
2015-09-23,8.0
2015-09-24,8.0
2015-09-25,8.0
2015-09-28,10.0
2015-09-29,10.0
2015-09-30,12.0
2015-10-08,20.0
2015-10-09,72.0
2015-10-12,74.0
2015-10-13,74.0
2015-10-14,74.0
2015-10-15,76.0
2015-10-16,80.0
2015-10-19,88.0
2015-10-20,120.0
2015-10-21,174.0
2015-10-22,164.0
2015-10-23,156.0
2015-10-26,166.0
2015-10-27,200.0
2015-10-28,242.0
2015-10-29,470.0
2015-10-30,654.0
2015-11-02,554.0
2015-11-03,1254.0
2015-11-04,1642.0
2015-11-05,1732.0
2015-11-06,1434.0
2015-11-09,1188.0
2015-11-10,1014.0
2015-11-11,1690.0
2015-11-12,1928.0
2015-11-13,1890.0
2015-11-16,1784.0
2015-11-17,1882.0
2015-11-18,1854.0
2015-11-19,2256.0
2015-11-20,2180.0
2015-11-23,2518.0
2015-11-24,1874.0
2015-11-25,1428.0
2015-11-26,1556.0
2015-11-27,1480.0
2015-11-30,1458.0
2015-12-01,1408.0
2015-12-02,1302.0
2015-12-03,1340.0
2015-12-04,1142.0
2015-12-07,1130.0
2015-12-08,920.0
2015-12-09,856.0
2015-12-10,808.0
2015-12-11,726.0
2015-12-14,650.0
2015-12-15,592.0
2015-12-16,560.0
2015-12-17,536.0
2015-12-18,462.0
2015-12-21,406.0
2015-12-22,408.0
2015-12-23,442.0
2015-12-24,302.0
2015-12-25,290.0
2015-12-28,294.0
2015-12-29,214.0
2015-12-30,214.0
2015-12-31,220.0
2016-01-04,272.0
2016-01-05,294.0
2016-01-06,266.0
2016-01-07,262.0
2016-01-08,334.0
2016-01-11,352.0
2016-01-12,362.0
2016-01-13,458.0
2016-01-14,632.0
2016-01-15,832.0
2016-01-18,698.0
2016-01-19,682.0
2016-01-20,690.0
2016-01-21,702.0
2016-01-22,766.0
2016-01-25,740.0
2016-01-26,738.0
2016-01-27,708.0
2016-01-28,634.0
2016-01-29,662.0
2016-02-01,668.0
2016-02-02,640.0
2016-02-03,624.0
2016-02-04,600.0
2016-02-05,566.0
2016-02-15,574.0
2016-02-16,562.0
2016-02-17,550.0
2016-02-18,544.0
2016-02-19,610.0
2016-02-22,662.0
2016-02-23,620.0
2016-02-24,602.0
2016-02-25,536.0
2016-02-26,570.0
2016-02-29,640.0
2016-03-01,700.0
2016-03-02,1654.0
2016-03-03,1412.0
2016-03-04,1224.0
2016-03-07,1144.0
2016-03-08,1268.0
2016-03-09,1380.0
2016-03-10,1372.0
2016-03-11,1400.0
2016-03-14,1370.0
2016-03-15,1164.0
2016-03-16,1298.0
2016-03-17,1288.0
2016-03-18,1214.0
2016-03-21,948.0
2016-03-22,1264.0
2016-03-23,1092.0
2016-03-24,1442.0
2016-03-25,1368.0
2016-03-28,1720.0
2016-03-29,1438.0
2016-03-30,1338.0
2016-03-31,1230.0
2016-04-01,1112.0
2016-04-05,1090.0
2016-04-06,998.0
2016-04-07,946.0
2016-04-08,814.0
2016-04-11,786.0
2016-04-12,686.0
2016-04-13,762.0
2016-04-14,816.0
2016-04-15,766.0
2016-04-18,620.0
2016-04-19,588.0
2016-04-20,514.0
2016-04-21,366.0
2016-04-22,330.0
2016-04-25,294.0
2016-04-26,282.0
2016-04-27,274.0
2016-04-28,262.0
2016-04-29,166.0
2016-05-03,184.0
2016-05-04,210.0
2016-05-05,218.0
2016-05-06,250.0
2016-05-09,276.0
2016-05-10,268.0
2016-05-11,208.0
2016-05-12,184.0
2016-05-13,166.0
2016-05-16,144.0
2016-05-17,128.0
2016-05-18,120.0
2016-05-19,124.0
2016-05-20,120.0
2016-05-23,124.0
2016-05-24,104.0
2016-05-25,96.0
2016-05-26,94.0
2016-05-27,98.0
2016-05-30,92.0
2016-05-31,84.0
2016-06-01,84.0
2016-06-02,120.0
2016-06-03,146.0
2016-06-06,138.0
2016-06-07,122.0
2016-06-08,114.0
2016-06-13,134.0
2016-06-14,132.0
2016-06-15,118.0
2016-06-16,122.0
2016-06-17,122.0
2016-06-20,122.0
2016-06-21,158.0
2016-06-22,150.0
2016-06-23,152.0
2016-06-24,148.0
2016-06-27,166.0
2016-06-28,166.0
2016-06-29,166.0
2016-06-30,144.0
2016-07-01,140.0
2016-07-04,196.0
2016-07-05,174.0
2016-07-06,154.0
2016-07-07,144.0
2016-07-08,114.0
2016-07-11,116.0
2016-07-12,114.0
2016-07-13,120.0
2016-07-14,116.0
2016-07-15,114.0
2016-07-18,174.0
2016-07-19,444.0
2016-07-20,1148.0
2016-07-21,2286.0
2016-07-22,3862.0
2016-07-25,6522.0
2016-07-26,8928.0
2016-07-27,11490.0
2016-07-28,11960.0
2016-07-29,11788.0
2016-08-01,12252.0
2016-08-02,14430.0
2016-08-03,19952.0
2016-08-04,27132.0
2016-08-05,28032.0
2016-08-08,27128.0
2016-08-09,26954.0
2016-08-10,24618.0
2016-08-11,24382.0
2016-08-12,22866.0
2016-08-15,22314.0
2016-08-16,19924.0
2016-08-17,17462.0
2016-08-18,13268.0
2016-08-19,11720.0
2016-08-22,10114.0
2016-08-23,8478.0
2016-08-24,6818.0
2016-08-25,5792.0
2016-08-26,4812.0
2016-08-29,4508.0
2016-08-30,4134.0
2016-08-31,3248.0
2016-09-01,3400.0
2016-09-02,3256.0
2016-09-05,3292.0
2016-09-06,3116.0
2016-09-07,2874.0
2016-09-08,3918.0
2016-09-09,3990.0
2016-09-12,3360.0
2016-09-13,3800.0
2016-09-14,3340.0
2016-09-19,3798.0
2016-09-20,7636.0
2016-09-21,10472.0
2016-09-22,10764.0
2016-09-23,14414.0
2016-09-26,20640.0
2016-09-27,18682.0
2016-09-28,22154.0
2016-09-29,18612.0
2016-09-30,17856.0
2016-10-10,19202.0
2016-10-11,24764.0
2016-10-12,31946.0
2016-10-13,33064.0
2016-10-14,33426.0
2016-10-17,37146.0
2016-10-18,37100.0
2016-10-19,36838.0
2016-10-20,37808.0
2016-10-21,36588.0
2016-10-24,38802.0
2016-10-25,37240.0
2016-10-26,37078.0
2016-10-27,32976.0
2016-10-28,34016.0
2016-10-31,34570.0
2016-11-01,33522.0
2016-11-02,33186.0
2016-11-03,31450.0
2016-11-04,29582.0
2016-11-07,28124.0
2016-11-08,27386.0
2016-11-09,26018.0
2016-11-10,25258.0
2016-11-11,26530.0
2016-11-14,25162.0
2016-11-15,24856.0
2016-11-16,24728.0
2016-11-17,24800.0
2016-11-18,24944.0
2016-11-21,24788.0
2016-11-22,18680.0
2016-11-23,17376.0
2016-11-24,17490.0
2016-11-25,17404.0
2016-11-28,17316.0
2016-11-29,16758.0
2016-11-30,19878.0
2016-12-01,18694.0
2016-12-02,18312.0
2016-12-05,18324.0
2016-12-06,18392.0
2016-12-07,18652.0
2016-12-08,20970.0
2016-12-09,21344.0
2016-12-12,22958.0
2016-12-13,23590.0
2016-12-14,23478.0
2016-12-15,22764.0
2016-12-16,21276.0
2016-12-19,20194.0
2016-12-20,19070.0
2016-12-21,17964.0
2016-12-22,18244.0
2016-12-23,18748.0
2016-12-26,19400.0
2016-12-27,20230.0
2016-12-28,19274.0
2016-12-29,20366.0
2016-12-30,20274.0
2017-01-03,24234.0
2017-01-04,24020.0
2017-01-05,24318.0
2017-01-06,27804.0
2017-01-09,28904.0
2017-01-10,37258.0
2017-01-11,38262.0
2017-01-12,42854.0
2017-01-13,43576.0
2017-01-16,44260.0
2017-01-17,45218.0
2017-01-18,46718.0
2017-01-19,46006.0
2017-01-20,44010.0
2017-01-23,47684.0
2017-01-24,49912.0
2017-01-25,48260.0
2017-01-26,47510.0
2017-02-03,48118.0
2017-02-06,50956.0
2017-02-07,56212.0
2017-02-08,59144.0
2017-02-09,60806.0
2017-02-10,65422.0
2017-02-13,69906.0
2017-02-14,72650.0
2017-02-15,69890.0
2017-02-16,66514.0
2017-02-17,69122.0
2017-02-20,69648.0
2017-02-21,71720.0
2017-02-22,74294.0
2017-02-23,77644.0
2017-02-24,79110.0
2017-02-27,96656.0
2017-02-28,95750.0
2017-03-01,103078.0
2017-03-02,102014.0
2017-03-03,103570.0
2017-03-06,100968.0
2017-03-07,98486.0
2017-03-08,93552.0
2017-03-09,102402.0
2017-03-10,94410.0
2017-03-13,97310.0
2017-03-14,102334.0
2017-03-15,116010.0
2017-03-16,109386.0
2017-03-17,120334.0
2017-03-20,124410.0
2017-03-21,96466.0
2017-03-22,95760.0
2017-03-23,91688.0
2017-03-24,89394.0
2017-03-27,101052.0
2017-03-28,111922.0
2017-03-29,109836.0
2017-03-30,102096.0
2017-03-31,88646.0
2017-04-05,89338.0
2017-04-06,94376.0
2017-04-07,79518.0
2017-04-10,75516.0
2017-04-11,72632.0
2017-04-12,79014.0
2017-04-13,72818.0
2017-04-14,86450.0
2017-04-17,86246.0
2017-04-18,84164.0
2017-04-19,78618.0
2017-04-20,73792.0
2017-04-21,72278.0
2017-04-24,68430.0
2017-04-25,79444.0
2017-04-26,86372.0
2017-04-27,92744.0
2017-04-28,83972.0
2017-05-02,88306.0
2017-05-03,95864.0
2017-05-04,97168.0
2017-05-05,101064.0
2017-05-08,103608.0
2017-05-09,106436.0
2017-05-10,108552.0
2017-05-11,110278.0
2017-05-12,110620.0
2017-05-15,119320.0
2017-05-16,107484.0
2017-05-17,137078.0
2017-05-18,132850.0
2017-05-19,119486.0
2017-05-22,117354.0
2017-05-23,117490.0
2017-05-24,112670.0
2017-05-25,108862.0
2017-05-26,105956.0
2017-05-31,112682.0
2017-06-01,112712.0
2017-06-02,108162.0
2017-06-05,112976.0
2017-06-06,103862.0
2017-06-07,108732.0
2017-06-08,108310.0
2017-06-09,105968.0
2017-06-12,121092.0
2017-06-13,111992.0
2017-06-14,108148.0
2017-06-15,98166.0
2017-06-16,102196.0
2017-06-19,99354.0
2017-06-20,130174.0
2017-06-21,115746.0
2017-06-22,112034.0
2017-06-23,101362.0
2017-06-26,107904.0
2017-06-27,99704.0
2017-06-28,93198.0
2017-06-29,103506.0
2017-06-30,104424.0
2017-07-03,116122.0
2017-07-04,94978.0
2017-07-05,110582.0
2017-07-06,102504.0
2017-07-07,114800.0
2017-07-10,107422.0
2017-07-11,109824.0
2017-07-12,105482.0
2017-07-13,106078.0
2017-07-14,103612.0
2017-07-17,140228.0
2017-07-18,128648.0
2017-07-19,125362.0
2017-07-20,122256.0
2017-07-21,107470.0
2017-07-24,157788.0
2017-07-25,137258.0
2017-07-26,140600.0
2017-07-27,127318.0
2017-07-28,129226.0
2017-07-31,125810.0
2017-08-01,123410.0
2017-08-02,120914.0
2017-08-03,126342.0
2017-08-04,110578.0
2017-08-07,114400.0
2017-08-08,98554.0
2017-08-09,142680.0
2017-08-10,145352.0
2017-08-11,115518.0
2017-08-14,112212.0
2017-08-15,112952.0
2017-08-16,130758.0
2017-08-17,136122.0
2017-08-18,132226.0
2017-08-21,145950.0
2017-08-22,163916.0
2017-08-23,130168.0
2017-08-24,127574.0
2017-08-25,119198.0
2017-08-28,146096.0
2017-08-29,121646.0
2017-08-30,121788.0
2017-08-31,116480.0
2017-09-01,115934.0
2017-09-04,116576.0
2017-09-05,103244.0
2017-09-06,100836.0
2017-09-07,103566.0
2017-09-08,101590.0
2017-09-11,96224.0
2017-09-12,99752.0
2017-09-13,106878.0
2017-09-14,111388.0
2017-09-15,103622.0
2017-09-18,148758.0
2017-09-19,151734.0
2017-09-20,144002.0
2017-09-21,159624.0
2017-09-22,151148.0
2017-09-25,157550.0
2017-09-26,153160.0
2017-09-27,139140.0
2017-09-28,137696.0
2017-09-29,119870.0
2017-10-09,137796.0
2017-10-10,130528.0
2017-10-11,136270.0
2017-10-12,130424.0
2017-10-13,140602.0
2017-10-16,133914.0
2017-10-17,135766.0
2017-10-18,132156.0
2017-10-19,126398.0
2017-10-20,129508.0
2017-10-23,127524.0
2017-10-24,127428.0
2017-10-25,118928.0
2017-10-26,134812.0
2017-10-27,133564.0
2017-10-30,146498.0
2017-10-31,146342.0
2017-11-01,147210.0
2017-11-02,146096.0
2017-11-03,141018.0
2017-11-06,140104.0
2017-11-07,126414.0
2017-11-08,132610.0
2017-11-09,150108.0
2017-11-10,147506.0
2017-11-13,149542.0
2017-11-14,149962.0
2017-11-15,160170.0
2017-11-16,139182.0
2017-11-17,155248.0
2017-11-20,142978.0
2017-11-21,133320.0
2017-11-22,136876.0
2017-11-23,128604.0
2017-11-24,123476.0
2017-11-27,138096.0
2017-11-28,129904.0
2017-11-29,149540.0
2017-11-30,138372.0
2017-12-01,125238.0
2017-12-04,132206.0
2017-12-05,123176.0
2017-12-06,131288.0
2017-12-07,134436.0
2017-12-08,166850.0
2017-12-11,158778.0
2017-12-12,161770.0
2017-12-13,156788.0
2017-12-14,167232.0
2017-12-15,140792.0
2017-12-18,136230.0
2017-12-19,127112.0
2017-12-20,127290.0
2017-12-21,147724.0
2017-12-22,115936.0
2017-12-25,116652.0
2017-12-26,96980.0
2017-12-27,102116.0
2017-12-28,107360.0
2017-12-29,91562.0
2018-01-02,93878.0
2018-01-03,97864.0
2018-01-04,95036.0
2018-01-05,89690.0
2018-01-08,89028.0
2018-01-09,85308.0
2018-01-10,80562.0
2018-01-11,89574.0
2018-01-12,102320.0
2018-01-15,106704.0
2018-01-16,97226.0
2018-01-17,90892.0
2018-01-18,114642.0
2018-01-19,119432.0
2018-01-22,116702.0
2018-01-23,119694.0
2018-01-24,108844.0
2018-01-25,104568.0
2018-01-26,98094.0
2018-01-29,99826.0
2018-01-30,99750.0
2018-01-31,90400.0
2018-02-01,96316.0
2018-02-02,88358.0
2018-02-05,114802.0
2018-02-06,97148.0
2018-02-07,113688.0
2018-02-08,92886.0
2018-02-09,89244.0
2018-02-12,94010.0
2018-02-13,88486.0
2018-02-14,104360.0
2018-02-22,94826.0
2018-02-23,121614.0
2018-02-26,114782.0
2018-02-27,120720.0
2018-02-28,153246.0
2018-03-01,157874.0
2018-03-02,144436.0
