trading_date,PB_total_oi
2017-07-05,77958.0
2017-07-06,75880.0
2017-07-07,75850.0
2017-07-10,75788.0
2017-07-11,79258.0
2017-07-12,78174.0
2017-07-13,77592.0
2017-07-14,76632.0
2017-07-17,76320.0
2017-07-18,71646.0
2017-07-19,72068.0
2017-07-20,66162.0
2017-07-21,64292.0
2017-07-24,66174.0
2017-07-25,68772.0
2017-07-26,69414.0
2017-07-27,81276.0
2017-07-28,79896.0
2017-07-31,82896.0
2017-08-01,79734.0
2017-08-02,81084.0
2017-08-03,81192.0
2017-08-04,81450.0
2017-08-07,84344.0
2017-08-08,83066.0
2017-08-09,81948.0
2017-08-10,79608.0
2017-08-11,74792.0
2017-08-14,72118.0
2017-08-15,75262.0
2017-08-16,72238.0
2017-08-17,77948.0
2017-08-18,75522.0
2017-08-21,77586.0
2017-08-22,78842.0
2017-08-23,78110.0
2017-08-24,79114.0
2017-08-25,81942.0
2017-08-28,77568.0
2017-08-29,81594.0
2017-08-30,79930.0
2017-08-31,79472.0
2017-09-01,79352.0
2017-09-04,82692.0
2017-09-05,81530.0
2017-09-06,81494.0
2017-09-07,79858.0
2017-09-08,77332.0
2017-09-11,77076.0
2017-09-12,81350.0
2017-09-13,84342.0
2017-09-14,88258.0
2017-09-15,88964.0
2017-09-18,95312.0
2017-09-19,103970.0
2017-09-20,120152.0
2017-09-21,125730.0
2017-09-22,122754.0
2017-09-25,132770.0
2017-09-26,152088.0
2017-09-27,144368.0
2017-09-28,132748.0
2017-09-29,135906.0
2017-10-09,128650.0
2017-10-10,125402.0
2017-10-11,122890.0
2017-10-12,122236.0
2017-10-13,121416.0
2017-10-16,126024.0
2017-10-17,112086.0
2017-10-18,108172.0
2017-10-19,101000.0
2017-10-20,96598.0
2017-10-23,92796.0
2017-10-24,88720.0
2017-10-25,88582.0
2017-10-26,87384.0
2017-10-27,87570.0
2017-10-30,87640.0
2017-10-31,82856.0
2017-11-01,79872.0
2017-11-02,79870.0
2017-11-03,79814.0
2017-11-06,81248.0
