trading_date,SN_total_oi
2017-11-29,21720.0
2017-11-30,22214.0
2017-12-01,23334.0
2017-12-04,22250.0
2017-12-05,22522.0
2017-12-06,22292.0
2017-12-07,22172.0
2017-12-08,23176.0
2017-12-11,24572.0
2017-12-12,25484.0
2017-12-13,29506.0
2017-12-14,28450.0
2017-12-15,28260.0
2017-12-18,26846.0
2017-12-19,25934.0
2017-12-20,25486.0
2017-12-21,25312.0
2017-12-22,25342.0
2017-12-25,25022.0
2017-12-26,24266.0
2017-12-27,23284.0
2017-12-28,22980.0
2017-12-29,22048.0
2018-01-02,21856.0
2018-01-03,21620.0
2018-01-04,21682.0
2018-01-05,22098.0
2018-01-08,21932.0
2018-01-09,21748.0
2018-01-10,21564.0
2018-01-11,21730.0
2018-01-12,21860.0
2018-01-15,21450.0
2018-01-25,21450.0
2018-01-26,21850.0
2018-01-29,27382.0
2018-01-30,27590.0
2018-01-31,27714.0
2018-02-01,26512.0
2018-02-02,26078.0
2018-02-05,27454.0
2018-02-06,27804.0
2018-02-07,31314.0
2018-02-08,28412.0
2018-02-09,26404.0
2018-02-12,25154.0
2018-02-13,24110.0
2018-02-14,24152.0
2018-02-22,24366.0
2018-02-23,24572.0
2018-02-26,24164.0
2018-02-27,24588.0
2018-02-28,25160.0
2018-03-01,24898.0
2018-03-02,24820.0
2018-03-05,24782.0
2018-03-06,25480.0
2018-03-07,25510.0
2018-03-08,25964.0
2018-03-09,26234.0
2018-03-12,25276.0
2018-03-13,25156.0
2018-03-14,26518.0
2018-03-15,26584.0
2018-03-16,25756.0
2018-03-19,25812.0
2018-03-20,26166.0
2018-03-21,26678.0
2018-03-22,25868.0
2018-03-23,26714.0
2018-03-26,26552.0
2018-03-27,26260.0
2018-03-28,27226.0
2018-03-29,27484.0
2018-03-30,27266.0
2018-04-02,26342.0
2018-04-03,25822.0
2018-04-04,25762.0
2018-04-09,25868.0
2018-04-10,25782.0
2018-04-11,26006.0
2018-04-12,28154.0
2018-04-13,28048.0
2018-04-16,28220.0
2018-04-17,29180.0
2018-04-18,29708.0
2018-04-19,29472.0
2018-04-20,29680.0
2018-04-23,29458.0
2018-04-24,28608.0
2018-04-25,28622.0
2018-04-26,29928.0
2018-04-27,29690.0
2018-05-02,29472.0
2018-05-03,30008.0
2018-05-04,31982.0
2018-05-07,31838.0
2018-05-08,32168.0
2018-05-09,32354.0
2018-05-10,32644.0
2018-05-11,34210.0
2018-05-14,34778.0
2018-05-15,34814.0
2018-05-16,26732.0
2018-05-17,26990.0
2018-05-18,28746.0
2018-05-21,27924.0
2018-05-22,28290.0
2018-05-23,29428.0
2018-05-24,31214.0
2018-05-25,28924.0
2018-05-28,36470.0
2018-05-29,46832.0
2018-05-30,49310.0
2018-05-31,54588.0
2018-06-01,54034.0
2018-06-04,51128.0
2018-06-05,48658.0
2018-06-06,48318.0
2018-06-07,47656.0
2018-06-08,45788.0
2018-06-11,45682.0
2018-06-12,45650.0
2018-06-13,40360.0
2018-06-14,38884.0
2018-06-15,37200.0
2018-06-19,35310.0
2018-06-20,34810.0
2018-06-21,34716.0
2018-06-22,34524.0
2018-06-25,33622.0
2018-06-26,32962.0
2018-06-27,33200.0
2018-06-28,34534.0
2018-06-29,35014.0
2018-07-02,34078.0
2018-07-03,33726.0
2018-07-04,34140.0
2018-07-05,36580.0
2018-07-06,36174.0
2018-07-09,36036.0
2018-07-10,36610.0
2018-07-11,37006.0
2018-07-12,36622.0
2018-07-13,36338.0
2018-07-16,35956.0
2018-07-17,36076.0
2018-07-18,35780.0
2018-07-19,35552.0
2018-07-20,35166.0
2018-07-23,36016.0
2018-07-24,37018.0
2018-07-25,36520.0
2018-07-26,36406.0
2018-07-27,37176.0
2018-07-30,37718.0
2018-07-31,38116.0
2018-08-01,37372.0
2018-08-02,36630.0
2018-08-03,35968.0
2018-08-06,35714.0
2018-08-07,35882.0
2018-08-08,35670.0
2018-08-09,36052.0
2018-08-10,38202.0
2018-08-13,38112.0
2018-08-14,38510.0
2018-08-15,39392.0
2018-08-16,39904.0
2018-08-17,39652.0
2018-08-20,39376.0
2018-08-21,40342.0
2018-08-22,39348.0
2018-08-23,39898.0
2018-08-24,40228.0
2018-08-27,39854.0
2018-08-28,39690.0
2018-08-29,39564.0
2018-08-30,39144.0
2018-08-31,39332.0
2018-09-03,39248.0
2018-09-04,40518.0
2018-09-05,40018.0
2018-09-06,39588.0
2018-09-07,40300.0
2018-09-10,38784.0
2018-09-11,38516.0
2018-09-12,39584.0
2018-09-13,40096.0
2018-09-14,42180.0
2018-09-17,40668.0
2018-09-18,33312.0
2018-09-19,33902.0
2018-09-20,33686.0
2018-09-21,32856.0
2018-09-25,32006.0
2018-09-26,32032.0
2018-09-27,31930.0
2018-09-28,30568.0
2018-10-08,30118.0
2018-10-09,30584.0
2018-10-10,31164.0
2018-10-11,31298.0
2018-10-12,32418.0
2018-10-15,32640.0
2018-10-16,33834.0
2018-10-17,34704.0
2018-10-18,34592.0
2018-10-19,34306.0
2018-10-22,34758.0
2018-10-23,34658.0
2018-10-24,35084.0
2018-10-25,34504.0
2018-10-26,34786.0
2018-10-29,34788.0
2018-10-30,35154.0
2018-10-31,36226.0
2018-11-01,37436.0
2018-11-02,37646.0
2018-11-05,39124.0
2018-11-06,39616.0
2018-11-07,40432.0
2018-11-08,40198.0
2018-11-09,43814.0
2018-11-12,48604.0
2018-11-13,49666.0
2018-11-14,50364.0
2018-11-15,54370.0
2018-11-16,52538.0
2018-11-19,52622.0
2018-11-20,52140.0
2018-11-21,47840.0
2018-11-22,45444.0
2018-11-23,41672.0
2018-11-26,43080.0
2018-11-27,44784.0
2018-11-28,46736.0
2018-11-29,48036.0
2018-11-30,48138.0
2018-12-03,45736.0
2018-12-04,45030.0
2018-12-05,44032.0
2018-12-06,43814.0
2018-12-07,43258.0
2018-12-10,43886.0
2018-12-11,43532.0
2018-12-12,43498.0
2018-12-13,42646.0
2018-12-14,42386.0
2018-12-17,42938.0
2018-12-18,42634.0
2018-12-19,42022.0
2018-12-20,42178.0
2018-12-21,41814.0
2018-12-24,41314.0
2018-12-25,41262.0
2018-12-26,43204.0
2018-12-27,42838.0
2018-12-28,45398.0
2019-01-02,44608.0
2019-01-03,44356.0
2019-01-04,44542.0
2019-01-07,44326.0
2019-01-08,43480.0
2019-01-09,42860.0
2019-01-10,41986.0
2019-01-11,42340.0
2019-01-14,42838.0
2019-01-15,44474.0
