trading_date,CU_total_oi
2014-10-17,738536.0
2014-10-20,739938.0
2014-10-21,755460.0
2014-10-22,736922.0
2014-10-23,724178.0
2014-10-24,717108.0
2014-10-27,743392.0
2014-10-28,734138.0
2014-10-29,721990.0
2014-10-30,706692.0
2014-10-31,684238.0
2014-11-03,703446.0
2014-11-04,701066.0
2014-11-05,742068.0
2014-11-06,750986.0
2014-11-07,734182.0
2014-11-10,717872.0
2014-11-11,722762.0
2014-11-12,727254.0
2014-11-13,723110.0
2014-11-14,737116.0
2014-11-17,717622.0
2014-11-18,706160.0
2014-11-19,694450.0
2014-11-20,694752.0
2014-11-21,686332.0
2014-11-24,663690.0
2014-11-25,658674.0
2014-11-26,733250.0
2014-11-27,718748.0
2014-11-28,811090.0
2014-12-01,894090.0
2014-12-02,870446.0
2014-12-03,876432.0
2014-12-04,834366.0
2014-12-05,791524.0
2014-12-08,778172.0
2014-12-09,771134.0
2014-12-10,731072.0
2014-12-11,741676.0
2014-12-12,749836.0
2014-12-15,737734.0
2014-12-16,755652.0
2014-12-17,766170.0
2014-12-18,765032.0
2014-12-19,754088.0
2014-12-22,743186.0
2014-12-23,736506.0
2014-12-24,726946.0
2014-12-25,721030.0
2014-12-26,717940.0
2014-12-29,722144.0
2014-12-30,699248.0
2014-12-31,679310.0
2015-01-05,704092.0
2015-01-06,698540.0
2015-01-07,700286.0
2015-01-08,695008.0
2015-01-09,725376.0
2015-01-12,746406.0
2015-01-13,786284.0
2015-01-14,791292.0
2015-01-15,794756.0
2015-01-16,804122.0
2015-01-19,787562.0
2015-01-20,787024.0
2015-01-21,797658.0
2015-01-22,789206.0
2015-01-23,847050.0
2015-01-26,888248.0
2015-01-27,887992.0
2015-01-28,894868.0
2015-01-29,919676.0
2015-01-30,952018.0
2015-02-02,932042.0
2015-02-03,896212.0
2015-02-04,869130.0
2015-02-05,884396.0
2015-02-06,849362.0
2015-02-09,843484.0
2015-02-10,840284.0
2015-02-11,817470.0
2015-02-12,819982.0
2015-02-13,790632.0
2015-02-16,768678.0
2015-02-17,748916.0
2015-02-25,761246.0
2015-02-26,785686.0
2015-02-27,774578.0
2015-03-02,760442.0
2015-03-03,762324.0
2015-03-04,767808.0
2015-03-05,771270.0
2015-03-06,775448.0
2015-03-09,759610.0
2015-03-10,772044.0
2015-03-11,766898.0
2015-03-12,755130.0
2015-03-13,743896.0
2015-03-16,747460.0
2015-03-17,742020.0
2015-03-18,773250.0
2015-03-19,776692.0
2015-03-20,783326.0
2015-03-23,772942.0
2015-03-24,785144.0
2015-03-25,797540.0
2015-03-26,796838.0
2015-03-27,819752.0
2015-03-30,818226.0
2015-03-31,827944.0
2015-04-01,831650.0
2015-04-02,814526.0
2015-04-03,810012.0
2015-04-07,809140.0
2015-04-08,805438.0
2015-04-09,819364.0
2015-04-10,819646.0
2015-04-13,820200.0
2015-04-14,847324.0
2015-04-15,843816.0
2015-04-16,804980.0
2015-04-17,784190.0
2015-04-20,788502.0
2015-04-21,778980.0
2015-04-22,779420.0
2015-04-23,798018.0
2015-04-24,766824.0
2015-04-27,752996.0
2015-04-28,754120.0
2015-04-29,768012.0
2015-04-30,755516.0
2015-05-04,745914.0
2015-05-05,729624.0
2015-05-06,697316.0
2015-05-07,679834.0
2015-05-08,683244.0
2015-05-11,671906.0
2015-05-12,668940.0
2015-05-13,677630.0
2015-05-14,669004.0
2015-05-15,670642.0
2015-05-18,662706.0
2015-05-19,659296.0
2015-05-20,659012.0
2015-05-21,639554.0
2015-05-22,634646.0
2015-05-25,631664.0
2015-05-26,634464.0
2015-05-27,630536.0
2015-05-28,616134.0
2015-05-29,595652.0
2015-06-01,598012.0
2015-06-02,595214.0
2015-06-03,593814.0
2015-06-04,593420.0
2015-06-05,605014.0
2015-06-08,595086.0
2015-06-09,587366.0
2015-06-10,583222.0
2015-06-11,575566.0
2015-06-12,603590.0
2015-06-15,606358.0
2015-06-16,602536.0
2015-06-17,604610.0
2015-06-18,597736.0
2015-06-19,592228.0
2015-06-23,596322.0
2015-06-24,601178.0
2015-06-25,593722.0
2015-06-26,568048.0
2015-06-29,521076.0
2015-06-30,528520.0
2015-07-01,515952.0
2015-07-02,507412.0
2015-07-03,506826.0
2015-07-06,557638.0
2015-07-07,590870.0
2015-07-08,615546.0
2015-07-09,555178.0
2015-07-10,584914.0
2015-07-13,614982.0
2015-07-14,614472.0
2015-07-15,618470.0
2015-07-16,606432.0
2015-07-17,612396.0
2015-07-20,644734.0
2015-07-21,639522.0
2015-07-22,694686.0
2015-07-23,708794.0
2015-07-24,786508.0
2015-07-27,772330.0
2015-07-28,765540.0
2015-07-29,728690.0
2015-07-30,731196.0
2015-07-31,743432.0
2015-08-03,780130.0
2015-08-04,753600.0
2015-08-05,763466.0
2015-08-06,764344.0
2015-08-07,776988.0
2015-08-10,770290.0
2015-08-11,718768.0
2015-08-12,699766.0
2015-08-13,665500.0
2015-08-14,659528.0
2015-08-17,643970.0
2015-08-18,642880.0
2015-08-19,643264.0
2015-08-20,641374.0
2015-08-21,629424.0
2015-08-24,664178.0
2015-08-25,641104.0
2015-08-26,627572.0
2015-08-27,612710.0
2015-08-28,603366.0
2015-08-31,596394.0
2015-09-01,586220.0
2015-09-02,575946.0
2015-09-07,585732.0
2015-09-08,593180.0
2015-09-09,604042.0
2015-09-10,596768.0
2015-09-11,582782.0
2015-09-14,566124.0
2015-09-15,557084.0
2015-09-16,546036.0
2015-09-17,548028.0
2015-09-18,552896.0
2015-09-21,534494.0
2015-09-22,546188.0
2015-09-23,585190.0
2015-09-24,582476.0
2015-09-25,555602.0
2015-09-28,571472.0
2015-09-29,601542.0
2015-09-30,597890.0
2015-10-08,593086.0
2015-10-09,550588.0
2015-10-12,556322.0
2015-10-13,563098.0
2015-10-14,561288.0
2015-10-15,566186.0
2015-10-16,569636.0
2015-10-19,575362.0
2015-10-20,586970.0
2015-10-21,592748.0
2015-10-22,587866.0
2015-10-23,591382.0
2015-10-26,588116.0
2015-10-27,595584.0
2015-10-28,608870.0
2015-10-29,597714.0
2015-10-30,605754.0
2015-11-02,619598.0
2015-11-03,636594.0
2015-11-04,629420.0
2015-11-05,659464.0
2015-11-06,650480.0
2015-11-09,696500.0
2015-11-10,696288.0
2015-11-11,715712.0
2015-11-12,703500.0
2015-11-13,754402.0
2015-11-16,769640.0
2015-11-17,776164.0
2015-11-18,802796.0
2015-11-19,811684.0
2015-11-20,793228.0
2015-11-23,871010.0
2015-11-24,853620.0
2015-11-25,811738.0
2015-11-26,751602.0
2015-11-27,741512.0
2015-11-30,779230.0
2015-12-01,773832.0
2015-12-02,784560.0
2015-12-03,818320.0
2015-12-04,811654.0
2015-12-07,773338.0
2015-12-08,808188.0
2015-12-09,816048.0
2015-12-10,814198.0
2015-12-11,805900.0
2015-12-14,785558.0
2015-12-15,776650.0
2015-12-16,779886.0
2015-12-17,797426.0
2015-12-18,772850.0
2015-12-21,765598.0
2015-12-22,772336.0
2015-12-23,804174.0
2015-12-24,802728.0
2015-12-25,800256.0
2015-12-28,803674.0
2015-12-29,788628.0
2015-12-30,772102.0
2015-12-31,773280.0
2016-01-04,772370.0
2016-01-05,757098.0
2016-01-06,747408.0
2016-01-07,750132.0
2016-01-08,762646.0
2016-01-11,811364.0
2016-01-12,804526.0
2016-01-13,790858.0
2016-01-14,777560.0
2016-01-15,762458.0
2016-01-18,736354.0
2016-01-19,722064.0
2016-01-20,731896.0
2016-01-21,744376.0
2016-01-22,726024.0
2016-01-25,736594.0
2016-01-26,730836.0
2016-01-27,744752.0
2016-01-28,753244.0
2016-01-29,764602.0
2016-02-01,750540.0
2016-02-02,752390.0
2016-02-03,743976.0
2016-02-04,721326.0
2016-02-05,702022.0
2016-02-15,682370.0
2016-02-16,695372.0
2016-02-17,697120.0
2016-02-18,702710.0
2016-02-19,720626.0
2016-02-22,738174.0
2016-02-23,737548.0
2016-02-24,749010.0
2016-02-25,751262.0
2016-02-26,743676.0
2016-02-29,741592.0
2016-03-01,745076.0
2016-03-02,792696.0
2016-03-03,763114.0
2016-03-04,752214.0
2016-03-07,706278.0
2016-03-08,684432.0
2016-03-09,678942.0
2016-03-10,683440.0
2016-03-11,702820.0
2016-03-14,713196.0
2016-03-15,722252.0
2016-03-16,700392.0
2016-03-17,716764.0
2016-03-18,748018.0
2016-03-21,745826.0
2016-03-22,744418.0
2016-03-23,734624.0
2016-03-24,696038.0
2016-03-25,694952.0
2016-03-28,700838.0
2016-03-29,712968.0
2016-03-30,763092.0
2016-03-31,776236.0
2016-04-01,755848.0
2016-04-05,731452.0
2016-04-06,733806.0
2016-04-07,745416.0
2016-04-08,775664.0
2016-04-11,775084.0
2016-04-12,755314.0
2016-04-13,718532.0
2016-04-14,726414.0
2016-04-15,729170.0
2016-04-18,711286.0
2016-04-19,718430.0
2016-04-20,699272.0
2016-04-21,705640.0
2016-04-22,660010.0
2016-04-25,652958.0
2016-04-26,636864.0
2016-04-27,651754.0
2016-04-28,687708.0
2016-04-29,682332.0
2016-05-03,691858.0
2016-05-04,716772.0
2016-05-05,732674.0
2016-05-06,717036.0
2016-05-09,767272.0
2016-05-10,747574.0
2016-05-11,766450.0
2016-05-12,752800.0
2016-05-13,783302.0
2016-05-16,781236.0
2016-05-17,748088.0
2016-05-18,763538.0
2016-05-19,759452.0
2016-05-20,773328.0
2016-05-23,779726.0
2016-05-24,769922.0
2016-05-25,754846.0
2016-05-26,757078.0
2016-05-27,759628.0
2016-05-30,764684.0
2016-05-31,769082.0
2016-06-01,810016.0
2016-06-02,808342.0
2016-06-03,791012.0
2016-06-06,767294.0
2016-06-07,755432.0
2016-06-08,781966.0
2016-06-13,732910.0
2016-06-14,729912.0
2016-06-15,715704.0
2016-06-16,669616.0
2016-06-17,657280.0
2016-06-20,652328.0
2016-06-21,642572.0
2016-06-22,650178.0
2016-06-23,648758.0
2016-06-24,629176.0
2016-06-27,630384.0
2016-06-28,645712.0
2016-06-29,642454.0
2016-06-30,626830.0
2016-07-01,611058.0
2016-07-04,659864.0
2016-07-05,637608.0
2016-07-06,608418.0
2016-07-07,592260.0
2016-07-08,592188.0
2016-07-11,590146.0
2016-07-12,587960.0
2016-07-13,638266.0
2016-07-14,654666.0
2016-07-15,657412.0
2016-07-18,630140.0
2016-07-19,618974.0
2016-07-20,627464.0
2016-07-21,631372.0
2016-07-22,615460.0
2016-07-25,605460.0
2016-07-26,592236.0
2016-07-27,588728.0
2016-07-28,576748.0
2016-07-29,567430.0
2016-08-01,576834.0
2016-08-02,570826.0
2016-08-03,574808.0
2016-08-04,563804.0
2016-08-05,542568.0
2016-08-08,540380.0
2016-08-09,558306.0
2016-08-10,551562.0
2016-08-11,538080.0
2016-08-12,532278.0
2016-08-15,538510.0
2016-08-16,515764.0
2016-08-17,504588.0
2016-08-18,512992.0
2016-08-19,508572.0
2016-08-22,514360.0
2016-08-23,511844.0
2016-08-24,539910.0
2016-08-25,526572.0
2016-08-26,531076.0
2016-08-29,520848.0
2016-08-30,523302.0
2016-08-31,515630.0
