trading_date,A_total_oi
2014-10-17,677240.0
2014-10-20,691458.0
2014-10-21,673992.0
2014-10-22,670226.0
2014-10-23,674218.0
2014-10-24,660066.0
2014-10-27,682006.0
2014-10-28,668488.0
2014-10-29,668236.0
2014-10-30,674970.0
2014-10-31,675366.0
2014-11-03,656964.0
2014-11-04,648722.0
2014-11-05,654812.0
2014-11-06,712840.0
2014-11-07,701484.0
2014-11-10,704438.0
2014-11-11,712396.0
2014-11-12,685880.0
2014-11-13,672692.0
2014-11-14,663056.0
2014-11-17,652200.0
2014-11-18,618740.0
2014-11-19,619958.0
2014-11-20,616004.0
2014-11-21,608356.0
2014-11-24,637882.0
2014-11-25,657308.0
2014-11-26,659666.0
2014-11-27,632326.0
2014-11-28,601170.0
2014-12-01,605310.0
2014-12-02,604498.0
2014-12-03,620254.0
2014-12-04,617044.0
2014-12-05,609708.0
2014-12-08,599948.0
2014-12-09,581038.0
2014-12-10,547112.0
2014-12-11,522386.0
2014-12-12,506200.0
2014-12-15,485748.0
2014-12-16,468728.0
2014-12-17,460590.0
2014-12-18,447838.0
2014-12-19,424338.0
2014-12-22,421684.0
2014-12-23,412516.0
2014-12-24,416830.0
2014-12-25,438066.0
2014-12-26,431198.0
2014-12-29,418136.0
2014-12-30,405936.0
2014-12-31,382772.0
2015-01-05,367352.0
2015-01-06,359342.0
2015-01-07,358966.0
2015-01-08,354782.0
2015-01-09,352800.0
2015-01-12,348940.0
2015-01-13,334524.0
2015-01-14,332326.0
2015-01-15,327950.0
2015-01-16,321074.0
2015-01-19,319184.0
2015-01-20,317224.0
2015-01-21,302780.0
2015-01-22,299060.0
2015-01-23,294276.0
2015-01-26,295252.0
2015-01-27,285616.0
2015-01-28,285952.0
2015-01-29,296412.0
2015-01-30,288040.0
2015-02-02,279688.0
2015-02-03,267778.0
2015-02-04,259726.0
2015-02-05,256238.0
2015-02-06,257832.0
2015-02-09,255320.0
2015-02-10,256510.0
2015-02-11,254794.0
2015-02-12,251268.0
2015-02-13,242142.0
2015-02-16,227394.0
2015-02-17,225148.0
2015-02-25,230874.0
2015-02-26,246944.0
2015-02-27,238166.0
2015-03-02,258070.0
2015-03-03,256030.0
2015-03-04,253068.0
2015-03-05,297484.0
2015-03-06,297372.0
2015-03-09,286872.0
2015-03-10,326716.0
2015-03-11,293112.0
2015-03-12,288922.0
2015-03-13,288784.0
2015-03-16,282074.0
2015-03-17,278786.0
2015-03-18,277068.0
2015-03-19,277612.0
2015-03-20,287856.0
2015-03-23,295404.0
2015-03-24,300022.0
2015-03-25,322880.0
2015-03-26,350638.0
2015-03-27,348912.0
2015-03-30,355162.0
2015-03-31,345668.0
2015-04-01,331378.0
2015-04-02,331822.0
2015-04-03,336558.0
2015-04-07,354396.0
2015-04-08,358636.0
2015-04-09,363294.0
2015-04-10,354138.0
2015-04-13,344778.0
2015-04-14,363734.0
2015-04-15,350350.0
2015-04-16,349304.0
2015-04-17,360348.0
2015-04-20,365712.0
2015-04-21,354090.0
2015-04-22,313340.0
2015-04-23,304434.0
2015-04-24,307202.0
2015-04-27,290442.0
2015-04-28,283030.0
2015-04-29,276338.0
2015-04-30,283200.0
2015-05-04,265542.0
2015-05-05,255172.0
2015-05-06,253662.0
2015-05-07,245796.0
2015-05-08,239724.0
2015-05-11,264024.0
2015-05-12,265952.0
2015-05-13,262702.0
2015-05-14,249420.0
2015-05-15,241142.0
2015-05-18,238348.0
2015-05-19,235680.0
2015-05-20,227724.0
2015-05-21,222198.0
2015-05-22,257280.0
2015-05-25,242602.0
2015-05-26,238958.0
2015-05-27,228948.0
2015-05-28,233800.0
2015-05-29,229570.0
2015-06-01,231976.0
2015-06-02,224274.0
2015-06-03,220574.0
2015-06-04,212916.0
2015-06-05,209560.0
2015-06-08,209624.0
2015-06-09,216202.0
2015-06-10,212890.0
2015-06-11,214398.0
2015-06-12,207274.0
2015-06-15,203384.0
2015-06-16,197324.0
2015-06-17,195978.0
2015-06-18,191716.0
2015-06-19,186880.0
2015-06-23,189100.0
2015-06-24,188690.0
2015-06-25,187258.0
2015-06-26,183920.0
2015-06-29,181234.0
2015-06-30,173220.0
2015-07-01,179196.0
2015-07-02,168804.0
2015-07-03,174876.0
2015-07-06,172374.0
2015-07-07,167922.0
2015-07-08,168246.0
2015-07-09,159230.0
2015-07-10,166822.0
2015-07-13,164574.0
2015-07-14,165584.0
2015-07-15,164866.0
2015-07-16,164334.0
2015-07-17,165034.0
2015-07-20,162058.0
2015-07-21,163988.0
2015-07-22,171606.0
2015-07-23,176156.0
2015-07-24,175958.0
2015-07-27,181670.0
2015-07-28,176458.0
2015-07-29,172266.0
2015-07-30,172634.0
2015-07-31,174836.0
2015-08-03,174292.0
2015-08-04,179552.0
2015-08-05,180712.0
2015-08-06,197430.0
2015-08-07,197916.0
2015-08-10,206148.0
2015-08-11,206606.0
2015-08-12,200624.0
2015-08-13,190468.0
2015-08-14,193006.0
2015-08-17,196152.0
2015-08-18,195272.0
2015-08-19,184442.0
2015-08-20,186260.0
2015-08-21,181172.0
2015-08-24,173692.0
2015-08-25,164686.0
2015-08-26,161516.0
2015-08-27,156406.0
2015-08-28,186766.0
2015-08-31,182580.0
2015-09-01,172514.0
2015-09-02,169610.0
2015-09-07,180640.0
2015-09-08,178494.0
2015-09-09,181766.0
2015-09-10,177132.0
2015-09-11,171522.0
2015-09-14,171980.0
2015-09-15,168022.0
2015-09-16,161584.0
2015-09-17,160064.0
2015-09-18,165370.0
2015-09-21,178116.0
2015-09-22,179962.0
2015-09-23,179212.0
2015-09-24,183312.0
2015-09-25,180152.0
2015-09-28,181124.0
2015-09-29,174370.0
2015-09-30,163308.0
2015-10-08,203636.0
2015-10-09,207202.0
2015-10-12,200024.0
2015-10-13,203960.0
2015-10-14,198142.0
2015-10-15,198426.0
2015-10-16,228852.0
2015-10-19,236308.0
2015-10-20,249304.0
2015-10-21,247836.0
2015-10-22,233740.0
2015-10-23,215232.0
2015-10-26,244228.0
2015-10-27,245402.0
2015-10-28,252430.0
2015-10-29,254290.0
2015-10-30,262310.0
2015-11-02,260670.0
2015-11-03,260820.0
2015-11-04,240912.0
2015-11-05,245416.0
2015-11-06,248426.0
2015-11-09,251410.0
2015-11-10,254108.0
2015-11-11,259768.0
2015-11-12,251088.0
2015-11-13,246504.0
2015-11-16,273338.0
2015-11-17,285940.0
2015-11-18,301614.0
2015-11-19,316038.0
2015-11-20,318420.0
2015-11-23,314980.0
2015-11-24,311900.0
2015-11-25,308504.0
2015-11-26,300106.0
2015-11-27,300466.0
2015-11-30,293130.0
2015-12-01,286004.0
2015-12-02,272820.0
2015-12-03,259812.0
2015-12-04,251116.0
2015-12-07,251320.0
2015-12-08,256978.0
2015-12-09,250952.0
2015-12-10,249038.0
2015-12-11,245262.0
2015-12-14,264350.0
2015-12-15,297128.0
2015-12-16,276914.0
2015-12-17,249002.0
2015-12-18,240156.0
2015-12-21,229394.0
2015-12-22,233270.0
2015-12-23,234044.0
2015-12-24,231054.0
2015-12-25,249042.0
2015-12-28,289188.0
2015-12-29,276992.0
2015-12-30,262242.0
2015-12-31,258736.0
2016-01-04,258364.0
2016-01-05,251914.0
2016-01-06,279436.0
2016-01-07,268046.0
2016-01-08,258818.0
2016-01-11,281944.0
2016-01-12,280294.0
2016-01-13,261418.0
2016-01-14,257128.0
2016-01-15,254198.0
2016-01-18,237700.0
2016-01-19,219814.0
2016-01-20,219204.0
2016-01-21,227000.0
2016-01-22,224550.0
2016-01-25,235204.0
2016-01-26,270944.0
2016-01-27,259514.0
2016-01-28,286028.0
2016-01-29,284194.0
2016-02-01,281824.0
2016-02-02,288002.0
2016-02-03,275248.0
2016-02-04,279124.0
2016-02-05,266148.0
2016-02-15,280106.0
2016-02-16,278184.0
2016-02-17,273180.0
2016-02-18,276972.0
2016-02-19,274662.0
2016-02-22,244678.0
2016-02-23,237230.0
2016-02-24,240470.0
2016-02-25,241748.0
2016-02-26,237116.0
2016-02-29,239374.0
2016-03-01,232358.0
2016-03-02,219482.0
2016-03-03,237088.0
2016-03-04,229908.0
2016-03-07,215632.0
2016-03-08,210050.0
2016-03-09,226100.0
2016-03-10,229428.0
2016-03-11,231820.0
2016-03-14,235312.0
