trading_date,ZN_total_oi
2013-11-05,205498.0
2013-11-06,205266.0
2013-11-07,209878.0
2013-11-08,213446.0
2013-11-11,216880.0
2013-11-12,223036.0
2013-11-13,234000.0
2013-11-14,228600.0
2013-11-15,234178.0
2013-11-18,231660.0
2013-11-19,240680.0
2013-11-20,241146.0
2013-11-21,241226.0
2013-11-22,240872.0
2013-11-25,239156.0
2013-11-26,237250.0
2013-11-27,242446.0
2013-11-28,257168.0
2013-11-29,260174.0
2013-12-02,258018.0
2013-12-03,263180.0
2013-12-04,259586.0
2013-12-05,248234.0
2013-12-06,242848.0
2013-12-09,237708.0
2013-12-10,224200.0
2013-12-11,201810.0
2013-12-12,188352.0
2013-12-13,173912.0
2013-12-16,166000.0
2013-12-17,162322.0
2013-12-18,165026.0
2013-12-19,169706.0
2013-12-20,197044.0
2013-12-23,202116.0
2013-12-24,220454.0
2013-12-25,241718.0
2013-12-26,224092.0
2013-12-27,230552.0
2013-12-30,232200.0
2013-12-31,229634.0
2014-01-02,238002.0
2014-01-03,233258.0
2014-01-06,221236.0
2014-01-07,219186.0
2014-01-08,219302.0
2014-01-09,218356.0
2014-01-10,212418.0
2014-01-13,213742.0
2014-01-14,221618.0
2014-01-15,221460.0
2014-01-16,229050.0
2014-01-17,229170.0
2014-01-20,230224.0
2014-01-21,231366.0
2014-01-22,250020.0
2014-01-23,249366.0
2014-01-24,241930.0
2014-01-27,229342.0
2014-01-28,222592.0
2014-01-29,210612.0
2014-01-30,204708.0
2014-02-07,198126.0
2014-02-10,205846.0
2014-02-11,200784.0
2014-02-12,201028.0
2014-02-13,200252.0
2014-02-14,198698.0
2014-02-17,212586.0
2014-02-18,206212.0
2014-02-19,227570.0
2014-02-20,223160.0
2014-02-21,223428.0
2014-02-24,206940.0
2014-02-25,211362.0
2014-02-26,217320.0
2014-02-27,216116.0
2014-02-28,222400.0
2014-03-03,223048.0
2014-03-04,228218.0
2014-03-05,257222.0
2014-03-06,250550.0
2014-03-07,237848.0
2014-03-10,233908.0
2014-03-11,215188.0
2014-03-12,213104.0
2014-03-13,206810.0
2014-03-14,195864.0
2014-03-17,198470.0
2014-03-18,182186.0
2014-03-19,180388.0
2014-03-20,173744.0
2014-03-21,173136.0
2014-03-24,171396.0
2014-03-25,167846.0
2014-03-26,162196.0
2014-03-27,162592.0
2014-03-28,158198.0
2014-03-31,156878.0
2014-04-01,152442.0
2014-04-02,155004.0
2014-04-03,153232.0
2014-04-04,150462.0
2014-04-08,150652.0
2014-04-09,151672.0
2014-04-10,149648.0
2014-04-11,152352.0
2014-04-14,151612.0
2014-04-15,151066.0
2014-04-16,147750.0
2014-04-17,155144.0
2014-04-18,155406.0
2014-04-21,153934.0
2014-04-22,156244.0
2014-04-23,167176.0
2014-04-24,175484.0
2014-04-25,176066.0
2014-04-28,169310.0
2014-04-29,167420.0
2014-04-30,164668.0
2014-05-05,168756.0
2014-05-06,170352.0
2014-05-07,176120.0
2014-05-08,175284.0
2014-05-09,175580.0
2014-05-12,185194.0
2014-05-13,194482.0
2014-05-14,193336.0
2014-05-15,199558.0
2014-05-16,185372.0
2014-05-19,189470.0
2014-05-20,188962.0
2014-05-21,184726.0
2014-05-22,180736.0
2014-05-23,178452.0
2014-05-26,176508.0
2014-05-27,172788.0
2014-05-28,172414.0
2014-05-29,165666.0
2014-05-30,161652.0
2014-06-03,162894.0
2014-06-04,163232.0
2014-06-05,162544.0
2014-06-06,161000.0
2014-06-09,178414.0
2014-06-10,203700.0
2014-06-11,278546.0
2014-06-12,277540.0
2014-06-13,241092.0
2014-06-16,233478.0
2014-06-17,229404.0
2014-06-18,241844.0
2014-06-19,241436.0
2014-06-20,281066.0
2014-06-23,282226.0
2014-06-24,271838.0
2014-06-25,281502.0
2014-06-26,296694.0
2014-06-27,290476.0
2014-06-30,312900.0
2014-07-01,318792.0
2014-07-02,288772.0
2014-07-03,367830.0
2014-07-04,369268.0
2014-07-07,344052.0
2014-07-08,412360.0
2014-07-09,410012.0
2014-07-10,401274.0
2014-07-11,392348.0
2014-07-14,421278.0
2014-07-15,495432.0
2014-07-16,507958.0
2014-07-17,502210.0
2014-07-18,500834.0
2014-07-21,531840.0
2014-07-22,543724.0
2014-07-23,552046.0
2014-07-24,541072.0
2014-07-25,583034.0
2014-07-28,570640.0
2014-07-29,557902.0
2014-07-30,487920.0
2014-07-31,497612.0
2014-08-01,482530.0
2014-08-04,473516.0
2014-08-05,490170.0
2014-08-06,476736.0
2014-08-07,473362.0
2014-08-08,442424.0
2014-08-11,432556.0
2014-08-12,479238.0
2014-08-13,454104.0
2014-08-14,443138.0
2014-08-15,443256.0
2014-08-18,430478.0
2014-08-19,433124.0
2014-08-20,463668.0
2014-08-21,471294.0
2014-08-22,486630.0
2014-08-25,466870.0
2014-08-26,493812.0
2014-08-27,466410.0
2014-08-28,466528.0
2014-08-29,466752.0
2014-09-01,465676.0
2014-09-02,511992.0
2014-09-03,496976.0
2014-09-04,533750.0
2014-09-05,527486.0
2014-09-09,456482.0
2014-09-10,393160.0
2014-09-11,388940.0
2014-09-12,363356.0
2014-09-15,358692.0
2014-09-16,326386.0
2014-09-17,326692.0
2014-09-18,323712.0
2014-09-19,330926.0
2014-09-22,367220.0
2014-09-23,374848.0
2014-09-24,377834.0
2014-09-25,364396.0
2014-09-26,349492.0
2014-09-29,330334.0
2014-09-30,319258.0
2014-10-08,323874.0
2014-10-09,350708.0
2014-10-10,336722.0
2014-10-13,336272.0
2014-10-14,333536.0
2014-10-15,336658.0
2014-10-16,316760.0
2014-10-17,309242.0
2014-10-20,301200.0
2014-10-21,301062.0
2014-10-22,293766.0
2014-10-23,339812.0
2014-10-24,331070.0
2014-10-27,316612.0
2014-10-28,306982.0
2014-10-29,302084.0
2014-10-30,296852.0
2014-10-31,330890.0
2014-11-03,320250.0
2014-11-04,343780.0
2014-11-05,290392.0
2014-11-06,283756.0
2014-11-07,282378.0
2014-11-10,287134.0
2014-11-11,288066.0
2014-11-12,280670.0
2014-11-13,271336.0
2014-11-14,265744.0
2014-11-17,262078.0
2014-11-18,268784.0
2014-11-19,251100.0
2014-11-20,247494.0
2014-11-21,289208.0
2014-11-24,281604.0
2014-11-25,305994.0
2014-11-26,297086.0
2014-11-27,293288.0
2014-11-28,260912.0
2014-12-01,248284.0
2014-12-02,233294.0
2014-12-03,233586.0
2014-12-04,247846.0
2014-12-05,247088.0
2014-12-08,240528.0
2014-12-09,233958.0
2014-12-10,232218.0
2014-12-11,236676.0
2014-12-12,224218.0
2014-12-15,223970.0
2014-12-16,220930.0
2014-12-17,234132.0
2014-12-18,256346.0
2014-12-19,233442.0
2014-12-22,224478.0
2014-12-23,235264.0
2014-12-24,236080.0
2014-12-25,229644.0
2014-12-26,235446.0
2014-12-29,236756.0
2014-12-30,236644.0
2014-12-31,257390.0
2015-01-05,263046.0
2015-01-06,267782.0
2015-01-07,262510.0
2015-01-08,259634.0
2015-01-09,255616.0
2015-01-12,256842.0
2015-01-13,260288.0
2015-01-14,301722.0
2015-01-15,292754.0
2015-01-16,289506.0
2015-01-19,284352.0
2015-01-20,291772.0
2015-01-21,282440.0
2015-01-22,300464.0
2015-01-23,277696.0
2015-01-26,299636.0
2015-01-27,302758.0
2015-01-28,304772.0
2015-01-29,287952.0
2015-01-30,285046.0
2015-02-02,274040.0
2015-02-03,259990.0
2015-02-04,242274.0
2015-02-05,243352.0
2015-02-06,247252.0
2015-02-09,244678.0
2015-02-10,242348.0
2015-02-11,242982.0
2015-02-12,242206.0
2015-02-13,233450.0
2015-02-16,227198.0
2015-02-17,220720.0
2015-02-25,227634.0
2015-02-26,255002.0
2015-02-27,268242.0
2015-03-02,280076.0
2015-03-03,300102.0
2015-03-04,315118.0
2015-03-05,319030.0
2015-03-06,328250.0
2015-03-09,327814.0
2015-03-10,322920.0
2015-03-11,319616.0
2015-03-12,330832.0
2015-03-13,335980.0
2015-03-16,339890.0
2015-03-17,342096.0
