trading_date,RS_total_oi
2014-11-05,346.0
2014-11-06,336.0
2014-11-07,334.0
2014-11-10,334.0
2014-11-11,334.0
2014-11-12,96.0
2014-11-13,96.0
2014-11-14,92.0
2014-11-17,92.0
2014-11-18,92.0
2014-11-19,90.0
2014-11-20,94.0
2014-11-21,92.0
2014-11-24,92.0
2014-11-25,92.0
2014-11-26,92.0
2014-11-27,92.0
2014-11-28,88.0
2014-12-01,64.0
2014-12-02,64.0
2014-12-03,62.0
2014-12-04,72.0
2014-12-05,80.0
2014-12-08,78.0
2014-12-09,76.0
2014-12-10,76.0
2014-12-11,76.0
2014-12-12,76.0
2014-12-15,76.0
2014-12-16,76.0
2014-12-17,76.0
2014-12-18,76.0
2014-12-19,76.0
2014-12-22,76.0
2014-12-23,74.0
2014-12-24,76.0
2014-12-25,78.0
2014-12-26,80.0
2014-12-29,80.0
2014-12-30,74.0
2014-12-31,78.0
2015-01-05,76.0
2015-01-06,76.0
2015-01-07,76.0
2015-01-08,76.0
2015-01-09,72.0
2015-01-12,70.0
2015-01-13,54.0
2015-01-14,54.0
2015-01-15,70.0
2015-01-16,70.0
2015-01-19,72.0
2015-01-20,72.0
2015-01-21,74.0
2015-01-22,74.0
2015-01-23,74.0
2015-01-26,74.0
2015-01-27,72.0
2015-01-28,72.0
2015-01-29,74.0
2015-01-30,74.0
2015-02-02,74.0
2015-02-03,74.0
2015-02-04,74.0
2015-02-05,74.0
2015-02-06,74.0
2015-02-09,76.0
2015-02-10,72.0
2015-02-11,74.0
2015-02-12,82.0
2015-02-13,78.0
2015-02-16,78.0
2015-02-17,74.0
2015-02-25,74.0
2015-02-26,72.0
2015-02-27,70.0
2015-03-02,70.0
2015-03-03,70.0
2015-03-04,70.0
2015-03-05,72.0
2015-03-06,70.0
2015-03-09,70.0
2015-03-10,70.0
2015-03-11,70.0
2015-03-12,70.0
2015-03-13,62.0
2015-03-16,62.0
2015-03-17,60.0
2015-03-18,60.0
2015-03-19,60.0
2015-03-20,60.0
2015-03-23,60.0
2015-03-24,74.0
2015-03-25,68.0
2015-03-26,68.0
2015-03-27,62.0
2015-03-30,64.0
2015-03-31,70.0
2015-04-01,66.0
2015-04-02,66.0
2015-04-03,66.0
2015-04-07,66.0
2015-04-08,56.0
2015-04-09,58.0
2015-04-10,58.0
2015-04-13,56.0
2015-04-14,56.0
2015-04-15,56.0
2015-04-16,54.0
2015-04-17,54.0
2015-04-20,54.0
2015-04-21,54.0
2015-04-22,54.0
2015-04-23,56.0
2015-04-24,56.0
2015-04-27,56.0
2015-04-28,56.0
2015-04-29,56.0
2015-04-30,56.0
2015-05-04,56.0
2015-05-05,68.0
2015-05-06,62.0
2015-05-07,60.0
2015-05-08,60.0
2015-05-11,60.0
2015-05-12,60.0
2015-05-13,56.0
2015-05-14,58.0
2015-05-15,64.0
2015-05-18,104.0
2015-05-19,80.0
2015-05-20,82.0
2015-05-21,86.0
2015-05-22,92.0
2015-05-25,76.0
2015-05-26,74.0
2015-05-27,84.0
2015-05-28,80.0
2015-05-29,78.0
2015-06-01,90.0
2015-06-02,92.0
2015-06-03,96.0
2015-06-04,94.0
2015-06-05,98.0
2015-06-08,226.0
2015-06-09,270.0
2015-06-10,440.0
2015-06-11,568.0
2015-06-12,1140.0
2015-06-15,1530.0
2015-06-16,2096.0
2015-06-17,2278.0
2015-06-18,2694.0
2015-06-19,3202.0
2015-06-23,3462.0
2015-06-24,3580.0
2015-06-25,3974.0
2015-06-26,4194.0
2015-06-29,4318.0
2015-06-30,3768.0
2015-07-01,3756.0
2015-07-02,3832.0
2015-07-03,3652.0
2015-07-06,3776.0
2015-07-07,3778.0
2015-07-08,3070.0
2015-07-09,2826.0
2015-07-10,3392.0
2015-07-13,3096.0
2015-07-14,3994.0
2015-07-15,4058.0
2015-07-16,3974.0
2015-07-17,3956.0
2015-07-20,3966.0
2015-07-21,4004.0
2015-07-22,4114.0
2015-07-23,4126.0
2015-07-24,4206.0
2015-07-27,4454.0
2015-07-28,4512.0
2015-07-29,4524.0
2015-07-30,4554.0
2015-07-31,4536.0
2015-08-03,4570.0
2015-08-04,4858.0
2015-08-05,4978.0
2015-08-06,5426.0
2015-08-07,5432.0
2015-08-10,5498.0
2015-08-11,5524.0
2015-08-12,5390.0
2015-08-13,3312.0
2015-08-14,3296.0
2015-08-17,3264.0
2015-08-18,3188.0
2015-08-19,3228.0
2015-08-20,3100.0
2015-08-21,2272.0
2015-08-24,2198.0
2015-08-25,1898.0
2015-08-26,1812.0
2015-08-27,1782.0
2015-08-28,1722.0
2015-08-31,1570.0
2015-09-01,1258.0
2015-09-02,1258.0
2015-09-07,1258.0
2015-09-08,1258.0
2015-09-09,1256.0
2015-09-10,1254.0
2015-09-11,1254.0
2015-09-14,1254.0
2015-09-15,1246.0
2015-09-16,442.0
2015-09-17,458.0
2015-09-18,456.0
2015-09-21,456.0
2015-09-22,458.0
2015-09-23,458.0
2015-09-24,458.0
2015-09-25,446.0
2015-09-28,446.0
2015-09-29,448.0
2015-09-30,450.0
2015-10-08,456.0
2015-10-09,448.0
2015-10-12,448.0
2015-10-13,446.0
2015-10-14,446.0
2015-10-15,446.0
2015-10-16,446.0
2015-10-19,446.0
2015-10-20,448.0
2015-10-21,448.0
2015-10-22,448.0
2015-10-23,448.0
2015-10-26,450.0
2015-10-27,446.0
2015-10-28,446.0
2015-10-29,444.0
2015-10-30,446.0
2015-11-02,456.0
2015-11-03,462.0
2015-11-04,462.0
2015-11-05,456.0
2015-11-06,452.0
2015-11-09,452.0
2015-11-10,446.0
2015-11-11,446.0
2015-11-12,444.0
2015-11-13,446.0
2015-11-16,446.0
2015-11-17,446.0
2015-11-18,450.0
2015-11-19,452.0
2015-11-20,444.0
2015-11-23,448.0
2015-11-24,446.0
2015-11-25,446.0
2015-11-26,442.0
2015-11-27,520.0
2015-11-30,520.0
2015-12-01,520.0
2015-12-02,522.0
2015-12-03,522.0
2015-12-04,522.0
2015-12-07,522.0
2015-12-08,520.0
2015-12-09,520.0
2015-12-10,520.0
2015-12-11,536.0
2015-12-14,534.0
2015-12-15,536.0
2015-12-16,566.0
2015-12-17,566.0
2015-12-18,746.0
2015-12-21,734.0
2015-12-22,734.0
2015-12-23,738.0
2015-12-24,732.0
2015-12-25,732.0
2015-12-28,730.0
2015-12-29,728.0
2015-12-30,728.0
2015-12-31,728.0
2016-01-04,770.0
2016-01-05,704.0
2016-01-06,702.0
2016-01-07,698.0
2016-01-08,722.0
2016-01-11,720.0
2016-01-12,720.0
2016-01-13,730.0
2016-01-14,702.0
2016-01-15,714.0
2016-01-18,710.0
2016-01-19,706.0
2016-01-20,706.0
2016-01-21,706.0
2016-01-22,710.0
2016-01-25,708.0
2016-01-26,710.0
2016-01-27,708.0
2016-01-28,758.0
2016-01-29,758.0
2016-02-01,754.0
2016-02-02,754.0
2016-02-03,754.0
2016-02-04,754.0
2016-02-05,756.0
2016-02-15,756.0
2016-02-16,756.0
2016-02-17,758.0
2016-02-18,756.0
2016-02-19,756.0
2016-02-22,756.0
2016-02-23,756.0
2016-02-24,752.0
2016-02-25,750.0
2016-02-26,750.0
2016-02-29,750.0
2016-03-01,748.0
2016-03-02,748.0
2016-03-03,746.0
2016-03-04,748.0
2016-03-07,748.0
2016-03-08,776.0
2016-03-09,772.0
2016-03-10,772.0
2016-03-11,776.0
2016-03-14,798.0
2016-03-15,768.0
2016-03-16,754.0
2016-03-17,754.0
2016-03-18,724.0
2016-03-21,690.0
2016-03-22,686.0
2016-03-23,682.0
2016-03-24,678.0
2016-03-25,766.0
2016-03-28,766.0
2016-03-29,752.0
2016-03-30,750.0
2016-03-31,748.0
2016-04-01,724.0
2016-04-05,726.0
2016-04-06,722.0
2016-04-07,722.0
2016-04-08,722.0
2016-04-11,726.0
2016-04-12,730.0
2016-04-13,702.0
2016-04-14,696.0
2016-04-15,698.0
2016-04-18,694.0
2016-04-19,696.0
2016-04-20,700.0
2016-04-21,2104.0
2016-04-22,2114.0
2016-04-25,1990.0
2016-04-26,1922.0
2016-04-27,1734.0
2016-04-28,1594.0
2016-04-29,1372.0
2016-05-03,1382.0
2016-05-04,1384.0
2016-05-05,1410.0
2016-05-06,1406.0
2016-05-09,1418.0
2016-05-10,1396.0
2016-05-11,1446.0
2016-05-12,1454.0
2016-05-13,1446.0
2016-05-16,1454.0
2016-05-17,1458.0
2016-05-18,1448.0
2016-05-19,1450.0
2016-05-20,1444.0
2016-05-23,1430.0
2016-05-24,1454.0
2016-05-25,1398.0
2016-05-26,1554.0
2016-05-27,1472.0
2016-05-30,1228.0
2016-05-31,1156.0
2016-06-01,1232.0
2016-06-02,1264.0
2016-06-03,1372.0
2016-06-06,1334.0
2016-06-07,1338.0
2016-06-08,1306.0
2016-06-13,1350.0
2016-06-14,1152.0
2016-06-15,1144.0
2016-06-16,1146.0
2016-06-17,1124.0
2016-06-20,1142.0
2016-06-21,1118.0
2016-06-22,1094.0
2016-06-23,1092.0
2016-06-24,1090.0
2016-06-27,1086.0
2016-06-28,1084.0
2016-06-29,1090.0
2016-06-30,1094.0
2016-07-01,1106.0
2016-07-04,1168.0
2016-07-05,1158.0
2016-07-06,898.0
2016-07-07,878.0
2016-07-08,812.0
2016-07-11,812.0
2016-07-12,810.0
2016-07-13,982.0
2016-07-14,332.0
2016-07-15,338.0
2016-07-18,356.0
2016-07-19,344.0
2016-07-20,344.0
2016-07-21,334.0
2016-07-22,282.0
2016-07-25,266.0
2016-07-26,90.0
2016-07-27,78.0
2016-07-28,76.0
2016-07-29,66.0
2016-08-01,66.0
2016-08-02,48.0
2016-08-03,48.0
2016-08-04,46.0
2016-08-05,46.0
2016-08-08,46.0
2016-08-09,42.0
2016-08-10,42.0
2016-08-11,40.0
2016-08-12,36.0
2016-08-15,36.0
2016-08-16,36.0
2016-08-17,24.0
2016-08-18,20.0
2016-08-19,8.0
2016-08-22,6.0
2016-08-23,2.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,2.0
2016-08-29,0.0
2016-11-15,8.0
2016-11-16,112.0
2016-11-17,240.0
2016-11-18,376.0
2016-11-21,304.0
2016-11-22,258.0
2016-11-23,236.0
2016-11-24,216.0
2016-11-25,204.0
2016-11-28,214.0
2016-11-29,230.0
2016-11-30,188.0
2016-12-01,164.0
2016-12-02,164.0
2016-12-05,162.0
2016-12-06,164.0
2016-12-07,136.0
2016-12-08,136.0
2016-12-09,132.0
2016-12-12,146.0
2016-12-13,136.0
2016-12-14,168.0
2016-12-15,176.0
2016-12-16,176.0
2016-12-19,176.0
2016-12-20,176.0
2016-12-21,176.0
2016-12-22,176.0
2016-12-23,174.0
2016-12-26,176.0
2016-12-27,182.0
2016-12-28,180.0
2016-12-29,180.0
2016-12-30,178.0
2017-01-03,190.0
2017-01-04,180.0
2017-01-05,180.0
2017-01-06,198.0
2017-01-09,194.0
2017-01-10,194.0
2017-01-11,198.0
2017-01-12,196.0
2017-01-13,200.0
2017-01-16,186.0
2017-01-17,182.0
2017-01-18,184.0
2017-01-19,186.0
2017-01-20,186.0
2017-01-23,186.0
2017-01-24,172.0
2017-01-25,170.0
2017-01-26,162.0
2017-02-03,162.0
2017-02-06,166.0
2017-02-07,160.0
2017-02-08,166.0
2017-02-09,164.0
2017-02-10,164.0
2017-02-13,162.0
2017-02-14,152.0
2017-02-15,150.0
2017-02-16,148.0
2017-02-17,146.0
2017-02-20,146.0
2017-02-21,148.0
2017-02-22,148.0
2017-02-23,146.0
2017-02-24,148.0
2017-02-27,138.0
2017-02-28,138.0
2017-03-01,130.0
2017-03-02,144.0
2017-03-03,134.0
2017-03-06,118.0
2017-03-07,64.0
2017-03-08,64.0
2017-03-09,108.0
2017-03-10,94.0
2017-03-13,68.0
2017-03-14,66.0
2017-03-15,64.0
2017-03-16,64.0
2017-03-17,64.0
2017-03-20,64.0
2017-03-21,64.0
2017-03-22,64.0
2017-03-23,64.0
2017-03-24,76.0
2017-03-27,80.0
2017-03-28,80.0
2017-03-29,80.0
2017-03-30,80.0
2017-03-31,86.0
2017-04-05,86.0
2017-04-06,86.0
2017-04-07,80.0
2017-04-10,76.0
2017-04-11,72.0
2017-04-12,70.0
2017-04-13,68.0
2017-04-14,58.0
2017-04-17,50.0
2017-04-18,50.0
2017-04-19,48.0
2017-04-20,48.0
2017-04-21,54.0
2017-04-24,56.0
2017-04-25,60.0
2017-04-26,62.0
2017-04-27,64.0
2017-04-28,60.0
2017-05-02,60.0
2017-05-03,62.0
2017-05-04,54.0
2017-05-05,56.0
2017-05-08,60.0
2017-05-09,60.0
2017-05-10,52.0
2017-05-11,48.0
2017-05-12,42.0
2017-05-15,34.0
2017-05-16,34.0
2017-05-17,34.0
2017-05-18,34.0
2017-05-19,32.0
2017-05-22,30.0
2017-05-23,30.0
