trading_date,I_total_oi
2014-10-15,1767374.0
2014-10-16,1805326.0
2014-10-17,1854038.0
2014-10-20,1870076.0
2014-10-21,1829210.0
2014-10-22,1883466.0
2014-10-23,1865716.0
2014-10-24,1828810.0
2014-10-27,1873192.0
2014-10-28,1925322.0
2014-10-29,1863390.0
2014-10-30,1848862.0
2014-10-31,1792420.0
2014-11-03,1743376.0
2014-11-04,1727990.0
2014-11-05,1794090.0
2014-11-06,1880712.0
2014-11-07,1843112.0
2014-11-10,1859380.0
2014-11-11,1869764.0
2014-11-12,1917334.0
2014-11-13,1918346.0
2014-11-14,1870734.0
2014-11-17,1872182.0
2014-11-18,1970380.0
2014-11-19,1920268.0
2014-11-20,1821854.0
2014-11-21,1873256.0
2014-11-24,1931672.0
2014-11-25,1850812.0
2014-11-26,1775800.0
2014-11-27,1715064.0
2014-11-28,1578908.0
2014-12-01,1562464.0
2014-12-02,1605268.0
2014-12-03,1549962.0
2014-12-04,1529276.0
2014-12-05,1508698.0
2014-12-08,1553586.0
2014-12-09,1477936.0
2014-12-10,1464542.0
2014-12-11,1427932.0
2014-12-12,1431690.0
2014-12-15,1380646.0
2014-12-16,1361838.0
2014-12-17,1285272.0
2014-12-18,1161498.0
2014-12-19,1082950.0
2014-12-22,1010140.0
2014-12-23,1012290.0
2014-12-24,980752.0
2014-12-25,964426.0
2014-12-26,957420.0
2014-12-29,933898.0
2014-12-30,976244.0
2014-12-31,875018.0
2015-01-05,823588.0
2015-01-06,879060.0
2015-01-07,845834.0
2015-01-08,838810.0
2015-01-09,800490.0
2015-01-12,760580.0
2015-01-13,737756.0
2015-01-14,714178.0
2015-01-15,735054.0
2015-01-16,721488.0
2015-01-19,679232.0
2015-01-20,671432.0
2015-01-21,647902.0
2015-01-22,623310.0
2015-01-23,656434.0
2015-01-26,625378.0
2015-01-27,629956.0
2015-01-28,644324.0
2015-01-29,607078.0
2015-01-30,610012.0
2015-02-02,627646.0
2015-02-03,703612.0
2015-02-04,811292.0
2015-02-05,774160.0
2015-02-06,729646.0
2015-02-09,720906.0
2015-02-10,712338.0
2015-02-11,691534.0
2015-02-12,656806.0
2015-02-13,669094.0
2015-02-16,627648.0
2015-02-17,611194.0
2015-02-25,572870.0
2015-02-26,569526.0
2015-02-27,613432.0
2015-03-02,646064.0
2015-03-03,650818.0
2015-03-04,652456.0
2015-03-05,762992.0
2015-03-06,747592.0
2015-03-09,695148.0
2015-03-10,690884.0
2015-03-11,655166.0
2015-03-12,619518.0
2015-03-13,650292.0
2015-03-16,663964.0
2015-03-17,669070.0
2015-03-18,809942.0
2015-03-19,856916.0
2015-03-20,891818.0
2015-03-23,971522.0
2015-03-24,1012256.0
2015-03-25,1039034.0
2015-03-26,1085160.0
2015-03-27,950678.0
2015-03-30,986196.0
2015-03-31,968728.0
2015-04-01,999664.0
2015-04-02,1025220.0
2015-04-03,939954.0
2015-04-07,990414.0
2015-04-08,1040616.0
2015-04-09,1109532.0
2015-04-10,1116046.0
2015-04-13,1234634.0
2015-04-14,1218296.0
2015-04-15,1216178.0
2015-04-16,1239424.0
2015-04-17,1221666.0
2015-04-20,1191670.0
2015-04-21,1229622.0
2015-04-22,1278310.0
2015-04-23,1167274.0
2015-04-24,1254900.0
2015-04-27,1173462.0
2015-04-28,1259598.0
2015-04-29,1306600.0
2015-04-30,1180946.0
2015-05-04,1206108.0
2015-05-05,1285936.0
2015-05-06,1300280.0
2015-05-07,1269800.0
2015-05-08,1244460.0
2015-05-11,1295378.0
2015-05-12,1300856.0
2015-05-13,1307616.0
2015-05-14,1261068.0
